"X","Y","po"
259952.968027598,6151489.74939449,1
255302.969363847,6149190.7685298,1
255302.970018905,6149390.76816012,1
259702.971409101,6152390.74849973,1
259701.970442695,6152089.7490872,1
260701.965098038,6150990.74790544,1
263202.933205883,6142390.75589038,1
263302.94438961,6145989.74896735,1
262001.934413723,6142090.76022902,1
261901.933989978,6141889.760865,1
261801.909043453,6133989.7755084,1
264402.88094263,6126589.78039181,1
254103.299472245,6251690.56060808,1
253403.290790425,6248490.57017012,1
328977.223502687,6284020.25783037,1
304403.277852101,6282590.33327206,1
334326.230907418,6234659.10451968,1
309314.961116382,6270474.78672734,1
360480.43009811,6366913.8253039,1
364305.031201467,6363055.36292685,1
357778.407737724,6372112.05834583,1
359579.559873955,6369889.36070736,1
326475.433831211,6274467.76444297,1
329504.416431632,6259539.85415136,1
315704.474796735,6235189.89342999,1
313788.942170173,6294550.19498022,1
310999.844902576,6269999.95099954,1
356492.683816024,6325012.20627787,1
316354.457423982,6251289.88531906,1
302804.494973182,6232989.88518779,1
319900.317435236,6248900.18024431,1
312004.486696292,6268169.81065616,1
306734.498598385,6267989.80533422,1
309274.484334243,6242009.88651026,1
308374.501659729,6270359.7956723,1
308404.486841845,6242789.88668745,1
319854.442922484,6248889.89518902,1
314354.471253177,6238189.89157409,1
325854.458055834,6279914.74916452,1
288400.348172022,6293298.91236207,1
281999.888020616,6322999.83202791,1
293499.509481161,6291499.78081027,1
308900.35444964,6284899.80369924,1
327798.671029718,6335749.53690898,1
327799.934517083,6335749.65808254,1
277836.632798008,6248992.78777463,1
308503.584453188,6290970.70214562,1
308654.583772537,6290857.70268117,1
308566.583970534,6290879.70254976,1
308827.583381652,6290833.70299157,1
309024.575678544,6289589.70287315,1
308962.57591591,6289601.70290666,1
309164.574895038,6289509.70269578,1
308768.574128113,6289276.70258095,1
308724.57405661,6289251.70251591,1
309472.582398236,6290814.70385802,1
309464.583412742,6291051.70304058,1
309403.584143122,6291191.70245014,1
308972.582536535,6290676.70367469,1
321104.456109554,6268189.81114659,1
348276.149761812,6363767.16668033,1
360001.376398344,6364325.29453763,1
360102.007021556,6364279.34043217,1
359463.077768,6364414.10251885,1
351421.036831048,6363118.20890778,1
303854.537067937,6280939.73734067,1
336354.401422797,6270739.7756563,1
318954.46933607,6236679.90065792,1
343904.394746434,6277189.72953011,1
324904.444626306,6263839.83216578,1
336674.374853698,6260549.83452388,1
339254.395394829,6271689.77155276,1
342329.38819637,6272914.75833466,1
344154.392678996,6276489.73340969,1
338604.383863616,6265989.79955021,1
371096.603795847,6356620.96768993,1
310936.151921522,6379355.12696232,1
359627.109792087,6368754.19882574,1
288499.869799209,6210999.94941097,1
317419.019852717,6276566.94396859,1
294854.520797056,6221704.8991866,1
298965.577971604,6287055.72000281,1
295643.581948903,6290321.70116697,1
301977.589238914,6291602.70405377,1
310401.637437476,6306723.63726592,1
288244.587788467,6292306.68812389,1
284265.570568505,6287893.68598742,1
317951.46888835,6238409.89616583,1
312600.046383176,6303700.22935709,1
308999.794481114,6273999.83706819,1
279350.182154992,6210499.94092536,1
309654.279601367,6270277.13182685,1
307691.696356181,6273296.07874542,1
301100.436062373,6277329.87177578,1
297989.358733154,6223772.04446668,1
347104.754337315,6361189.52826968,1
311854.493405104,6270439.79852534,1
305902.478819797,6239404.70253492,1
304963.333207103,6285169.891356,1
307909.439506058,6273449.84748977,1
307700.020606795,6272600.04528575,1
316432.558868428,6238208.01769996,1
313354.508724502,6278939.7459322,1
301016.518438385,6277550.74617059,1
308608.510293805,6278406.74617696,1
314704.614144917,6301039.66691059,1
321404.506722184,6287689.7159621,1
313204.614848387,6300439.66657053,1
323004.453996743,6274689.7773533,1
327004.45137847,6278939.74933989,1
316954.491203053,6276189.77416424,1
314304.591228237,6295389.68465445,1
313710.863435,6240780.09688573,1
318898.581462379,6241035.22190127,1
318550.038843673,6284600.16111474,1
317104.498271671,6283189.72684602,1
361499.336060866,6347500.28587807,1
376499.704491237,6349999.89545004,1
320250.440649422,6235000.17735904,1
307300.097513963,6273200.17399384,1
308959.063447761,6284512.88765677,1
309787.210496887,6289507.07143863,1
357210.758897021,6372089.43435621,1
357331.759726019,6372374.43247868,1
357711.756655947,6371937.43283935,1
358400.754455067,6371912.42990393,1
358160.755579023,6372006.43054708,1
358484.755821942,6372308.42759484,1
356722.755907271,6370962.44156879,1
357142.754141798,6370495.4414048,1
336604.40123449,6271089.77408568,1
293428.616032199,6301793.64827198,1
289530.569602318,6270629.74240537,1
311104.520875459,6283189.7204846,1
286999.533630177,6292999.70919349,1
362949.790301936,6362336.11009486,1
362999.123273097,6363000.10235126,1
318304.484966434,6279339.75402254,1
358300.753979908,6371722.43132467,1
356536.758038937,6371423.44044054,1
356954.760300485,6372236.4347497,1
356526.761052342,6372103.43731532,1
357346.760404555,6372545.43163329,1
360126.745905093,6370723.42727912,1
328604.426607954,6274689.75807053,1
318304.528304859,6288689.70651111,1
304259.754410088,6297624.89096716,1
306456.741194967,6300098.8150036,1
308050.614364412,6299893.6605599,1
311725.619486852,6301159.66169421,1
311903.509263986,6278660.74574366,1
318398.883348092,6283750.09145999,1
357254.760477887,6372485.43230235,1
358518.751365661,6371258.43265507,1
356917.755143943,6370795.44127217,1
356720.755189887,6370362.44359703,1
357099.753989184,6370274.44229771,1
356640.75946298,6371818.43813104,1
356493.75752914,6371278.44119806,1
356195.75942988,6371516.44140098,1
355896.761122818,6371695.44192803,1
355895.761011778,6371666.44206261,1
355966.759786821,6371442.44275386,1
356025.759202904,6371352.44291362,1
356604.755776805,6370541.44348269,1
357077.760921208,6372474.43311955,1
357411.756151849,6371602.43573356,1
357725.75649416,6371908.43292424,1
358600.75566116,6372340.42689679,1
357206.758915584,6372088.43432169,1
357227.759125279,6372154.43391162,1
357468.756868046,6371801.43456258,1
357533.757278915,6371954.43361122,1
360254.74553556,6370750.42671756,1
360265.745566159,6370820.42637992,1
360306.745492585,6370908.42601371,1
360387.745447328,6371091.42514031,1
359511.748019455,6371126.42894561,1
356851.755442498,6370845.44138979,1
357026.754698405,6370707.44108811,1
356871.754691326,6370311.44315271,1
357054.754093092,6370265.44255396,1
357269.753408908,6370272.44153163,1
357896.752154218,6370699.43741595,1
357760.752377107,6370583.43835904,1
358371.750007785,6370080.43756584,1
357960.750214387,6369375.44175415,1
358032.75057654,6369755.44008013,1
319829.291327315,6266400.17955045,1
319679.6310401,6267210.30406692,1
318099.714232904,6283610.2818474,1
318469.267888714,6282050.22131078,1
312880.149432981,6299720.07245341,1
326069.573887588,6280730.14067025,1
316709.323559905,6286899.95400489,1
313569.134294618,6300719.8436352,1
322549.93225352,6287700.1123705,1
322419.198382675,6288870.3083033,1
312680.562053737,6303502.04503418,1
296200.387121254,6300089.80065564,1
343947.252848168,6303104.99616873,1
361937.773481259,6362613.05176882,1
315664.459968438,6262609.84103881,1
279270.743394922,6249455.88502029,1
309764.151224941,6277642.81571153,1
292267.773650974,6289682.93312247,1
308135.07412997,6270881.18438567,1
311317.235199582,6268902.9025672,1
288094.544786592,6211130.91430459,1
288547.547062117,6210656.91244113,1
312049.508849998,6278375.74765586,1
309220.508805184,6277053.7544315,1
306295.207835145,6270954.99174868,1
307825.172194841,6280269.14300673,1
336454.38789421,6265189.80540493,1
334154.408745755,6271449.77090337,1
319604.487594479,6281689.73851823,1
320499.628084886,6266480.08876185,1
319210.06802842,6296858.94338735,1
314717.94677461,6301956.8990651,1
312648.788268597,6302649.97726269,1
318749.776156331,6281449.94437738,1
318449.892141797,6283750.20911622,1
318349.754012436,6284550.25007715,1
318423.919663273,6283549.97549471,1
318950.017171426,6282250.15475043,1
330898.645394423,6286900.07754687,1
329899.376366507,6282900.16073387,1
320105.180140236,6266470.97458263,1
300999.358625823,6289125.0198869,1
319070.121931869,6239809.91480431,1
323500.002253226,6282400.00492127,1
318800.002490203,6288600.00482837,1
318380.002587496,6284510.00487262,1
316710.002682663,6286900.00487899,1
320810.002343958,6286800.00484826,1
317480.002611864,6296000.00491805,1
317084.002620999,6296750.00489838,1
328200.001914675,6283570.00488696,1
329000.001908601,6282860.00483659,1
320670.00244712,6266830.00487699,1
319950.002455136,6266620.00490787,1
320127.002512271,6266750.0049182,1
328350.001967763,6282390.0049073,1
308604.482452787,6252589.85727224,1
310714.003202213,6267194.00491256,1
310858.003057565,6315753.00491311,1
285029.005942477,6277959.00500918,1
317050.002605408,6283380.00489372,1
305600.003554166,6287900.00494684,1
300000.004415329,6226800.00499586,1
315630.002800738,6263850.00493712,1
339355.699300213,6266866.0632391,1
289412.832388939,6270060.20703413,1
343554.386944772,6274589.74009439,1
356713.755991589,6370953.44157638,1
357128.754283106,6370613.44103187,1
357148.754070672,6370488.44137608,1
356715.755133462,6370353.44366731,1
356524.75520039,6369973.44582724,1
319979.454781882,6267474.81525733,1
320354.455279353,6267689.81415766,1
328744.512591255,6297024.8121238,1
309140.691020405,6238585.98727368,1
326199.613653154,6274807.30098412,1
324241.012472323,6273080.5609878,1
316965.091283863,6239038.11499877,1
317592.168807366,6231615.93581831,1
316456.445758678,6233638.09499918,1
328862.889785784,6297070.0727407,1
350230.409496658,6366100.09839995,1
311499.770984239,6278250.11789258,1
308711.311158336,6282221.77368898,1
309363.948250108,6270502.00280775,1
318878.79247601,6250199.88601175,1
285104.587251993,6277689.71086332,1
288704.583656416,6271889.72947669,1
296604.588283091,6291889.69559201,1
307604.582521479,6289689.70339767,1
320404.576786672,6296939.69267699,1
294104.541222982,6274189.75127997,1
316951.494610233,6276474.77243859,1
308104.492066802,6273189.78954668,1
357704.751032694,6368889.44464022,1
307904.504009684,6270889.79406717,1
300604.595100375,6292689.69750782,1
316724.45696676,6260439.85204418,1
298529.50751568,6224414.90000198,1
304654.490608585,6233989.88655486,1
307754.48808149,6239539.88504872,1
310914.478485933,6238514.88890508,1
292154.55094976,6272139.75113085,1
295329.530389261,6274514.75038118,1
308354.492768493,6272389.79128009,1
308354.492359001,6272489.7911118,1
291154.558565991,6271189.75155008,1
291004.558813931,6270489.75319084,1
285754.589030875,6275239.71079452,1
285954.588554264,6275389.71110407,1
286904.58546318,6271089.72283912,1
286654.586158515,6271139.72221289,1
285404.59268709,6272489.71366416,1
285304.593526184,6272739.71218879,1
287504.588545118,6274489.71241025,1
287879.585658491,6272439.71802073,1
287254.588612738,6272789.71453885,1
286504.591213766,6273689.71082084,1
288704.580674854,6273139.72411236,1
286804.5874777,6271839.71879692,1
305304.557558562,6285539.71909101,1
305654.55694204,6285589.71790543,1
300504.573528823,6287589.72094142,1
324504.442786566,6272569.78321502,1
309104.488137558,6240189.88553246,1
296604.515864671,6212589.94525576,1
314654.46975144,6239089.89100488,1
307104.577387993,6289189.7039161,1
288604.572139827,6268689.74015082,1
282104.70613032,6323189.57786973,1
298804.516667993,6240389.8560682,1
355104.756103786,6368189.45903486,1
360964.743253193,6370189.42468762,1
360704.743892525,6370189.42594535,1
326104.437358284,6275189.76414195,1
307804.576966569,6289389.70330987,1
347104.753373098,6362189.52543683,1
295601.525543133,6265189.78312512,1
294604.739430116,6332289.56631752,1
310504.702394971,6332089.55999304,1
310504.702200202,6331889.56034756,1
310204.703648953,6332589.55887964,1
310204.703394778,6332389.55921472,1
292504.73319915,6328489.5666308,1
307604.70860955,6331689.56128398,1
307804.706929342,6331489.56141119,1
307604.708087314,6331589.56156879,1
307504.707532432,6331389.56226139,1
304804.799029199,6365189.52587473,1
304704.800154708,6365489.52535794,1
305004.799251984,6365289.52565984,1
322204.66090979,6331089.56820268,1
322204.662665876,6326689.58192948,1
321804.664690397,6325089.57567558,1
316304.683860232,6331089.56151134,1
306504.799188065,6365489.52550348,1
316104.684921487,6330989.56205225,1
319904.630982818,6309589.63855838,1
322404.639206819,6313289.62211031,1
290504.750246285,6337489.57108307,1
296104.742735767,6339389.56129488,1
290304.750627146,6337389.57127119,1
307304.719187447,6333689.55533216,1
307604.71748992,6333689.5557863,1
307704.716935589,6333689.55593054,1
309604.707338592,6340189.54933538,1
309604.707401728,6340089.54987075,1
307604.717081262,6333589.55605677,1
318104.672879527,6339489.55103505,1
316704.679120869,6333989.55305897,1
298804.748571395,6349289.54869668,1
293704.77846955,6355689.55071516,1
293604.778300478,6355589.55091318,1
295604.780293527,6357189.54605981,1
359684.529992023,6370065.89933337,1
360585.014839088,6367090.63582226,1
364409.135694081,6363231.76353061,1
307721.60914219,6297858.66496412,1
279593.628730417,6260429.74097293,1
288564.574548017,6269635.73707305,1
288104.579920703,6268189.73760585,1
322654.573366543,6297589.69057791,1
315704.62113018,6303889.66261901,1
319004.628317541,6308889.64202696,1
312077.045435078,6238665.50615787,1
305404.594116495,6292189.69554758,1
314851.472410362,6239128.89118309,1
315083.472137068,6239058.89124981,1
327315.002059969,6261346.0049319,1
306576.00369241,6235818.00493981,1
281204.61878604,6259589.75264671,1
289399.58119363,6273659.73109838,1
308104.491700629,6241189.88457572,1
293077.808327387,6270892.89474851,1
295704.52943602,6272389.75955911,1
322104.462301339,6235889.91057715,1
317104.459307484,6262389.84362886,1
315604.46410002,6263189.83821721,1
362394.532221357,6362320.34752065,1
300104.594931433,6292189.70146126,1
299904.656420372,6311689.60683793,1
299904.658621901,6312489.60251405,1
300004.658790413,6312589.60201073,1
299404.631861363,6305789.63008144,1
297204.639533637,6307489.62107081,1
297304.6393499,6307389.62123375,1
299004.661456369,6313289.59851924,1
298804.662351739,6313589.59750645,1
313552.473880275,6239633.88990268,1
326904.459344385,6280489.74362045,1
289504.717790881,6322789.57427466,1
289904.751275358,6336989.57197509,1
253243.210228,6140442.92225053,1
319033.102085383,6288059.40889058,1
315538.479107561,6228824.06955216,1
311269.64067168,6289142.91007677,1
328849.522422303,6258657.78830896,1
288418.374150424,6295294.32576998,1
336469.560080222,6264337.974834,1
298629.727317419,6223084.22674725,1
312662.15988105,6297182.28683256,1
301615.985932246,6232240.02530928,1
257863.153863373,6257117.48275213,1
260478.677756142,6155436.17504832,1
332559.409764443,6289290.2957324,1
247326.697360052,6196160.58167431,1
314211.516607216,6297212.23738464,1
372119.759305201,6372082.50446823,1
303276.003819396,6281805.00490084,1
313104.47039841,6259189.84657604,1
315303.002890929,6237107.00486681,1
315175.00292284,6236119.00496314,1
314986.002984359,6234466.00489163,1
315154.002914732,6234469.00493291,1
315321.002890581,6234221.00496846,1
316791.002780212,6236476.00496231,1
316252.00287366,6236058.00496785,1
266669.999955152,6304735.99990966,1
298525.957003653,6222907.4241996,1
332532.089042553,6268598.35907968,1
298530.105487473,6222905.04961603,1
298567.004658225,6222905.83893652,1
288293.892293377,6295117.04918413,1
247058.601772514,6264432.78258865,1
325437.829314458,6339398.06699292,1
332945.248357459,6268415.77622682,1
333381.814320173,6268485.01280033,1
244294.006464516,6195533.69517227,1
247228.301611185,6195979.9710462,1
336056.988412526,6264155.82865252,1
335734.053922553,6283007.5603735,1
332924.634016254,6268416.64739762,1
333387.052972313,6268480.17888526,1
339077.454609578,6271883.14841407,1
247054.20337082,6195608.91323467,1
296467.937857855,6295570.25039922,1
306892.930021435,6285799.61063523,1
311475.32759602,6288974.61662473,1
330400.522085885,6269603.53281312,1
314107.589940431,6297035.4077153,1
309568.978782929,6291399.98966272,1
305035.806759887,6285762.15471163,1
329385.088236437,6265887.83553617,1
277124.211009514,6208583.50634471,1
331807.492632156,6379992.68046725,1
280472.40870204,6263039.64053005,1
331665.889550038,6267773.37186048,1
301504.439222564,6232432.90764535,1
294479.613553395,6272597.78293077,1
335092.359435076,6266357.75965123,1
328745.728856819,6258480.9090443,1
312248.362807186,6296999.44088215,1
253139.808529612,6140265.97617297,1
334792.92064743,6265986.52836304,1
333553.490932178,6269037.71432981,1
359601.48379262,6366562.51012533,1
331654.371027769,6268427.6489757,1
332452.353893373,6289118.34783209,1
333374.815694991,6258562.96111942,1
330127.54340271,6267746.16342207,1
335168.944851176,6261921.99352239,1
335923.840196857,6271918.363325,1
330439.850205742,6267385.63916135,1
332470.929373772,6289118.67097289,1
332367.988242817,6268440.18456847,1
352096.216253289,6367562.10417123,1
332377.25599114,6268440.34701777,1
332833.970703011,6289613.04635456,1
333351.810810013,6268731.03768245,1
279622.788660133,6259690.97311265,1
332556.979808174,6268532.23803137,1
