"X","Y","po"
276203.296865381,6266990.45587683,1
255302.969363847,6149190.7685298,1
254802.963234189,6146990.77419434,1
255301.962307966,6146989.77259426,1
255502.963194678,6147390.77119019,1
261001.93945528,6143089.76153286,1
261302.938263549,6142890.76096693,1
261502.912746952,6134989.77461302,1
262202.906393373,6133389.77531217,1
262102.906586671,6133389.77565708,1
261901.906648264,6133289.77646429,1
335326.001573031,6286081.00481446,1
334653.001592562,6286461.00481294,1
330536.001851966,6281613.00489409,1
323455.236858392,6284087.2736804,1
322573.25046325,6288042.26671626,1
304403.277852101,6282590.33327206,1
279991.660390443,6239937.19627152,1
310003.507426224,6280492.73120838,1
324299.42272864,6280630.19384925,1
322932.362976581,6277877.70788945,1
322650.568413873,6278643.52641442,1
322048.810044524,6281540.02335325,1
326475.433831211,6274467.76444297,1
333533.128843299,6298529.24725796,1
333559.483751032,6298498.88964299,1
325444.596051501,6261810.18195577,1
334304.53640002,6299089.66346922,1
281104.621969735,6261089.74692681,1
310904.514747507,6280889.73125151,1
326604.443509262,6263689.82753844,1
273830.54390353,6207961.99445937,1
313788.942170173,6294550.19498022,1
326197.442895493,6266042.81353987,1
321604.446786,6263689.84733316,1
325854.458055834,6279914.74916452,1
288400.348172022,6293298.91236207,1
281999.888020616,6322999.83202791,1
293499.509481161,6291499.78081027,1
308900.35444964,6284899.80369924,1
327798.671029718,6335749.53690898,1
327799.934517083,6335749.65808254,1
314400.41963175,6268600.1555454,1
277603.632744197,6248736.78970906,1
277885.632033778,6248898.78924025,1
277836.632798008,6248992.78777463,1
277783.632901094,6248970.78780737,1
277341.636583831,6249261.78160001,1
308503.584453188,6290970.70214562,1
308654.583772537,6290857.70268117,1
308566.583970534,6290879.70254976,1
308827.583381652,6290833.70299157,1
309024.575678544,6289589.70287315,1
308962.57591591,6289601.70290666,1
309164.574895038,6289509.70269578,1
309202.574884466,6289521.70273855,1
308768.574128113,6289276.70258095,1
308724.57405661,6289251.70251591,1
308568.574360089,6289239.7026129,1
309472.582398236,6290814.70385802,1
308247.572654382,6288852.70276568,1
309403.584143122,6291191.70245014,1
308972.582536535,6290676.70367469,1
309327.578352459,6290062.70399475,1
309318.578422986,6290066.70390368,1
309039.578508814,6290004.70371879,1
309556.577050151,6289938.70368729,1
309537.577137918,6289935.70367744,1
316304.618280614,6304589.66045586,1
342354.347793823,6257689.84967777,1
310936.151921522,6379355.12696232,1
325330.459584703,6280084.74983804,1
353104.7697952,6370189.4721282,1
341153.337098072,6291049.71983261,1
342627.503359895,6364636.17610515,1
301977.589238914,6291602.70405377,1
302077.589310046,6291682.70323088,1
333302.414493784,6272624.76334132,1
329492.538004617,6296925.6863011,1
329607.536444965,6296742.68642243,1
329852.531202539,6296015.68732993,1
