"X","Y","po"
455978.24367179,6420598.56247819,1
233253.709237182,6057930.99276022,1
235852.696178634,6055139.98835957,1
236051.695697015,6055090.98778948,1
236251.697340846,6055690.98622977,1
237151.694574701,6055240.98389256,1
238851.697624262,6056939.97583484,1
239901.702983733,6059039.96924554,1
243302.999557433,6151639.80260829,1
245202.732670289,6070590.93441758,1
247202.726705228,6069690.92935583,1
253202.704351126,6065590.91616468,1
252252.707067279,6065989.91865832,1
228249.722942747,6059825.0065284,1
242271.771526887,6081114.92761124,1
483445.999980846,6581898.00453402,1
483465.999992351,6586653.00453693,1
483581.999957698,6587113.00452128,1
484948.999958548,6590392.00459065,1
485013.000046576,6590291.00454897,1
289772.999987885,6438832.99993901,1
245039.999976436,6043579.99991433,1
239850.000046443,6027149.99987523,1
342209.000013846,6381806.99993682,1
342686.000009806,6382661.99992312,1
347859.999969624,6381481.99993295,1
354556.000746327,6369251.00473486,1
301692.999984199,6251495.99992154,1
299091.999979738,6244616.99989327,1
300233.999986109,6246527.99988382,1
300234.999999053,6246472.99992255,1
300381.999981151,6246497.99986319,1
303322.000009301,6254225.9998666,1
303393.99999514,6254326.99995063,1
303459.999957916,6254283.99994504,1
345253.464314638,6383639.95299194,1
259129.714145007,6071458.88818468,1
229306.95606593,6022494.83982718,1
229603.600927733,6023692.05340506,1
229699.601141124,6023795.05292512,1
229506.600657165,6023589.05391556,1
228974.480648323,6024772.72737112,1
229074.476441188,6024775.87098757,1
228759.955223425,6024953.90287623,1
231877.327815724,5942391.14207011,1
231776.373089611,5942487.20407245,1
235302.696448342,6054993.99041811,1
235399.695638259,6054784.99033313,1
235601.695027655,6054689.9897856,1
245000.663926953,6049390.96672664,1
245007.663341028,6049190.96703182,1
245003.66359798,6049290.9669184,1
245102.663497055,6049293.96657259,1
260398.686405841,6063387.89644641,1
260501.685925154,6063290.89625819,1
258099.685124604,6061892.90596615,1
258302.684406105,6061787.90550599,1
258405.679467998,6060291.90741817,1
258300.679002169,6060087.9080152,1
234896.71060982,6059089.98564254,1
277401.885554496,6135389.72389564,1
276902.893918052,6137790.72109158,1
267202.918311122,6139989.74760567,1
267102.918797021,6140089.74774219,1
266801.918731772,6139889.74902157,1
262602.929786969,6140989.76031278,1
263302.926665094,6140389.75920337,1
263601.925758618,6140289.75845048,1
277702.88527816,6135489.72276823,1
277902.886169141,6135890.72146034,1
276501.897125714,6138590.72095116,1
276501.896797326,6138490.72114418,1
276602.897265219,6138690.72045978,1
276702.893996699,6137690.72196477,1
276802.894058568,6137790.72146111,1
260107.712153854,6071294.88527506,1
260001.712959242,6071493.88536941,1
259907.713364645,6071589.88547357,1
278800.841032577,6121893.74342536,1
278702.84090445,6121791.74389685,1
279102.838407055,6121191.74365203,1
279602.834984361,6120393.74350841,1
279503.83513775,6120390.74381277,1
233499.707700697,6057593.99249489,1
257097.70616344,6067993.89998144,1
257102.705547931,6067794.90033812,1
257303.705186808,6067789.89968722,1
257402.705033904,6067791.89931035,1
260206.711919798,6071286.88502393,1
260264.687474883,6063661.89644107,1
256497.689097153,6062382.9104101,1
255847.689591592,6062242.91267777,1
255244.690162995,6062137.91481995,1
256182.688092912,6061940.91206987,1
255680.688335896,6061771.91400572,1
253932.671286203,6055682.92863777,1
253650.672981982,6056075.92894959,1
253413.674589939,6056468.92918239,1
252399.679057266,6057394.93105019,1
252363.680136061,6057704.93068058,1
252225.682712361,6058444.92999763,1
252647.679518935,6057646.92986798,1
253172.678787123,6057660.92817963,1
253879.677653646,6057625.92589078,1
253710.677451957,6057497.92664698,1
253993.675776182,6057106.92629475,1
254756.674794278,6057127.92390041,1
254509.674224925,6056842.92500869,1
253164.671287009,6055318.93168443,1
254021.681990318,6059050.92341029,1
254707.682514174,6059501.92042732,1
254583.683618477,6059797.92045818,1
254211.682913449,6059421.92214412,1
254239.691220958,6062008.91828419,1
257205.684704547,6061356.90967305,1
252437.695897004,6062615.92314908,1
252463.697798741,6063225.92207701,1
252713.69818142,6063455.92095743,1
252343.70037703,6063966.92136888,1
252212.701078814,6064117.9216084,1
252978.699343168,6063951.91941947,1
258006.684434905,6061656.90663381,1
253724.699120657,6064215.9165456,1
254033.700837546,6064900.91452461,1
253533.700780256,6064643.91650748,1
253506.70404407,6065630.91513775,1
253198.705459147,6065933.91566318,1
253519.705631673,6066153.91429044,1
254515.703318311,6065902.91146415,1
254700.704609297,6066373.91015873,1
253992.705490405,6066322.91247343,1
258488.685761385,6062281.9041545,1
254970.705500392,6066780.90871534,1
254961.706526427,6067092.9082713,1
254364.70638697,6066764.9106572,1
253772.708310567,6067093.91205515,1
254462.709655952,6067823.90875577,1
257632.672259109,6057661.91380449,1
257822.673101674,6058010.9126812,1
258555.677649885,6059783.90771303,1
258662.677503899,6059787.90730474,1
258502.687320447,6062780.90342998,1
254890.70874415,6067767.90741189,1
255609.706038907,6067265.90586496,1
255633.699937352,6065378.90862643,1
256227.706279482,6067615.90338629,1
254469.679046273,6058318.92298908,1
255612.68475923,6060637.91582698,1
258767.685502101,6062321.90318762,1
255704.683182395,6060173.91625771,1
258720.68482046,6062109.90370941,1
254190.682190625,6059175.92259257,1
258696.690864135,6063985.90097464,1
259448.684380334,6062305.90110977,1
258780.683916878,6061834.90389924,1
258976.690409856,6063959.90005312,1
259041.69124735,6064271.89936557,1
258224.690607869,6063661.90297354,1
258429.690401099,6063699.90226447,1
257712.686297593,6062103.90694779,1
258488.680246855,6060558.90671209,1
257073.676962081,6058877.91379375,1
257464.674203783,6058188.91352995,1
257483.68150876,6060499.91012461,1
258474.681688695,6061015.90607617,1
260267.681823924,6061873.89909712,1
257762.67836711,6059641.91042547,1
258510.680880006,6060771.9064053,1
257256.672187302,6057473.91533407,1
257199.679005052,6059569.91238941,1
258540.677288291,6059662.90794598,1
260508.679848612,6061379.89904658,1
257947.679825374,6060168.90905848,1
257935.672386623,6057856.91259605,1
258011.680587614,6060447.9084362,1
258766.679096759,6060345.90614352,1
257756.67894113,6059828.91018694,1
258801.681224644,6061023.90505444,1
257215.67700125,6058948.91323188,1
260808.682568332,6062375.89665599,1
255956.685459832,6061012.91423997,1
255729.685820248,6061006.91497328,1
255574.686018443,6061001.91541133,1
255405.685806504,6060876.91616346,1
256964.678347517,6059252.91360457,1
255248.681274521,6059383.91891469,1
255470.678257409,6058534.919509,1
256739.675274524,6058191.91592536,1
256762.672451365,6057336.91711637,1
255567.674994816,6057582.92053622,1
255233.674124987,6057162.92226806,1
255759.673363975,6057155.92061979,1
256267.671743485,6056890.91938638,1
256781.670194829,6056649.91809406,1
256727.667068774,6055637.91970108,1
256295.668534852,6055903.92073027,1
259619.687516391,6063365.89894826,1
255559.66764805,6055295.92395601,1
