"X","Y","po"
296053.592769053,6380690.10393727,1
231801.707113046,6056639.99946617,1
238802.066746721,6169639.78304212,1
236203.067461292,6168340.7940319,1
237002.089540366,6175540.77735757,1
237453.094513097,6177339.77237402,1
237302.128023221,6187490.75259781,1
238653.127236741,6188089.74694212,1
235202.094561056,6175990.78235684,1
235552.089244673,6174589.78398801,1
260203.097748388,6192439.66881401,1
259402.094437508,6190890.67445873,1
257002.09644095,6189990.68397556,1
257303.099155707,6191040.68088344,1
245553.00962575,6156039.7870756,1
247252.004279904,6155390.78284219,1
244952.999231572,6152489.79574515,1
227450.073424101,6061948.26558734,1
226046.324894681,6021084.89184258,1
212821.436361295,6091618.31324538,1
220163.857939467,5972023.52107362,1
240152.885675023,6114989.87860151,1
239751.910547966,6122389.86713545,1
235352.929589038,6125840.87551684,1
224202.238022499,5985250.7394336,1
223522.868745296,5986511.22074988,1
224057.627818053,5989199.68469138,1
261002.983585424,6156989.73568032,1
271301.849389935,6120389.76951715,1
268602.854381151,6120489.77781774,1
266092.878005967,6126590.77508197,1
268602.88413655,6129940.7611865,1
263601.816709641,6105889.81849924,1
261702.816841531,6104939.82612637,1
217089.391011914,6138663.848987,1
224766.020211551,5897762.60347979,1
218628.89234803,5890249.28004862,1
186353.179970362,5891822.18888064,1
186253.128254285,5891818.86906159,1
199598.691384619,5917119.05705304,1
226426.342363014,5939852.67392194,1
181320.678286631,5869947.96009002,1
181526.722826192,5869956.03655035,1
204436.256621156,6022961.96669675,1
204138.965521918,6022939.67174295,1
198975.576535695,5915774.70154629,1
226702.087882237,6061908.6531779,1
244504.72434996,6067687.94111742,1
194988.961283555,5979583.52359436,1
194984.758984141,5979683.50262983,1
196537.386524528,5980282.08524458,1
197590.256645579,5981341.78630566,1
238503.883311641,6113386.88676829,1
238405.883164911,6113294.88724171,1
239007.88239541,6113389.88513981,1
240103.884467378,6114586.87946258,1
240206.88400257,6114489.87936763,1
209587.209415801,6126944.98212561,1
209916.755086992,6143999.01152121,1
230853.035627649,6155540.83604676,1
230602.035602159,6155390.83724623,1
233703.03053569,6155640.82653498,1
233852.031414568,6155989.82536949,1
246703.000326127,6153840.78746968,1
276902.893918052,6137790.72109158,1
273602.893243504,6135690.73522126,1
255302.969363847,6149190.7685298,1
255302.970018905,6149390.76816012,1
273901.893402708,6135890.73392307,1
263201.942337483,6145290.75051631,1
263302.94438961,6145989.74896735,1
276501.897125714,6138590.72095116,1
276702.893996699,6137690.72196477,1
267898.81356174,6107190.80277368,1
268007.813755369,6107294.80223943,1
283405.830252184,6120993.73073437,1
281505.843168858,6124089.73112772,1
280157.815768089,6114491.75194431,1
278806.84388454,6122793.74179053,1
253932.671286203,6055682.92863777,1
252639.683601968,6058910.92803546,1
252211.687310887,6059854.92794357,1
253271.688024605,6060571.92350651,1
253980.686937999,6060558.92124887,1
253931.692656044,6062310.91880209,1
253704.686549615,6060306.92248594,1
255609.706038907,6067265.90586496,1
255559.66764805,6055295.92395601,1
237101.698420127,6056390.98239252,1
236153.715632094,6061192.97830829,1
236205.7155563,6061195.97820804,1
236252.715500092,6061183.97806658,1
235504.695840094,6054888.98990812,1
236404.716601767,6061588.97690329,1
236308.716349491,6061485.97737652,1
236601.71667076,6061694.97607697,1
236607.719946369,6062694.97456131,1
235849.726471368,6064337.97458018,1
231805.728159794,6062995.99004285,1
229552.723864189,6060696.00087717,1
285901.842733413,6126439.71352031,1
230776.98797956,6141065.86319653,1
230776.988125783,6141115.86316797,1
233152.97594675,6138740.85963937,1
233076.975860339,6138664.85994781,1
233526.974942442,6138640.85852706,1
233527.974383725,6138465.85893328,1
237976.961819303,6137090.84677264,1
238002.961436306,6136989.84682962,1
238026.962115998,6137214.84636273,1
230428.015509006,6149215.84939657,1
230327.015585462,6149185.84972037,1
230352.015704551,6149239.84949932,1
230403.016260246,6149415.8490737,1
230602.009066456,6147350.85222019,1
243951.946266973,6135614.8299084,1
243752.948026023,6136039.82980998,1
226327.009483394,6145115.87054351,1
226427.009371067,6145140.87015773,1
226452.009204562,6145090.8701257,1
227702.006414743,6144939.86630682,1
227953.005559253,6144839.86568088,1
227877.005678815,6144815.86589781,1
233600.557745596,6012284.05528627,1
233005.559535415,6012588.05685712,1
232898.559377419,6012485.05738309,1
232504.559576747,6012397.05874557,1
232302.560168975,6012490.05930936,1
231801.560419625,6012386.06110622,1
231599.560696574,6012390.06176535,1
231402.560978327,6012395.06242082,1
231199.560900125,6012289.06319296,1
230801.561364952,6012288.06454937,1
230706.56123222,6012197.06501114,1
230004.571420308,6014995.06367012,1
229903.570891812,6014793.06423087,1
230100.570978903,6014888.06351913,1
212382.153109331,5973944.75015785,1
212081.999615783,5973823.86858911,1
211877.599135383,5974016.60866842,1
211667.046916142,5974098.72720324,1
211457.808144325,5974191.95189362,1
210579.472868218,5975440.20911437,1
210573.054684075,5975640.24960647,1
229399.608446389,6025895.05115593,1
229396.608818468,6025995.05101941,1
229801.606569131,6025485.05039983,1
229800.605578456,6025186.05081177,1
230404.604103675,6024993.04898616,1
230602.603857922,6024989.04840788,1
230801.603624921,6024995.04765306,1
229252.385285054,6025092.38715877,1
228972.335291936,6024872.78471613,1
228771.083563924,6024854.39774052,1
228377.910977115,6024731.03213776,1
228280.996514589,6024628.88988706,1
230699.60406928,6025092.04788806,1
230907.603788877,6025086.0471696,1
226880.380758014,6061958.60134333,1
225185.944510235,5971494.17639504,1
230303.031080616,5971655.16838481,1
230698.91263931,5970445.40913421,1
230706.648593625,5970224.46258757,1
199058.748582726,5981292.59542132,1
199043.217275472,5981736.67164092,1
202646.749453102,5992081.3993916,1
203183.971297289,5992210.88281756,1
210416.354969459,5986011.22093899,1
217454.103466778,5982687.72466315,1
217789.123745129,5986252.90596474,1
210651.888976793,5976242.45694521,1
210553.073207361,5976461.81116032,1
232870.544704755,6008053.06317249,1
228185.78821071,6005022.57859042,1
208576.046421493,6003391.51857383,1
213871.139148427,5998677.92883575,1
220103.571016765,6001101.46584291,1
224703.696628942,5998137.36473579,1
225042.914648684,5990261.72568577,1
224871.490845035,5989923.45486428,1
224104.680281337,5985789.77958503,1
227097.775596311,5984995.46641503,1
230167.382595499,5984645.81853299,1
230149.929095758,5985201.80649151,1
222949.027663437,5979642.84318635,1
228851.197721457,5974942.45635847,1
229504.378067466,6000286.81858948,1
229177.729804871,6002054.04688313,1
193448.194725388,5997541.24275292,1
223675.185982583,6030872.40709456,1
223946.246850526,6030880.03555651,1
221355.623275312,6044238.62592917,1
224758.68467426,6036792.26045956,1
220632.724901041,6018447.09703323,1
220730.406050473,6018227.65966863,1
230260.566932503,6013748.06441564,1
229955.571058706,6014851.06402748,1
231164.575504763,6016664.05765425,1
224765.790043817,6019132.43052167,1
227795.79989907,6020448.13759713,1
228823.983717047,6019370.26008379,1
230560.582836201,6018644.05697112,1
228382.955568481,6024909.68052202,1
229350.607953925,6025716.05157217,1
229722.606362705,6025394.0507506,1
246178.613982463,6034545.98405949,1
228780.660771697,6041359.03170427,1
253671.636843311,6044861.94521599,1
247942.665560633,6051185.9546114,1
247962.666041482,6051362.95426417,1
238384.696967736,6056526.97793442,1
238745.696879812,6056649.97664196,1
236379.721321539,6063020.97488632,1
244778.7235671,6067594.94038109,1
245302.725378172,6068387.93755057,1
238130.736041507,6068291.96105509,1
238117.737520686,6068735.96046484,1
238249.763190302,6076623.94783465,1
243309.779651539,6084098.91946983,1
243314.778920081,6083877.91975966,1
251452.750259733,6078998.90111371,1
204820.897691218,5975823.01234817,1
207904.413055728,5975039.44231138,1
233942.408065628,5967213.10866344,1
455703.403051395,6488389.35523776,1
481203.362222227,6506589.23811961,1
481303.362337913,6506789.23726503,1
481003.364930245,6507489.2356897,1
429459.999970173,6437314.99984656,1
447859.999967691,6462441.99990208,1
448864.000018859,6465314.99990179,1
243827.541535511,6195482.28281857,1
241870.550424956,6196215.28802126,1
243450.544731594,6195879.28175176,1
243836.539035985,6194736.28705344,1
243665.52949943,6191807.30480993,1
243948.533417239,6193052.29606468,1
243768.532182681,6192609.30012047,1
513147.795937758,6766175.18318578,1
267906.926465996,6142982.73989052,1
283817.82828658,6120570.73012197,1
274792.858680608,6125295.74995864,1
200836.697275691,6066207.86434349,1
372211.106301722,6354753.07576177,1
264196.131963665,6105114.3968054,1
266071.158892517,6110133.36600835,1
264809.16208003,6111110.364208,1
260769.134228791,6102633.40446725,1
269816.14403952,6114917.3412977,1
369104.67456161,6358189.4251631,1
347604.754208184,6360689.52777461,1
204198.098613907,5945872.16265085,1
223252.333083292,6152970.36397357,1
288400.348172022,6293298.91236207,1
338299.806057838,6305000.03579043,1
370000.099089781,6358499.98113555,1
442749.835567481,6445750.31459272,1
277603.632744197,6248736.78970906,1
277836.632798008,6248992.78777463,1
277419.635707864,6249166.78325466,1
277341.636583831,6249261.78160001,1
277482.636874526,6249467.77984142,1
319004.465571786,6269339.8105464,1
280518.096512986,6114664.31003476,1
282767.117346949,6122587.26378049,1
279492.228681365,6140343.22287879,1
278021.211080261,6137287.23038532,1
284654.15720582,6132490.21721671,1
360015.800193261,6364315.34606917,1
229275.587839912,6184130.10947281,1
197768.257576266,6428089.74719012,1
288499.869799209,6210999.94941097,1
373498.849569026,6361699.87934817,1
280019.574697762,6286432.67247827,1
279721.584624743,6283468.68528951,1
279914.584576279,6282891.68801714,1
272605.021516307,6419689.42253847,1
209077.683162589,6160356.09102763,1
233604.65509772,6316389.4938774,1
292799.944181639,6200635.14699986,1
260102.493493715,6264934.42543042,1
227473.874423813,5875174.37453163,1
314704.614144917,6301039.66691059,1
376499.704491237,6349999.89545004,1
358409.959421067,6329840.28160071,1
280713.226007288,6140840.21807638,1
273680.013260763,6096283.40272844,1
277341.474044584,6140867.15478742,1
278413.668046516,6137870.45042605,1
281150.83136599,6114468.19349573,1
196196.783543718,6146064.26401459,1
274510.216432411,6202369.11391363,1
332454.449641064,6282789.71611646,1
321404.506722184,6287689.7159621,1
323779.496880432,6287389.72383395,1
318304.528304859,6288689.70651111,1
265495.485308029,6200276.76912965,1
227842.944484614,6164170.98071266,1
285370.323341695,6282086.96514596,1
318398.883348092,6283750.09145999,1
318629.09062464,6283640.18103993,1
322650.131771599,6275070.21032334,1
323188.801138008,6290580.11264819,1
322549.93225352,6287700.1123705,1
301017.82651413,6214635.34112261,1
310428.884522537,6215310.97539397,1
345252.869949778,6306856.89495864,1
345384.761341803,6305533.84645459,1
267770.475795382,6193542.1326301,1
279434.461410641,6249582.876048,1
287934.543917787,6211047.91609773,1
284796.103602408,6120885.26835828,1
264007.160819683,6108351.37628683,1
318710.143252946,6283700.11028798,1
318449.892141797,6283750.20911622,1
222696.209730095,6043628.8996112,1
358303.605448424,6329715.20545405,1
318800.002490203,6288600.00482837,1
323190.00223781,6290580.00489862,1
320810.002343958,6286800.00484826,1
331274.001804104,6285179.0049011,1
229040.274661161,5972186.41377175,1
278406.625287925,6270978.69676452,1
324000.002162511,6287130.00485805,1
344054.092802796,6303551.48333358,1
228778.022901909,6166523.93813943,1
338591.554320111,6240678.39156194,1
366104.59619592,6345189.46776071,1
350230.409496658,6366100.09839995,1
286400.505129968,6281899.99009348,1
229999.114396625,6164000.05637337,1
348999.840131334,6341120.14861875,1
223428.081444273,6122183.15005178,1
263028.463064926,6187916.19252558,1
240717.452229271,6171378.38104842,1
240501.454189044,6171718.38252557,1
240718.453789208,6171749.38105067,1
284231.337514385,6174721.12772136,1
283308.333940162,6174197.13013177,1
228298.088944631,6052181.43549212,1
280229.583407808,6282339.69053638,1
279404.627609799,6249489.79131649,1
289946.548650541,6212859.90056844,1
221789.831543675,5889266.29376874,1
225502.716180628,5895698.29510556,1
355104.756103786,6368189.45903486,1
360964.743253193,6370189.42468762,1
351604.551920947,6308189.58419194,1
325104.438081356,6272189.78261573,1
279754.592617204,6282529.68831261,1
288156.006112465,6180345.00507759,1
224105.769016203,5938599.61207878,1
229395.185037096,5954962.67339079,1
223749.415783566,5947495.6314821,1
226425.66118847,5947963.57268281,1
223138.828310918,5960484.19125077,1
183477.053611404,5902466.27398712,1
184382.145863318,5902423.12667304,1
184356.934762442,5902822.5892312,1
187628.177691584,5901825.88857477,1
193387.794751761,5878930.74905473,1
201711.321731471,5874145.64283512,1
206449.716552472,5878455.93478633,1
226809.51263651,5854594.22946386,1
212114.993949599,5866587.17263492,1
228274.347592565,5866211.90220788,1
174996.834781117,5874856.16307487,1
174135.981773279,5874199.84457424,1
224145.188558515,5901324.53497998,1
215623.675867925,5910908.87741783,1
211592.849216324,5911256.24954779,1
217120.18396063,5901482.30412376,1
211222.190198574,5904417.44925454,1
204516.005967258,5859989.13869347,1
200797.441651366,5864864.91795494,1
205153.410576101,5870454.7361697,1
210232.732243791,5864663.2147865,1
196223.088861689,5870589.13499074,1
205981.746645147,5860583.65844855,1
223436.7548979,5920520.25828193,1
188391.803840829,5869189.25341617,1
186645.104773996,5868276.13679114,1
224193.320887283,5937202.21258723,1
223881.369252743,5937383.07800264,1
225141.682312874,5936460.00010098,1
225584.724911326,5935786.33639362,1
225678.280612329,5935892.40487421,1
224385.750407939,5951744.00585038,1
206605.066796702,5879167.46998832,1
224486.479184906,5856450.42069599,1
174717.794822219,5872933.14337419,1
174499.017871125,5873220.09167064,1
178035.88759099,5875951.52179577,1
178597.096024858,5876588.77850289,1
175331.451513105,5877484.64062045,1
174732.19446966,5877446.62665059,1
213153.976766339,5923080.74059717,1
310504.702394971,6332089.55999304,1
310504.702200202,6331889.56034756,1
291904.734061767,6328489.56674314,1
309004.706863708,6332689.55864483,1
182096.72244638,5886236.11917165,1
172655.475939613,5889649.48260312,1
185404.906692781,5886245.0625532,1
184935.906797701,5887318.28008974,1
180268.79453934,5885017.38540557,1
174354.674223272,5888152.54353934,1
180742.839564715,5885448.49286168,1
179937.55760927,5885497.76189682,1
209265.870950349,5899683.4162227,1
214944.53359593,5898638.91724668,1
210523.006653481,5898981.02359158,1
213124.552206434,5900478.34830806,1
214041.903771397,5900235.60189036,1
213957.837810157,5899979.73208796,1
215193.281573066,5897081.12475454,1
209434.024435554,5898290.80686027,1
209624.765630376,5897651.35792857,1
209532.032705712,5903088.00657747,1
214001.693812591,5896905.6028193,1
208362.39196604,5902563.14954039,1
209705.369182266,5897486.05874936,1
209424.56372841,5898440.55532073,1
214122.511735202,5901022.44082656,1
211342.029296711,5899343.46372562,1
208989.178852801,5900096.93568884,1
209238.866699749,5895351.72389736,1
213932.624670995,5898474.7708187,1
211057.259814163,5900678.55875468,1
212476.073445935,5904877.4201652,1
212907.836451376,5902799.92297773,1
211045.714460103,5905308.36499599,1
210676.472673285,5894490.41830189,1
212950.0529227,5892930.3105292,1
212208.146458444,5905311.53502259,1
212665.561031535,5898224.34254522,1
208100.012980926,5903067.79508569,1
212568.960537266,5906106.03381501,1
212214.852996996,5903457.77040678,1
209325.04159161,5895256.9398898,1
316304.684035963,6330889.56213991,1
307704.715200749,6333289.55696271,1
323704.669932406,6337289.5446397,1
206610.687709758,5955544.68865375,1
204857.341069302,5956337.32116531,1
200508.193800729,5958571.79827053,1
201356.781890818,5957822.85410957,1
201662.545662532,5957741.69405318,1
202854.272043624,5956312.55733579,1
201437.762501572,5956524.86551986,1
201631.222532842,5956637.17074788,1
192837.8112641,5951376.924522,1
193056.234993388,5951089.83089035,1
193062.472535191,5950989.97472381,1
194129.77514303,5953161.77278752,1
204008.320781541,5979637.74585203,1
202830.146261326,5982471.26709425,1
204296.117621552,5981459.72162385,1
203490.506859943,5979906.28393485,1
197319.226080186,5980826.22031176,1
196451.551181285,5980271.16915453,1
199772.091730288,5981680.10306731,1
199790.684029863,5981380.55529791,1
199840.269128965,5980581.76103023,1
199946.316103029,5980488.10980501,1
198379.087197666,5978285.86624548,1
200368.892013352,5989835.95163127,1
196631.120382471,5990306.05283971,1
232304.146121748,5974790.76249401,1
232104.148544011,5974290.76316087,1
231904.148741257,5974390.76266079,1
231904.148392131,5974490.7625268,1
230222.231401945,5973850.94627569,1
230328.245428891,5973757.34452606,1
230428.052982235,5973763.55061888,1
229336.890768314,5975198.62516104,1
229442.904020139,5975105.02032428,1
229449.108626893,5975005.21128941,1
229661.13545828,5974818.00268791,1
229767.148764486,5974724.39878201,1
229866.957021964,5974730.60348523,1
232104.154559848,5972590.7663374,1
234304.15249096,5971490.7690945,1
234204.152745136,5971490.76911862,1
233904.15293432,5971690.76880586,1
229354.063167018,5970089.74436032,1
229254.254348463,5970083.53360614,1
229054.636364214,5970071.11216518,1
229410.396477999,5970794.6166123,1
229416.606857751,5970694.8077897,1
229316.798160843,5970688.59783017,1
229123.39086711,5970576.36872162,1
228855.463851725,5971661.85321298,1
229067.500899485,5971474.65191874,1
229167.309983553,5971480.86084638,1
229391.332835462,5969490.89134303,1
229385.120907546,5969590.70015731,1
234204.156837886,5970190.77113296,1
234104.157164122,5970190.77114765,1
234004.157789868,5970090.77136753,1
235204.152761959,5970490.77023271,1
234304.150954802,5971990.76824,1
234204.151212401,5971990.76832164,1
232404.199152734,5961190.80287975,1
233804.195814261,5960890.80077291,1
234204.210650404,5944990.82517529,1
234304.210461586,5944990.82516823,1
234504.209929813,5944590.82558568,1
235704.2105117,5947890.81489469,1
235604.210637678,5947890.81505876,1
235504.210729886,5947790.81563279,1
235404.210843985,5947790.81582165,1
235304.211002022,5947790.81596357,1
217888.620771826,5925883.69244628,1
217982.173266557,5925989.78436691,1
218075.725710198,5926095.87591895,1
217913.215863741,5927087.82714764,1
218119.128168777,5927000.54185994,1
