"X","Y","po"
230452.015708131,6149289.84915962,1
229486.209553214,6096774.21360655,1
216461.546096626,6089472.69406787,1
199609.05325072,6075771.18961248,1
177935.461104677,6045445.06681323,1
180413.352061898,6046936.00601232,1
197136.918008846,6062733.63358497,1
214046.25413453,6211624.77441326,1
210628.061975775,6203278.01834939,1
182247.660108876,6191242.29837126,1
181361.263216017,6188475.31463037,1
181634.736203926,6188819.45008733,1
181981.338402622,6189903.43281122,1
182114.903677623,6190519.49000621,1
182231.936605224,6191909.61317831,1
182090.39789772,6192680.27379195,1
181949.628739978,6193015.75497015,1
252647.186950416,6175826.2758017,1
252575.439020743,6175783.28350908,1
252483.458299992,6175763.04151052,1
252452.956424958,6175750.36954443,1
252423.685890866,6175744.08251681,1
216474.026787912,6089517.57339689,1
211095.692962472,6087113.30906399,1
211956.846859278,6259714.96039121,1
213477.035430165,6258608.42593945,1
222004.731951589,6321189.5371993,1
183361.664553813,6050710.19891493,1
225121.087884763,6077187.72276626,1
253683.234878453,6181159.52019302,1
176021.357827517,6041889.23176873,1
189631.596198798,6038518.15342998,1
173046.11173517,6037921.27225943,1
230226.4773553,6306330.95982009,1
149398.653183912,6264853.57340774,1
206586.814667914,6266780.12651703,1
204359.108455128,6238949.61639954,1
178224.46501201,6236246.20202393,1
178463.740870866,6184413.40014146,1
166537.253468239,6174734.0267654,1
237384.081466019,6108541.4789412,1
226862.108985876,6104528.69000588,1
232990.563371428,6102860.82017832,1
230119.992151465,6097223.17882691,1
201475.042687938,6090767.19170867,1
198504.061723544,6088816.78197404,1
171347.246907793,6084162.20493051,1
186826.274162905,6075455.88145317,1
188404.601498886,6073659.13512348,1
200823.338569115,6064825.02475345,1
226018.731947278,6082292.25915135,1
222989.213701261,6082199.35556228,1
176061.734026609,6038032.10929217,1
182303.54917863,6191025.54202188,1
200761.405049045,6066674.4513889,1
227175.448286861,6304395.31386644,1
174647.696407156,6059495.73982395,1
199287.341619178,6112448.50953644,1
145254.853511777,6082429.44224309,1
226148.511143953,6078039.01488737,1
203724.588919436,6232945.34265956,1
252548.106490547,6179680.03822717,1
170712.67349537,6246662.47019752,1
166437.196772738,6174553.23290284,1
200720.51923782,6064644.26286437,1
222886.263287649,6082018.56645103,1
166753.471064776,6174197.94116331,1
200732.785968455,6064278.07522869,1
222897.556165296,6081652.41428941,1
166434.033912024,6174556.78577426,1
209970.917039346,6059460.76586698,1
199267.460140673,6062751.33680243,1
190646.776582183,6049490.88035737,1
168991.991619252,6061335.69333603,1
174542.847200776,6059317.3077877,1
216591.08070488,6089230.39297317,1
226770.081585466,6103981.85505956,1
174570.053503403,6059318.30041496,1
218515.971247235,6076329.40391165,1
228613.986805862,6093298.70026181,1
165184.416372995,6083765.2018771,1
216594.082463397,6089230.48742256,1
199917.18225605,6088690.29077023,1
227075.009522474,6304214.99799461,1
253579.686593592,6180982.49383412,1
172641.719475005,6037732.96098267,1
178441.797599216,6235709.8744742,1
233180.066113581,6103062.63250622,1
199224.795919852,6112272.72942152,1
253876.0801313,6181360.3819584,1
227392.465142154,6303857.59895888,1
253582.650111974,6180986.27239571,1
172940.266678488,6037743.99115746,1
199188.313500757,6112271.52051884,1
227102.932324267,6304215.78488291,1
149604.444959621,6264687.89736017,1
237573.927630372,6108743.12458509,1
145141.868211001,6082251.84483892,1
182184.803296942,6190847.77580229,1
223989.451803638,6293461.26513893,1
145150.962498097,6082252.20382523,1
171173.797926343,6085830.85038722,1
182203.203519356,6190848.40319561,1
179233.630498223,6053120.07134135,1
188304.560991573,6073485.88778619,1
171241.126208447,6083988.65041654,1
186723.460027658,6075275.11322048,1
230013.674402873,6097049.78330808,1
229702.306663072,6097406.93371631,1
170927.623465597,6084343.89619918,1
186736.254798412,6074908.91101129,1
188591.548341888,6073862.50762905,1
209492.46007328,6074197.75646742,1
270465.572557188,6179565.3077528,1
167725.501061309,6056076.42904189,1
171213.84406523,6083987.65307005,1
227866.550880926,6301175.56182432,1
178424.382414209,6182386.80579297,1
230122.822231631,6306154.26476289,1
178347.618452602,6184606.02737778,1
177044.360351974,6183110.40412649,1
176889.310605365,6182333.56636206,1
252445.616426209,6179501.79931441,1
175961.906830432,6037855.061515,1
206174.230206229,6266593.93656591,1
176260.450202936,6037865.97937737,1
206480.226216527,6266603.3347686,1
175920.627077932,6041709.67614601,1
252644.870200303,6175821.56518895,1
189830.246717669,6038351.58590612,1
175938.728509779,6041710.33764964,1
175826.749085989,6041550.66669828,1
189531.718599985,6038341.12694893,1
201374.923145872,6090593.85424714,1
225623.996902417,6081736.09233036,1
201663.055900159,6090969.97424351,1
197761.747835252,6062700.49616827,1
176992.687933395,6050861.01444072,1
175894.111314043,6039708.41462402,1
225912.734618371,6082111.39469895,1
201436.340663535,6088740.77984385,1
200658.457395312,6066497.39217485,1
226015.169053883,6077861.01288778,1
226042.421490784,6077861.84500474,1
204255.616891095,6238772.77017235,1
177463.666992405,6037909.87930782,1
178840.568290328,6041660.33197477,1
202248.221250983,6253513.07239785,1
198452.185577035,6042348.87834667,1
198097.8196564,6088629.48660268,1
207674.98849161,6083391.54978994,1
286957.709513585,6263186.55895993,1
198048.69417832,6063076.81511989,1
209552.536615732,6072344.70129963,1
