"X","Y","po"
221755.641191397,6332627.46809934,1
249588.424853123,6287597.49080932,1
251500.360518426,6268938.5291675,1
251460.35735641,6267923.53162496,1
248248.374104069,6270795.53518497,1
256342.363420719,6273395.50315231,1
247585.014768512,6172360.00534029,1
209531.972668563,6144066.15123217,1
209713.483117103,6144046.95981728,1
209665.953186626,6144004.03348969,1
203305.446954713,6030011.26647272,1
230377.988998481,6141165.86430106,1
230153.015478293,6149040.85055442,1
226077.010163948,6145165.87125284,1
226327.010121324,6145290.87024724,1
227778.007377971,6145290.86539001,1
227727.007470466,6145290.8655892,1
227778.007294099,6145239.86548598,1
227828.007179185,6145239.86535248,1
226102.005398558,6143740.87380094,1
213827.563860936,6047331.00194048,1
256753.411432955,6288840.46494457,1
231877.018235058,6265352.00539176,1
233136.01821076,6245206.00540983,1
223402.022015346,6232411.00551188,1
223464.021987179,6232692.00548287,1
219175.40035347,6227121.58139343,1
219693.368963964,6227325.31978192,1
211112.977627725,6220657.56486619,1
229026.02006223,6221180.00546516,1
231012.018482987,6265452.00535544,1
226103.020978065,6233190.00542579,1
227115.244195213,6223772.17192027,1
241713.66975166,6297702.50660758,1
244229.67489633,6280689.52938256,1
236091.436497685,6299330.94645973,1
251963.808423341,6267955.40479645,1
235528.41429098,6302829.7544102,1
247989.456932676,6272443.47340479,1
235904.705795547,6302839.6089246,1
235771.740571466,6304639.01064572,1
250125.012683199,6275043.00516279,1
234254.671640557,6289889.54344423,1
244104.680421786,6294189.51311265,1
244704.68209414,6293189.51594401,1
193902.40878484,5987430.6049314,1
224599.561037692,6313011.26573827,1
224783.018806711,6313849.06477466,1
229092.873706789,6313199.29078768,1
212251.498074136,6345496.85835637,1
212445.43686024,6345749.35349328,1
213076.505394189,6346047.84921733,1
213813.024456065,6344955.97204855,1
213977.137280495,6344660.827207,1
215588.581983303,6342790.59534881,1
217236.921155946,6340818.36990207,1
265804.48626456,6193590.14733698,1
252604.715423277,6267689.56370324,1
218743.682097923,6169022.75290442,1
242104.681330452,6292689.51818446,1
249070.7436185,6358630.5718037,1
241681.64473848,6284443.30160416,1
244113.962665997,6307632.69139757,1
241477.416160932,6301704.49182366,1
237518.934325049,6315133.85678208,1
257160.466890408,6284846.70774037,1
208217.11529912,6165033.8306118,1
193097.076545701,6025676.39119744,1
246033.58472624,6125442.38500023,1
238406.227775948,6073407.82502583,1
219435.023647687,6357831.9536194,1
231369.270010336,6321163.60710452,1
257020.461457968,6290392.48859743,1
249372.990281638,6286496.76765918,1
249952.459561172,6264312.86749849,1
249807.306556974,6269858.89271837,1
232199.47175236,6236077.25816861,1
220371.505807514,6219079.86894215,1
201295.799471438,6006206.66968602,1
200089.072868935,6003387.84250762,1
204071.127996413,6013090.21128371,1
204320.728495443,6005692.07680471,1
198874.241548726,5974797.22165364,1
234684.644644259,6149177.04502617,1
227165.201166137,6145255.34046668,1
225901.513949809,6254894.30299656,1
239983.901554263,6289947.67834979,1
247068.464155234,6088461.2239515,1
225932.94927228,6139666.32332958,1
228059.514954259,6145127.67154043,1
244532.355601374,6293769.28648304,1
200152.6263617,6031690.14378195,1
231010.083152275,6250846.06929178,1
412682.873817853,6760463.03806968,1
244875.670514324,6280828.62986539,1
411904.88928419,6757487.31090181,1
212772.200302635,6169464.59646523,1
260546.01451706,6284685.01457071,1
225794.036404133,6139488.18660539,1
227920.592103506,6144948.29865031,1
198731.224670827,5974617.86645208,1
215039.979608323,6042897.34229275,1
197732.841953589,5975660.92243341,1
241887.49509466,6284274.97699769,1
204518.106658734,6005525.34811963,1
241581.008134072,6284266.74702971,1
204220.722359441,6005515.31336186,1
225797.880673236,6254717.63213167,1
249269.113263502,6286323.82856953,1
225818.385034563,6254720.6872703,1
247278.814839823,6087922.96490366,1
415489.728917711,6760678.31920045,1
412575.457789782,6760656.30191911,1
249259.577985294,6286689.85775292,1
220564.425351748,6219281.78315749,1
201162.585646475,6006033.70684541,1
193007.036828702,6025129.4274451,1
239880.181396166,6289771.02272297,1
232224.298215749,6287310.24756503,1
252934.628795444,6264220.27884711,1
260109.207308957,6286600.11999539,1
241082.316393895,6302753.38039239,1
248012.167623052,6275187.74914093,1
246385.138773798,6289944.42195203,1
241131.781345946,6300904.69265894,1
244821.049478379,6278803.3289845,1
243550.808240373,6326863.96678928,1
412062.43821445,6757204.9200369,1
241386.883240358,6410046.15573258,1
238605.794439349,6073239.61460723,1
