"X","Y","po"
232802.0691442,6166839.80812531,1
250603.092099431,6184639.71517375,1
226702.006207925,6144340.87065322,1
235201.932657325,6126689.87445589,1
216377.397062263,6139075.23224545,1
200200.368378685,6120568.18735365,1
151212.977704766,6113351.83188757,1
151631.886655801,5985111.62839229,1
223233.882190094,6152510.40308069,1
225482.192378374,6141725.28994592,1
222829.787485873,6140013.52300827,1
222657.064935264,6139552.34399889,1
220797.879835526,6125464.81066282,1
209713.483117103,6144046.95981728,1
209665.953186626,6144004.03348969,1
176521.642484886,6130971.95396353,1
175071.31291219,6130082.87682173,1
175068.313474662,6130132.82120923,1
179362.745187175,6126230.62203806,1
179011.249705131,6125407.54024567,1
177648.623865473,6127230.28999342,1
176199.199690459,6127995.2906436,1
216184.521468796,6140562.01555336,1
216083.696508665,6140656.16549148,1
223582.290252293,6147522.17397739,1
223589.234051005,6152431.46189833,1
228802.039911537,6155690.84264005,1
233703.03053569,6155640.82653498,1
209716.472344428,6143997.03854775,1
216228.156224754,6140669.83237371,1
226652.006153036,6144289.87099632,1
226102.005398558,6143740.87380094,1
151740.643523457,5985072.23447814,1
149943.994130877,6129426.06537353,1
157496.115916793,6125567.87439169,1
134443.529113488,6155476.47931866,1
143584.549303696,6172068.22418395,1
122348.98342171,6088467.2005882,1
231937.106319396,6177634.78992149,1
139153.788288624,6139192.2377816,1
140358.210836324,6143967.40807412,1
235435.217569218,6110192.4866728,1
225269.278201326,6154464.83094814,1
223252.333083292,6152970.36397357,1
229538.668968271,6166045.99598812,1
221644.909690234,6138843.9728018,1
222226.450229941,6161015.26844686,1
225000.898680868,6156999.56730957,1
226999.330534497,6157000.14470943,1
176893.011960699,6130182.6934496,1
215364.968156124,6141118.55775009,1
214919.933673959,6141472.62527259,1
208798.565123286,6159525.81571973,1
153749.715064951,6121570.602557,1
149190.86124426,6119488.16706778,1
187053.070766913,6115394.18146231,1
233104.387882081,6153521.42598213,1
227842.944484614,6164170.98071266,1
228778.022901909,6166523.93813943,1
229999.114396625,6164000.05637337,1
223142.22458171,6121955.55838785,1
194214.533530006,6314169.06404225,1
226835.666644779,6156349.82370041,1
148683.313563579,6081452.55610644,1
169176.595908509,6059417.95849967,1
237367.359452695,6162207.72523852,1
249090.298614123,6181036.54205387,1
222757.173090716,6139570.70877121,1
149576.455205007,6137061.9286441,1
175693.88083559,6132469.1465344,1
142386.957369929,6125668.35461084,1
