"X","Y","po"
221803.634034039,6330490.47356199,1
239301.989347912,6146240.82575972,1
243652.987849104,6148239.80780264,1
247153.036022913,6165139.76457381,1
237102.740228936,6069090.96329584,1
245002.99915287,6152489.79550468,1
223954.073106119,6060131.96037342,1
233202.734219575,6065489.98155918,1
229167.724830202,6060796.00205329,1
229017.723963353,6060472.00305174,1
228226.724232753,6060193.00603562,1
226586.819983944,6058018.33387469,1
230701.733561706,6064140.99196296,1
229901.736964752,6064789.99356876,1
234902.73199102,6065590.97581746,1
226046.324894681,6021084.89184258,1
241092.772555471,6080839.93191933,1
241152.78488696,6084639.92562197,1
239301.784331321,6083589.93340757,1
240502.778402758,6082340.93140854,1
242602.782566062,6084640.92095245,1
216991.287358432,5980344.14509391,1
229620.014909464,5977871.83377325,1
228604.953313766,5982117.17153829,1
266057.009972132,6184577.0051979,1
171391.068470885,5887362.00367922,1
175726.900219841,5883929.23197108,1
175715.643230572,5884027.79266348,1
175706.985678817,5884227.79730811,1
175703.655774122,5884327.86292576,1
229702.598726563,6023095.05387012,1
175516.239989634,5884120.4524411,1
183392.52344565,5883108.31834758,1
183500.504851435,5883113.15449974,1
171500.065825694,5887366.89732044,1
183222.715570285,5882702.50852031,1
183129.747044568,5882587.32679698,1
183125.353213946,5882688.31805642,1
224766.020211551,5897762.60347979,1
183017.371298633,5882683.48129209,1
218628.89234803,5890249.28004862,1
218739.513990078,5890164.07802772,1
183455.156366817,5912387.58881725,1
182821.261646552,5912853.00110943,1
183111.099499232,5882786.67912396,1
191294.332338385,5881902.58214667,1
191196.347576199,5881898.37740215,1
190990.265556413,5881891.3319954,1
194512.763817936,5914992.60115133,1
182747.141019973,5925176.69626194,1
182742.866447643,5925276.69028326,1
218622.845013516,5874516.29586599,1
221629.718493719,5885637.8221356,1
223605.807796835,5892369.02869486,1
190795.926512415,5881873.0000821,1
216426.553889576,5917274.74068844,1
171597.443906671,5887381.08365782,1
190381.911133178,5882046.2736986,1
185566.603428703,5942607.11368337,1
185665.595423273,5942611.30275856,1
183443.525572639,5942873.29935295,1
205809.363348814,5913902.39823618,1
206128.247448819,5913725.01607029,1
206019.631984567,5913810.39183423,1
205907.329952461,5913906.56154316,1
205896.52324203,5914205.5786305,1
171886.213682755,5887492.62344126,1
203195.777519091,5915645.3520257,1
203003.753945832,5915527.01585262,1
203007.042553018,5915426.98587083,1
200291.140047437,5917265.869678,1
187630.497676329,5892202.74823819,1
185488.526620653,5889656.97045748,1
175730.161108645,5894955.77351151,1
200297.712706771,5917065.80264098,1
185261.656844661,5886936.50446002,1
199794.766199431,5917125.37861488,1
199598.691384619,5917119.05705304,1
223538.456583355,5938060.49171583,1
181320.678286631,5869947.96009002,1
181433.073073752,5869851.82177884,1
172089.591293628,5887511.5133728,1
199601.977876036,5917019.02266235,1
199617.474486452,5916820.51764138,1
199624.111194098,5916619.45037074,1
199362.395722502,5915999.52832105,1
199472.707595642,5915903.22141847,1
198975.576535695,5915774.70154629,1
180892.674482476,5894186.09811256,1
180795.370482602,5894170.92332899,1
180475.702714752,5894358.27374057,1
180164.718025061,5894535.14501038,1
179864.296704895,5894513.14837849,1
179875.539701578,5894414.59187204,1
179371.063985801,5894384.71059357,1
179949.656269402,5894828.37707155,1
178732.770504831,5894949.00145532,1
178439.397653627,5894926.44938971,1
176848.605791904,5894632.38190557,1
172004.189050522,5887197.24225365,1
222984.86460194,6058873.51153779,1
218375.025104589,6052275.56472377,1
218475.035080943,6052278.67150827,1
218729.241849369,6051398.42510328,1
218826.204544083,6051500.54418675,1
226702.087882237,6061908.6531779,1
226502.759499422,6061891.48563447,1
