"X","Y","po"
397845.000001594,6747665.99994636,1
372284.217595218,6625200.95317959,1
324774.12352886,6593922.33184627,1
321698.184764099,6611436.2758451,1
321686.182415348,6610608.27893255,1
321873.179755033,6609900.28107284,1
321239.177680922,6608382.28852533,1
324875.118643524,6592335.33729378,1
331994.08755742,6590504.32386774,1
428303.823505741,6625388.94255157,1
404054.458000711,6641294.10541176,1
409500.031563776,6829168.34518158,1
353281.411445256,6609627.49040982,1
360488.439382147,6470097.32030379,1
413342.324405718,6801998.76062105,1
395327.979399445,6586077.61516652,1
366004.459214381,6589288.48832598,1
356104.555434883,6604988.48422481,1
314604.797465058,6600088.65687142,1
313604.796587244,6598688.66796734,1
320305.130673119,6691188.051063,1
316604.767843955,6596988.66764272,1
319904.73968868,6594188.67415642,1
349904.525953329,6585288.57069517,1
424904.371437339,6646287.95923881,1
417804.398146982,6649387.97332677,1
352104.853368825,6681587.99522233,1
355404.803657805,6676688.01080935,1
356804.783528775,6673988.0235678,1
359904.745457196,6666388.08147998,1
364604.708407718,6663788.08417707,1
431457.999973863,6626748.00449276,1
429000.000041358,6631600.00453844,1
442888.000039384,6626518.00454746,1
326103.848351006,6498989.65712095,1
327703.842852956,6498889.65280212,1
328303.83976852,6498489.65244307,1
329303.835102643,6497989.65124968,1
326603.848195215,6499489.65405144,1
326603.849563689,6499989.65240473,1
326703.852144071,6500989.64883299,1
326803.852077746,6501089.64821198,1
327803.854264771,6502989.63907441,1
327503.849763277,6501089.64622373,1
330503.840533554,6501289.63702279,1
329503.844714435,6501589.63892163,1
329503.846089356,6502089.63723332,1
353225.253270335,6679683.92403369,1
339662.165565337,6628554.16078996,1
428003.843471945,6633188.91372967,1
428003.839841831,6631688.91942884,1
326104.929173366,6498989.11780806,1
327704.921916988,6498889.1158494,1
328304.922637242,6498489.11604952,1
329304.919986178,6497989.11257295,1
326604.922541735,6499489.1173492,1
326604.91842642,6499989.11749315,1
326704.909490471,6500989.11582037,1
326804.908003239,6501089.11527609,1
327804.886203622,6502989.10640778,1
327504.903853279,6501089.11274471,1
330504.877113525,6501289.09686209,1
329504.883904577,6501589.10122775,1
329504.879454101,6502089.09888661,1
399586.000004346,6622695.99992577,1
365674.000039155,6573590.99988723,1
364272.999975497,6571129.99991364,1
350851.000009393,6617191.99985881,1
356514.000025909,6563094.99994817,1
350455.999953718,6560474.99986427,1
349625.999997622,6561422.99988413,1
349186.000035086,6562200.99995778,1
349126.999985423,6562053.99990651,1
348743.000043216,6561833.99994182,1
348777.000014804,6561549.99985643,1
348690.000004099,6561609.99990821,1
348857.000038721,6560775.99991584,1
349891.000014915,6561803.99989812,1
365979.586246966,6449953.70160391,1
397023.262626796,6752441.50757538,1
338757.000034346,6635455.99991165,1
353903.65899178,6462989.69422993,1
406154.361882951,6808238.23888224,1
406639.358928876,6807917.23913623,1
392803.845375968,6581989.1909304,1
410704.041464306,6686588.74714291,1
392303.850779229,6583389.18724645,1
393403.840719044,6580989.19299671,1
425103.648713673,6548789.22716217,1
425203.64818385,6548689.22722639,1
423203.845304141,6626488.95082991,1
423203.845513809,6626588.95038071,1
422903.845913111,6626288.95225891,1
423003.845351654,6626188.95238631,1
429703.820889152,6626488.93503595,1
429603.820995017,6626388.9356183,1
430303.81881759,6626588.93314576,1
430403.818983818,6626788.93218279,1
437203.622420829,6555189.17564479,1
430003.653179329,6557589.18462885,1
430103.652408704,6557389.18506444,1
430203.652063546,6557389.18484655,1
393003.849791606,6583989.18324487,1
431303.645781041,6556389.18568953,1
386503.884557097,6588389.18411576,1
386303.885278622,6588389.18459449,1
432603.638863148,6555389.18601224,1
429503.846191129,6636688.89683891,1
436003.79033177,6623588.93077413,1
432803.801049029,6623088.94036306,1
427803.84710195,6634388.90971266,1
427703.847748185,6634488.90950025,1
437203.622008218,6554989.17632449,1
427603.847128201,6634088.91133822,1
428303.844262867,6633988.90992527,1
428403.843838784,6633988.90969476,1
430303.831144598,6631688.91391743,1
430403.830761068,6631688.91365657,1
430503.830348767,6631688.91336122,1
430403.831044608,6631788.91328633,1
430403.83126121,6631888.91290168,1
437603.620854783,6555089.17505636,1
441903.773402983,6625788.90855672,1
441403.774116249,6625288.91158574,1
429203.847159923,6636588.89787796,1
429153.877924223,6649288.84921462,1
411954.041556131,6688638.73582613,1
412104.041074621,6688688.73524696,1
433537.065207079,6734941.4926599,1
396804.206943974,6729988.60352347,1
393504.212411146,6726688.62571457,1
356604.371748066,6728688.71377793,1
384404.200860454,6707488.72867395,1
415460.327263382,6811195.20265821,1
417492.312702842,6808991.2077102,1
417543.309125272,6807580.21396184,1
409380.342302454,6806189.24020164,1
409461.342649619,6806456.23879564,1
410236.346741178,6809543.22292749,1
406501.367431618,6811092.22502911,1
411420.327152061,6803726.24619147,1
411710.319557125,6801142.25714054,1
411186.321840817,6801115.25857319,1
410420.326233664,6801530.25855681,1
409672.375465286,6820188.17585882,1
408788.335454022,6802306.2591184,1
408447.345626373,6805812.24410049,1
417425.295492416,6801766.24035094,1
429420.848726917,6637583.89355513,1
406783.207245795,6746906.50686107,1
406229.212696911,6748160.50286239,1
408961.222677559,6756885.45868606,1
409550.218390824,6756184.46017898,1
409819.211593189,6753886.46940601,1
409518.212354235,6753678.47107392,1
404586.218978675,6747857.50818343,1
403795.223104368,6748181.50882086,1
401417.233891113,6748425.51374584,1
414865.196046958,6756363.44636867,1
414936.198734449,6757587.440946,1
415042.198533353,6757679.44027403,1
413204.20951768,6758938.43933355,1
398715.000030702,6785923.99989242,1
398588.999991661,6785847.99993645,1
398608.999982024,6785903.99992349,1
398233.000035319,6785201.99987055,1
372401.083651705,6644369.01152614,1
374103.080178895,6645532.00262268,1
417929.054164038,6703585.66042443,1
359478.999982025,6616997.99991477,1
359620.000029141,6617175.99992375,1
359071.99998769,6618054.99995165,1
359308.999982428,6618461.9999014,1
359348.000029668,6618297.99990676,1
354521.000021213,6612210.99993429,1
353991.000031505,6611812.99993752,1
353941.000027277,6612093.99989898,1
353686.999959053,6611409.9998495,1
353350.999970631,6611967.99992481,1
353901.00002088,6613517.99989023,1
356267.999988867,6611234.99993532,1
354289.999983633,6615043.99986819,1
354322.999999505,6614381.99991241,1
349607.999995073,6589869.99995605,1
354588.999997088,6613271.99994424,1
353789.00001856,6622625.99986729,1
358446.00003969,6617691.99989646,1
358467.000025766,6617416.99989416,1
359054.000003787,6616916.99987502,1
359624.999996354,6616943.99986663,1
359567.999971339,6617231.99989033,1
349049.000028953,6591291.99993803,1
354610.999959079,6613308.9999274,1
359495.999983061,6618334.99989012,1
359594.000032265,6618240.99989857,1
359576.000003243,6617209.99992733,1
360063.000040473,6617826.99992811,1
358873.999966438,6618695.99989853,1
360002.000022605,6618514.9999397,1
360358.000014587,6618324.99995252,1
360315.000002519,6617987.99987219,1
360145.999995283,6617619.99995164,1
361009.999954746,6617746.99987801,1
354120.999992618,6612180.99995342,1
354199.000004961,6612288.99988588,1
354338.000044619,6612407.99987371,1
353567.000036165,6611636.999858,1
353554.999987257,6611505.99993331,1
353764.999958316,6611440.9998835,1
353649.000045466,6611630.99989158,1
353516.000011777,6611841.99993817,1
353205.000032834,6612068.99988157,1
352942.000015492,6612376.99993462,1
352893.000002079,6612612.99986457,1
353469.000025432,6612412.99988319,1
353834.000020434,6612203.99995056,1
354457.999972562,6610849.99986068,1
355167.999996944,6611119.9998705,1
355254.999992076,6611030.99993388,1
353427.999977094,6613217.99994618,1
353555.999963914,6613881.99991656,1
354242.000010031,6615026.99985516,1
354130.999960902,6614821.99990669,1
392504.089512498,6676838.83203824,1
353144.254790821,6680154.9223796,1
339200.284325618,6670713.9982359,1
340273.275847193,6669199.00137049,1
345090.057140173,6596665.26482074,1
322034.175011107,6608478.28593994,1
322895.075768081,6574780.4065031,1
316603.175992099,6601800.32624743,1
443703.853219393,6662588.76290461,1
442403.772059431,6625988.90665023,1
429303.821157303,6625988.93787671,1
442603.770286232,6625588.90768297,1
394103.849223252,6585289.17568912,1
393903.851771467,6585989.17367603,1
396704.082113018,6680488.80673417,1
392604.085439973,6675388.8375522,1
387904.22091556,6720888.66423587,1
351303.85682886,6531889.4766913,1
351403.852932142,6530589.48081776,1
446103.833604205,6658188.77444125,1
437753.619958063,6554939.1751319,1
367504.167348263,6668788.92905839,1
369904.179140935,6676788.89090879,1
368404.182916269,6675988.89810176,1
364804.195922382,6675488.9096664,1
355704.234184129,6676288.93088929,1
356504.227704271,6675088.93357748,1
398803.974533062,6641288.95513418,1
392704.09449035,6679088.82253228,1
392704.094693966,6679188.82216014,1
396704.080058611,6679688.80995194,1
398104.076837234,6680588.80276391,1
394104.086583317,6678188.82254042,1
398804.070003826,6678988.80742487,1
399304.064705265,6677688.81138215,1
400304.05841341,6676788.81237338,1
398004.055451118,6671988.83729008,1
385703.99878264,6631289.02687441,1
398203.975064031,6640588.95929742,1
399803.980881147,6645288.93715951,1
403303.975186045,6648388.9163248,1
403603.956411956,6641388.94264509,1
363504.125081129,6647089.02468115,1
401804.024567226,6665688.85257474,1
399804.032389355,6665688.85767936,1
402604.047529626,6676088.80939464,1
402704.04515474,6675288.81233137,1
402604.045283393,6675188.81303942,1
390804.053578942,6660188.90220445,1
366804.134196522,6655288.9840253,1
365204.139402305,6654888.98987544,1
361704.148400474,6653189.00581824,1
362104.154681326,6656088.99343983,1
364604.1652449,6663688.95700493,1
364304.187459593,6671588.9265255,1
364904.185644424,6671788.9241266,1
390804.038950543,6654488.92442422,1
391504.036758783,6654688.92187377,1
393304.032398326,6655688.91341021,1
395404.022195039,6654888.91109427,1
366904.07787829,6634289.06485294,1
367704.077784276,6635389.05847868,1
369504.073337257,6636289.05032153,1
368204.070544913,6633389.0648008,1
365104.096014874,6638489.05360724,1
356104.150928819,6646089.04853212,1
358004.142249024,6645589.04527368,1
361304.139764386,6649389.02165812,1
387104.018983207,6641188.98546985,1
396004.064044624,6672288.84116884,1
398904.0478374,6670388.84139355,1
395404.074592284,6675488.8299757,1
392904.092151037,6678488.82440925,1
400304.044051468,6671088.83511428,1
400004.043752174,6670488.83815418,1
403304.005833092,6660588.86888569,1
384204.128574601,6679188.84399815,1
387904.105589704,6675988.84720244,1
391403.981316132,6632889.00611933,1
367304.065771824,6630289.07897829,1
356304.152284337,6646889.04492055,1
364004.130986619,6649989.01218907,1
364504.127373835,6649389.0131176,1
441183.77541695,6625488.91140682,1
442453.770449509,6625388.90874535,1
429403.849666195,6637938.89223773,1
431253.842208819,6637788.88842348,1
433503.828664241,6635688.89103476,1
433803.825157416,6634688.89406043,1
411904.348613864,6813388.20133598,1
412604.331822782,6807788.22506153,1
375755.947889569,6647290.79100048,1
372024.530678156,6684462.67128411,1
405435.747023972,6623887.13173966,1
367834.765360174,6683315.95467606,1
372954.552784569,6632338.30902498,1
373104.553616464,6632688.30534353,1
373304.587136574,6643788.20561745,1
410155.156430848,6809587.09209458,1
406155.167987425,6808237.1172013,1
375503.964131953,6603489.15769986,1
375803.954029072,6600089.16939437,1
358504.045016832,6610289.17783007,1
359024.04293,6610239.17661963,1
411553.86995666,6618789.00843675,1
360603.981347667,6589589.24827758,1
360803.971649895,6586264.25980014,1
413153.862199248,6618089.00706862,1
420423.855238174,6626288.95830622,1
410903.913689748,6635388.94730208,1
417703.889463644,6636063.92794844,1
382603.998721642,6626789.05200081,1
383604.002041752,6629489.03918306,1
349193.996327568,6579989.31407604,1
345353.887531463,6535709.48006461,1
345603.887816145,6536099.47810136,1
360553.870156983,6548389.39480346,1
394303.755321607,6548989.30362185,1
392053.760120986,6547839.31343303,1
387003.789567751,6552489.31037767,1
402303.97855967,6648188.91969113,1
393404.055874125,6665038.87651082,1
404404.003627349,6661388.86300943,1
404803.996308601,6659088.87102808,1
401703.994606689,6653638.90004173,1
407354.034393582,6678338.78856282,1
401154.102307404,6695538.73481356,1
384654.136927181,6683138.82701169,1
392804.117279153,6688188.78575763,1
397804.0563351,6672038.83759258,1
383154.235245623,6718838.68499728,1
383504.234232849,6718988.68339067,1
384004.232950453,6719288.68093438,1
386704.225108381,6720588.66849009,1
388204.220354024,6721188.6621941,1
388904.218468436,6721588.65875755,1
390654.219146467,6724688.64129411,1
411304.363317271,6818288.18059919,1
411104.360567436,6816788.1878969,1
411604.35562214,6815688.19171045,1
412404.320980317,6802988.24713241,1
375392.718043512,6621572.40515709,1
405813.541756651,6808425.15181183,1
372248.29244727,6756386.5228246,1
382287.456128834,6725094.944032,1
377566.438869963,6713961.53599915,1
377606.910826197,6710267.63904182,1
443965.103313998,6657238.27779588,1
405484.233834066,6655126.49767649,1
356106.20957815,6628723.17326271,1
394562.338538702,6623623.6179134,1
372545.486553797,6591979.32452829,1
382440.26940735,6562532.76134494,1
424882.653785062,6633112.12246452,1
412599.898977501,6691603.34752865,1
402382.878826762,6737600.73180593,1
389513.106204131,6731725.40837115,1
438991.000009668,6554105.99986795,1
405984.177891987,6733718.56473609,1
418884.156875029,6747318.47532147,1
417334.136651111,6736338.52579229,1
422604.080366424,6722238.57209041,1
368604.404127492,6759988.54825261,1
369954.395155368,6758788.54992808,1
397034.080434294,6680338.80650906,1
396484.082893104,6680438.80750711,1
398534.081816218,6683238.79110756,1
409554.212302955,6753738.47072969,1
360203.677799842,6477089.63264809,1
351733.681161732,6468589.68261727,1
364353.646987114,6470539.64206974,1
350903.663754909,6461349.70761576,1
357353.672923203,6472019.65643927,1
353653.666010624,6465269.68775605,1
358283.65948632,6468139.66611773,1
353753.676671844,6469239.67511046,1
350183.671151425,6463219.70374423,1
353483.663920367,6464319.69118411,1
351533.690873118,6471889.67286971,1
344884.28503283,6679138.94898786,1
345814.280817377,6678958.94714909,1
348954.273891952,6681008.93037581,1
348444.274874239,6680618.93335726,1
347494.279231413,6680828.93506714,1
348854.271974689,6680178.93398649,1
