"X","Y","po"
209313.638726665,6303367.74435714,1
232568.017974761,6268074.00536605,1
228050.019904703,6246775.00539102,1
224378.021271364,6246879.00550006,1
223944.021454765,6246345.00553307,1
233136.01821076,6245206.00540983,1
226962.020282372,6248711.00547619,1
226158.020630335,6247454.00540467,1
225542.020858136,6245907.00542026,1
210860.316949545,6220422.2809652,1
226492.020479126,6249627.00549876,1
229873.019279915,6246035.00545359,1
224384.021298928,6246669.00552699,1
228107.67628056,6224283.06469173,1
127608.758703441,6301969.59810346,1
126112.02309673,6301940.41553738,1
124493.836194455,6301912.25113504,1
128115.200109394,6303743.93135223,1
126064.117446108,6301797.2360289,1
126557.216370639,6303107.47026041,1
155944.871796588,6210248.41627647,1
164143.47934975,6044499.03340218,1
160928.853385256,6046232.61930631,1
159612.235498716,6045625.59866001,1
213291.60196263,6230715.59700885,1
68305.673051467,5971082.62116189,1
212343.103406333,6230659.91966703,1
222060.737596014,6238342.60626017,1
219031.678238825,6221685.88927068,1
226523.389081095,6259889.63132494,1
164000.825336601,6046420.56720664,1
163161.799412651,6043335.92491499,1
161646.744670639,6049660.86941727,1
94302.3804048329,5930966.93725568,1
199009.652325401,6226520.32840702,1
226753.391219318,6260690.62880173,1
165879.977959275,6041521.97595815,1
216547.554406149,6221339.3926343,1
203629.370824012,6223785.76797785,1
163874.95131649,6046839.0287363,1
220450.526134944,6231636.69472642,1
221075.488233492,6251758.1382409,1
219364.089435272,6231372.57712435,1
164204.646449864,6044728.39225772,1
219405.216683868,6231525.25633075,1
227652.383890674,6259090.62948374,1
165759.69573277,6041439.40531448,1
161617.188285735,6049734.26969673,1
222423.201358301,6251836.86455501,1
204989.252012331,6226220.35420162,1
84429.5506417929,5915539.96461399,1
161399.102214396,6047971.10983478,1
234700.822131887,6316730.44045781,1
241054.676964853,6293368.5181677,1
79858.47579423,5974090.01112279,1
79230.8492214391,5972977.79874791,1
79145.3111365892,5972351.0407417,1
79115.1209223236,5971803.01837909,1
78341.8668957263,5972840.23053242,1
202961.574527551,6219624.00505341,1
229275.587839912,6184130.10947281,1
236091.436497685,6299330.94645973,1
205324.001504506,6295271.72693736,1
205762.145971906,6292892.53898204,1
196465.866816241,6182227.26939541,1
192424.695411382,6182808.19286115,1
235812.636930739,6304639.49876526,1
99921.0711038142,6096807.56915638,1
207551.676599162,6293997.9073548,1
205425.57209571,6293047.39924057,1
205053.286321872,6294564.77188611,1
187991.147752025,6247368.97786818,1
196553.968631092,6182144.3107778,1
233549.709734295,6303008.79081651,1
233661.085917024,6302937.75248727,1
235904.705795547,6302839.6089246,1
235858.576100932,6302811.67258044,1
237249.72787696,6302392.23478644,1
237786.649844724,6304653.56499786,1
237800.556788621,6304507.43243705,1
236428.6328067,6304106.86368242,1
233179.469195163,6304479.83775442,1
233165.483251876,6304574.72984493,1
236115.456898474,6305272.96402049,1
236049.659761027,6305183.94146245,1
235771.740571466,6304639.01064572,1
235892.677381801,6304894.68324608,1
234593.533310275,6304534.7977761,1
228704.676021673,6317589.52594681,1
228654.679475334,6318389.52820371,1
234604.773981057,6304487.67953578,1
234619.062146559,6304899.66417217,1
234551.457268425,6304980.80716803,1
234872.122321755,6305104.7704445,1
234830.766026805,6305057.90568873,1
245581.843356777,6302268.60206172,1
246286.388677469,6303628.46462871,1
241920.446345194,6296953.31349778,1
240809.869047888,6300186.5208351,1
72888.0001080258,6034480.18916605,1
73032.821688132,6033935.88331815,1
73118.6310293846,6033977.2882602,1
73283.0668121691,6034226.31537612,1
73612.7224220547,6034858.9452014,1
73727.1687351062,6034695.28951918,1
73804.4899554807,6034695.01073309,1
74357.6547299899,6034302.24960661,1
75275.6569382796,6030172.11010695,1
71536.0569450185,6035062.93629068,1
73932.8248599495,6031997.21691291,1
74724.1193788112,6029736.67820764,1
73588.8973290458,6031875.72009091,1
173280.917028699,5906736.3895116,1
173288.114439306,5905032.1353051,1
183621.735905842,5928844.41057209,1
183515.601290564,5928938.01057114,1
168847.304139499,5889609.09148154,1
166883.75400105,5885774.18117954,1
