"X","Y","po"
248703.537942354,6322240.4072455,1
337603.247263346,6299590.19538511,1
232945.591083609,6326164.44807281,1
254836.713976215,6278073.56250875,1
255060.715227237,6278436.56254324,1
254072.711597047,6277532.56033709,1
255276.718250418,6279427.56015747,1
256003.303733078,6254390.54840262,1
256503.282248269,6247990.56135826,1
352333.000021179,6303465.9999334,1
352390.999977565,6303448.99987109,1
280773.022915137,6250703.07180854,1
345655.654650224,6317876.97491562,1
333559.483751032,6298498.88964299,1
325748.174587349,6312630.30066671,1
348633.699882814,6307877.09520202,1
348487.827168761,6381142.4728243,1
299304.521781737,6250132.83364511,1
293245.586744647,6262798.84861595,1
344464.521710897,6301819.63876144,1
274854.639364325,6268439.65880217,1
350999.96493599,6313500.21062666,1
336299.608673855,6332000.09702752,1
349875.224859775,6290874.82704699,1
281999.888020616,6322999.83202791,1
352700.191905303,6300099.9785946,1
353750.373622206,6303000.1121041,1
348100.477631605,6304750.11175128,1
325811.875852764,6312565.01067801,1
310936.151921522,6379355.12696232,1
354749.815468744,6303650.22249656,1
348799.76498757,6304700.1371219,1
340000.41887622,6307000.01785522,1
346199.777272112,6293499.76728515,1
304035.594952431,6294311.68251159,1
311111.652870913,6313443.61226883,1
310936.652445974,6313126.61311119,1
285828.583326847,6277457.71233284,1
351900.946306324,6295960.06535844,1
346250.786976629,6294569.772851,1
342900.213314967,6299750.12345294,1
349956.673295909,6308101.18204511,1
357999.496041624,6352000.15311263,1
309654.279601367,6270277.13182685,1
352468.76008051,6307277.09044835,1
346399.692543221,6307700.19441562,1
307909.439506058,6273449.84748977,1
346754.583524271,6311289.59423618,1
275550.79536961,6268886.78372907,1
280148.857460514,6271116.98418277,1
315766.834985176,6383920.53323948,1
352183.786035898,6294904.12830852,1
355193.881638925,6303760.95879948,1
346394.408095147,6305973.86638178,1
347122.702980734,6306161.82577777,1
338445.755401358,6330079.82248225,1
342232.644952114,6312949.98472455,1
338544.644676204,6330469.8656717,1
351479.807572536,6313901.03236724,1
351143.688682918,6317382.10099637,1
348806.691516292,6309259.92419565,1
350513.322530973,6310776.9335074,1
348126.750695544,6308870.20198684,1
349418.346290922,6306917.90424849,1
340465.836858816,6313240.12594735,1
352269.580867919,6302650.13569414,1
274943.980468137,6268450.03247469,1
343949.855352351,6298899.75842616,1
348818.402658206,6305233.95089339,1
347775.171342189,6309405.04687302,1
307104.850618458,6377189.51622182,1
324780.891938269,6355269.93478967,1
308711.311158336,6282221.77368898,1
307604.582521479,6289689.70339767,1
328604.430037849,6270189.78255537,1
347604.526143613,6302689.62237913,1
348504.540213613,6304689.6108371,1
352404.547515013,6307489.58346548,1
352854.450298891,6291689.63039077,1
380104.563955627,6354189.35973315,1
353104.519319635,6304189.5945728,1
346304.506221274,6299439.63654327,1
349104.534583671,6304189.6104102,1
337104.526709964,6298789.65787369,1
354004.484932786,6298889.60582068,1
348904.540990121,6304989.60817798,1
348604.538418057,6304489.61117436,1
323604.449319756,6265989.82269822,1
300704.574424614,6287889.72054361,1
350854.545941848,6306989.59228468,1
348904.45365273,6290689.65579903,1
351504.554059351,6308489.58342979,1
352704.49530323,6300189.60842973,1
346604.556032144,6306889.61070548,1
352104.601351414,6317189.56413307,1
357104.636137366,6339489.49759206,1
351504.685130956,6345989.51185573,1
346204.546246814,6305389.61803735,1
308604.673168901,6317889.58981644,1
351004.479108579,6296189.62588454,1
345604.531343666,6303289.62848945,1
348404.50998927,6300639.62600343,1
282104.70613032,6323189.57786973,1
251404.737721202,6253604.68313004,1
278004.620481738,6274289.68318393,1
305804.799576399,6365489.5254791,1
306504.799597589,6365589.52526766,1
306504.799188065,6365489.52550348,1
316404.683812707,6330689.56261694,1
309704.70714606,6339889.550801,1
310104.705963183,6340389.54756765,1
304504.750825332,6352889.54012512,1
257910.164986252,6255268.8492218,1
349454.604144772,6315739.57595842,1
325491.001927296,6349083.00483291,1
275604.643291913,6268989.66562033,1
285735.687137393,6313957.60884167,1
286404.687495746,6314389.60813308,1
333704.537363322,6298689.66644824,1
298604.66392232,6314089.59855933,1
351903.204723922,6296890.1617111,1
346733.247352638,6307590.14985582,1
349433.210394173,6296750.16895213,1
349723.192457694,6290600.1831115,1
349953.222200415,6301430.15607966,1
349795.192102343,6290525.18312542,1
343965.2374279,6301622.17236622,1
341573.270659689,6311310.15502405,1
345574.242512361,6304862.15988509,1
314362.436162454,6371168.15797786,1
309289.138675159,6377819.74061811,1
301910.241295013,6369077.95314488,1
339790.790043342,6343885.15066291,1
313679.714892967,6324935.45712981,1
312143.734927317,6323981.52580019,1
334416.027623642,6293882.58205916,1
274577.62620165,6268625.20903461,1
256983.967168477,6231196.70441136,1
268076.522008909,6218527.27859386,1
310860.034602438,6310089.81529296,1
280124.057575558,6296495.86424792,1
340664.696596852,6343709.54147107,1
343724.645714835,6328939.55092287,1
282390.006352939,6278141.00502901,1
276221.608344926,6367797.19989697,1
266700.009087243,6268400.0050136,1
335794.836529061,6297428.49411292,1
267665.391974947,6218342.84362153,1
267969.712626177,6218350.35725297,1
337183.026215154,6300135.14852184,1
337209.042428638,6300136.69586315,1
334442.318093614,6286313.11823025,1
334615.525509115,6294080.70937422,1
314563.58630956,6371366.67309238,1
309195.389403656,6377642.98299921,1
313135.497246418,6324750.19872335,1
339369.296659543,6344072.80041874,1
271230.063957525,6211027.48299962,1
344324.178734209,6345627.72164527,1
339683.499174882,6343711.93327472,1
274782.817173816,6268455.77861225,1
274476.895522864,6268448.57047134,1
275670.264244269,6232098.94026983,1
313575.717360448,6324758.62629623,1
311059.162937775,6310288.68781186,1
279710.344515664,6296311.99917802,1
311728.941886833,6323802.39535062,1
312018.816309835,6324728.73176528,1
256835.774981296,6232864.98244547,1
