"X","Y","po"
131847.30566543,6060528.72805519,1
105679.34112975,6083317.55100335,1
120545.358758237,6076443.97279628,1
120065.441571317,6075261.02587178,1
53900.763807425,6046735.74845991,1
79026.2554605734,5950494.21999998,1
79129.56911745,5950399.27017539,1
79235.7011381518,5950403.88918578,1
82356.9917910628,5951802.48777261,1
82551.941814883,5951912.03746166,1
67905.0897155217,5971081.81730276,1
117388.865537709,6069054.27363322,1
119680.563273772,6079383.24604956,1
120626.027367564,6076420.78269855,1
120928.67957891,6075765.97317518,1
118734.660343298,6071670.55596852,1
116389.341585169,6066898.44632542,1
126919.068631925,6045772.74042263,1
118640.14140631,6048312.36965372,1
118368.942993489,6048300.80454765,1
71472.8572860733,5978383.12203868,1
71651.014707955,5978392.17183194,1
71742.0937182828,5978396.82081199,1
72460.8436895033,5978431.39142836,1
93497.1305620274,5979663.63973306,1
72641.9993939755,5978440.62721271,1
93675.2361286748,5979672.68450711,1
72730.0765551706,5978445.08989818,1
69965.2847196998,5994336.33487853,1
70144.447444601,5994345.40884512,1
70864.1564084946,5994380.88976747,1
71046.3794186145,5994389.14897662,1
71315.619516485,5994402.79055778,1
71496.7794335958,5994411.98799222,1
71676.0003745938,5994420.0615037,1
71766.0797954325,5994424.62923259,1
72847.148630842,5994477.4411661,1
73116.382380619,5994491.08213352,1
73298.5999114239,5994499.34090454,1
76903.0498881307,5994675.09773317,1
77082.1961616193,5994684.17026695,1
77257.5378440666,5994803.44182837,1
73451.7556140689,5978480.84619236,1
76991.1229121247,5994679.54123807,1
78517.7325732561,5994864.31732357,1
73629.9704789956,5978488.89530594,1
78698.8751883083,5994873.51298944,1
78789.9463164326,5994878.1417954,1
79059.2206990843,5994890.7803749,1
79240.3619747143,5994899.97594176,1
73811.123380165,5978498.13085343,1
81492.4612767502,5995008.14367916,1
74080.3514486338,5978511.8288155,1
74258.5648179943,5978519.87794288,1
88876.2770538388,5995469.81890276,1
70479.7451208499,6000372.29067556,1
70660.9076182577,6000381.47386972,1
70930.2117022771,6000394.09370378,1
71472.7560110764,6000420.58074041,1
71741.9954029081,6000434.20063814,1
71924.1550833121,6000443.44532029,1
72553.8322108723,6000473.30657416,1
72735.9898207074,6000482.55099761,1
77688.9064771727,6000834.68211745,1
77868.0513598367,6000843.73985513,1
78140.3300325559,6000856.54256118,1
84535.4303735023,6001273.63457401,1
84716.6207869328,6001281.81422492,1
85707.505670212,6001328.96212331,1
85888.6932297366,6001337.14155895,1
86067.8186363568,6001346.19750056,1
92556.6712826394,6001762.01902505,1
74046.1710326519,5975504.70975198,1
74227.3225945777,5975513.95242942,1
74405.5353788909,5975522.00858376,1
76213.1979147021,5973607.23478552,1
76394.4062474984,5973615.48171774,1
94635.7834203963,5970704.68431271,1
94813.9476772324,5970712.75037304,1
62307.0766663564,5961673.13557655,1
71428.7234689176,5959236.13158161,1
87492.3957869282,5956234.82881744,1
87673.5756853729,5956243.11657171,1
72641.4357987634,5949277.23528051,1
72912.6643333099,5949291.16268112,1
88103.5053978139,5947249.35674285,1
76957.8282817439,5945596.07117588,1
75367.9202088219,5941398.26555564,1
81663.4192647318,5933805.70043076,1
81843.611403623,5933813.97972393,1
78488.562393623,5978726.19165379,1
71550.8031206981,5919056.46220087,1
78666.7032676985,5978735.24001482,1
96943.0225460323,6060258.55046182,1
97125.1260716092,6060267.64742234,1
99808.5251908523,6001206.23643126,1
99875.4576379649,5980071.47669582,1
100056.609551998,5980079.70625752,1
66713.1754878339,5987052.30266717,1
78847.9061268923,5978743.47431354,1
73664.2703000348,5981496.0281746,1
73933.5613857772,5981508.71535798,1
74111.7132906772,5981517.75745405,1
78239.1096060983,5972704.05215839,1
78417.2505104041,5972713.1147587,1
78598.4535005409,5972721.36365955,1
111443.983075469,6019972.40830719,1
111626.109525755,6019980.60248624,1
111896.33010548,6019992.20932759,1
98536.2458859727,6017167.97487684,1
98808.4514402357,6017180.71605695,1
98987.6088598108,6017188.73318816,1
104628.736183276,6016554.48214311,1
104807.879665364,6016562.50038536,1
105080.124030235,6016574.24330203,1
79471.5675311891,5978885.5865915,1
71857.1593397381,5994429.25884521,1
72126.3965639743,5994442.90012317,1
72305.6159983894,5994450.97351115,1
79652.7684521166,5978893.82055235,1
71945.2381817648,5994433.7028531,1
72217.5375805397,5994446.52949907,1
72395.6946564867,5994455.54113873,1
109229.626171097,6055911.16075223,1
109772.028613119,6055935.23696116,1
110046.258089253,6055946.95820194,1
79739.8374683788,5978898.22030064,1
97310.3177702166,6054156.88119939,1
97854.7451769392,6054182.09460559,1
105957.665617816,6051763.65857134,1
98753.4400217861,6046324.55394803,1
99297.916359398,6046348.82425276,1
106415.513449263,6041439.47156987,1
92866.7492219878,6040048.73427696,1
78935.9760902102,5978747.9363748,1
103916.015698263,6040549.81882565,1
104007.119460652,6040553.3912486,1
113685.007478883,6041203.26390591,1
94506.7798144009,6034005.68984933,1
95048.2847253411,6034029.86670479,1
100251.273562616,6031262.87529558,1
109195.753611393,6031886.00507188,1
106938.839632681,6027669.22964593,1
107479.253631422,6027693.38837279,1
99076.874707466,6025202.18991499,1
99620.3444035116,6025226.55237564,1
