"X","Y","po"
140527.25499456,6059653.78144395,1
140161.728724383,6057424.79792708,1
133601.177702212,6059732.86824006,1
232802.0691442,6166839.80812531,1
212222.409562788,6089928.65935697,1
211797.34902493,6089502.07831126,1
213084.652411543,6092235.47495448,1
217935.66160909,6094032.28661634,1
214957.491408106,6096056.31454428,1
212065.425542853,6097484.5019532,1
211189.618146258,6097882.42460654,1
208098.233233033,6102605.56942556,1
208373.624758597,6103023.04320993,1
222939.146340775,6106558.22316411,1
229152.845058074,6097039.94507498,1
249403.01377105,6159589.76792236,1
122328.842376883,6095012.14442271,1
120563.19579207,6097664.26697998,1
118352.171914319,6099386.63167476,1
116615.1377523,6100736.42017292,1
116995.838649438,6103568.68056204,1
111801.640034708,6108171.46783651,1
113105.58104279,6107347.12474489,1
103567.688299113,6109932.47969312,1
102773.841574267,6109784.25436719,1
97470.533939303,6106202.82197526,1
95912.3027227109,6113735.98221519,1
96417.6987774062,6116175.00020538,1
106656.714768359,6096170.91974559,1
148286.62546939,6077176.69260479,1
149592.615800547,6072191.42523174,1
158333.757812266,6057931.9970178,1
120505.880441746,6077093.70851841,1
108825.875397711,6065396.28845628,1
127813.313020666,6076534.47988998,1
129968.753499167,6067486.52312742,1
118804.387771515,6082809.49255707,1
87768.9068690282,6114800.98638843,1
114798.077837337,6085175.10847892,1
112358.508387194,6078254.28434951,1
65285.7684759399,6023183.67631962,1
66202.2324736263,6023792.24664871,1
68219.8373452197,6051903.46798264,1
68700.3982686707,6056777.13749854,1
68611.3990098108,6055767.70449452,1
47367.0533633474,6055876.97058848,1
48869.8296409161,6022325.16679426,1
51123.1289136435,6018346.17800889,1
251726.35613391,6267709.53129578,1
247868.392608115,6276271.52345383,1
142510.952716647,5957450.2659816,1
213360.679756283,6139457.47838536,1
216463.484082494,6139661.50705674,1
247769.014768994,6171279.00527261,1
236003.468708815,6290990.52644769,1
187379.871136296,6103809.02842445,1
189092.226438887,6106989.6324855,1
193162.160246915,6112627.55430923,1
200049.384500614,6120579.14226057,1
200200.368378685,6120568.18735365,1
200443.993315749,6120683.06797659,1
202732.375412423,6122123.57545655,1
203223.675871833,6121952.71521063,1
203072.698395226,6121963.67224154,1
203954.925953053,6126456.09464678,1
204089.694229841,6126714.72185669,1
203777.054260866,6127748.13931058,1
202386.884051538,6130871.3821804,1
202483.737542546,6130927.30473855,1
191543.044458724,6135381.78362169,1
191455.160164937,6135176.05884,1
188590.926425491,6135304.91254214,1
202564.490629008,6122915.17527489,1
185727.029089645,6101303.46228003,1
185867.782689047,6101462.32738202,1
177217.561592966,6063199.70818187,1
177221.591890922,6063100.70266257,1
177224.684465168,6063000.63737339,1
177129.380453377,6062886.55312225,1
184667.17129751,6046210.2293897,1
110689.909095981,5912924.37271253,1
110298.907227439,5912806.42728232,1
111369.833947728,5913267.23994248,1
115875.298716877,5908732.89387238,1
98493.3090601801,6104255.44619439,1
98393.2580684255,6104250.40817948,1
139952.829527156,6021606.6907292,1
140971.592180394,6021270.12867211,1
146150.817514463,6025192.47384452,1
146038.635858455,6025287.8849705,1
137934.91022866,6043049.19416035,1
137839.972199324,6042945.07953815,1
137744.707790979,6042829.91080726,1
137678.30283528,6042227.00025468,1
137800.714220571,6041931.56227524,1
138013.940881424,6040038.75173329,1
137913.884478956,6040034.62856566,1
138232.683898871,6039759.25053617,1
138341.286163841,6034649.15336856,1
138441.341806746,6034653.28364658,1
138483.234755028,6035654.92877117,1
138304.443676515,6035348.0540705,1
171039.621026178,5937583.73936454,1
170934.353928863,5937679.42818004,1
173938.320877538,5932947.18110376,1
131207.555201077,6082654.22302461,1
131202.489573396,6082754.22896955,1
129887.315734618,6077963.60824312,1
132226.635855789,6077303.21271669,1
131626.813369471,6079069.39980819,1
131472.259971882,6078162.20779125,1
127474.363650317,6077919.35253924,1
127458.13483202,6078318.63913642,1
129834.269053834,6037632.58073632,1
127574.435157582,6077923.42517979,1
159475.347357944,6058105.9507902,1
159399.214390735,6057792.44792819,1
158277.35573923,6054814.86271224,1
157366.309091167,6051556.23608646,1
142886.086371608,6000011.76009221,1
142607.78582807,6001301.56382325,1
141609.49846746,6002750.53383125,1
141605.325651031,6002850.58431889,1
138760.350908839,6005079.35987325,1
138562.240594468,6005071.14366442,1
138459.694001503,6005156.09788593,1
137916.243203474,6005834.77398097,1
137698.370212883,6006114.24175743,1
134268.650294583,6011220.40407442,1
135249.351890511,6018099.29287377,1
135798.055908513,6019044.9225818,1
147565.999097911,5981145.35256713,1
151057.723286914,5981464.30882093,1
142980.179205253,5958097.44574743,1
142881.816388154,5958082.28442509,1
141833.617017763,5957116.11526342,1
134265.31459968,5954740.96324398,1
149002.586562845,5988663.73516581,1
142195.921093619,6001473.72548304,1
142176.580488291,6001673.14574181,1
147377.157631708,6006809.81281964,1
135632.457557181,6018426.82644746,1
194761.137888399,6058250.244646,1
186663.537618278,5890133.36405293,1
186382.097151185,5889811.76502727,1
153760.808813265,5936402.12287341,1
154474.923126533,5936242.24910001,1
165390.596069358,5911050.38262034,1
67905.0897155217,5971081.81730276,1
171587.772166754,5900209.3957659,1
203040.292875677,6111672.87434038,1
202939.925981542,6111658.80351599,1
