"X","Y","po"
221803.634034039,6330490.47356199,1
439309.772901426,6621459.93100009,1
367987.57375341,6447591.70339843,1
360686.599763475,6448983.71892775,1
351352.681282104,6468210.68485746,1
367507.57980218,6449287.69958848,1
364761.595208749,6451887.69892671,1
226586.819983944,6058018.33387469,1
230701.733561706,6064140.99196296,1
229901.736964752,6064789.99356876,1
241092.772555471,6080839.93191933,1
246402.829282711,6100890.88205573,1
246151.83287933,6101889.88124924,1
245052.842994958,6104440.88056981,1
289301.95756648,6165840.63055917,1
120545.358758237,6076443.97279628,1
127239.292827351,6069477.21552054,1
118564.952614102,6085102.55973004,1
116530.787816268,6089694.82461416,1
260824.38486844,6283530.46478665,1
185443.213827289,6041737.66852578,1
186498.189808292,6029374.96632889,1
187053.798246268,6028505.88598531,1
187149.037929788,6028620.00050886,1
187384.747570501,6028128.24609319,1
187784.297836149,6028053.55052685,1
187843.454227838,6027155.99387541,1
183455.156366817,5912387.58881725,1
191391.684171927,5881916.77245656,1
191294.332338385,5881902.58214667,1
191196.347576199,5881898.37740215,1
190990.265556413,5881891.3319954,1
181715.697562046,5927216.45440051,1
181774.061601892,5926318.74873579,1
194512.763817936,5914992.60115133,1
182747.141019973,5925176.69626194,1
182742.866447643,5925276.69028326,1
190795.926512415,5881873.0000821,1
190381.911133178,5882046.2736986,1
181969.254011781,5943986.19813643,1
181887.433868302,5943771.53366527,1
205907.329952461,5913906.56154316,1
205896.52324203,5914205.5786305,1
175730.161108645,5894955.77351151,1
185805.912193656,5890979.46249644,1
185754.337998933,5890178.11007296,1
174847.913238781,5896111.35420312,1
174753.852409081,5895997.11257662,1
174975.838240521,5895816.60313572,1
174859.217836552,5896011.79221979,1
199797.989788823,5917026.34292665,1
199598.691384619,5917119.05705304,1
189408.269295649,5953370.8375828,1
199601.977876036,5917019.02266235,1
188579.508107238,5953719.10031138,1
188484.694205027,5953615.93754298,1
188212.2285688,5953194.91282421,1
188117.414897831,5953091.74879248,1
199617.474486452,5916820.51764138,1
199507.226875051,5916915.82718324,1
199362.395722502,5915999.52832105,1
199472.707595642,5915903.22141847,1
198975.576535695,5915774.70154629,1
66617.5046078083,5956346.63469616,1
180892.674482476,5894186.09811256,1
180164.718025061,5894535.14501038,1
179864.296704895,5894513.14837849,1
179371.063985801,5894384.71059357,1
179949.656269402,5894828.37707155,1
178732.770504831,5894949.00145532,1
178439.397653627,5894926.44938971,1
176848.605791904,5894632.38190557,1
183279.367756392,6050838.94024923,1
183480.780855905,6050791.10405713,1
216884.320567716,6058603.36357744,1
222984.86460194,6058873.51153779,1
217083.242863954,6058709.69380802,1
218375.025104589,6052275.56472377,1
218475.035080943,6052278.67150827,1
218729.241849369,6051398.42510328,1
218826.204544083,6051500.54418675,1
220105.65942711,6053485.52044016,1
220404.0128274,6053505.75553014,1
218654.306161743,6059203.37172173,1
219258.157725805,6059044.83778634,1
120190.616731078,6069507.72564882,1
118497.354308299,6083669.75657058,1
118589.441006139,6083673.33659047,1
119133.840507501,6083696.33076271,1
119305.090885014,6086149.73493012,1
119911.783553318,6071831.45204802,1
121186.639551394,6076110.72494752,1
121500.466948085,6075123.51423729,1
290101.965680767,6168989.62209865,1
290802.956926836,6166590.6245182,1
288402.961560398,6166589.63194665,1
269901.963063168,6155790.70988693,1
269701.96407131,6155989.71005875,1
268202.971043037,6157289.71235622,1
274001.937275264,6149990.70780822,1
274302.936694672,6149990.70691913,1
275802.926795544,6147690.70651749,1
276101.926578522,6147789.70530887,1
276201.927008378,6147989.7047229,1
278101.920415836,6146990.70059056,1
274302.935486169,6149589.70768618,1
278901.919846809,6147290.69760046,1
274801.987962786,6166689.67375421,1
274302.989513806,6166890.67498111,1
274102.990524973,6167089.67523767,1
273601.999335271,6169589.67189422,1
282101.947006987,6157989.66770131,1
298501.91679612,6158189.61718457,1
297201.920495893,6158590.62027782,1
297401.919517366,6158390.6200741,1
222735.804448691,6061263.9484686,1
72847.148630842,5994477.4411661,1
73116.382380619,5994491.08213352,1
69296.216653483,5946105.20429804,1
190160.714990458,5883939.15676589,1
190157.448222569,5884038.20482982,1
216706.932153607,6014100.89834,1
211461.919073733,6019584.00157579,1
216240.684378254,6026592.99006011,1
217671.129305705,6035902.63651066,1
200382.072755942,6031934.48149238,1
236449.717325559,6061845.9763651,1
233798.728425038,6063987.98194517,1
230702.72930514,6062839.993842,1
104278.078796826,6079917.98584746,1
120471.99662768,6080906.12869523,1
120371.915520819,6080902.05992889,1
289241.957152543,6165669.63104602,1
291226.939991338,6161290.63341537,1
230153.014737474,6148840.85099903,1
244652.94556626,6135790.82731712,1
190826.978061161,5972402.14824182,1
191024.328398179,5972420.43392452,1
191232.564703894,5972328.1237425,1
191334.825437468,5972231.2293411,1
191664.048332637,5971853.72743057,1
192054.215755745,5971979.23756525,1
188445.378872418,5970350.32412823,1
188638.520409649,5970468.60275676,1
188835.560802014,5970475.84692292,1
189881.888971512,5971447.17064889,1
190713.732274981,5972498.36061623,1
233505.445986869,5978495.09725569,1
233498.446645614,5978695.09702637,1
233500.447326256,5978895.09684855,1
233706.448377203,5979290.09569771,1
233805.448911164,5979494.09508468,1
233799.449612174,5979693.09490731,1
233403.446396553,5978592.09744412,1
210593.878286875,5975240.66504064,1
210557.651976143,5975839.73178043,1
210437.555662515,5976224.1283461,1
191851.521735275,5978483.53082008,1
191654.110455946,5978466.25975475,1
191539.727924134,5978661.65080092,1
191522.33358534,5978861.05979331,1
191420.081890185,5978957.96271333,1
191324.301421456,5978853.77563757,1
191127.949387398,5978835.56888311,1
191036.248355393,5978633.39427217,1
190952.660590768,5978429.71799759,1
189984.494819942,5977861.34556272,1
189889.650586723,5977758.2157606,1
189695.757124779,5977651.94135346,1
189502.607459864,5977533.68290054,1
189324.176571396,5977226.87005959,1
188682.153162127,5976281.74685812,1
189999.832835424,5977662.80721685,1
189892.794914636,5977659.16675196,1
191543.931629962,5978561.66723571,1
191638.712805566,5978665.79242434,1
204453.688098566,6040602.94505119,1
204350.536998743,6040699.85137354,1
204152.150498284,6040682.68491171,1
204049.060325616,6040778.5933504,1
203932.802303971,6040974.91811657,1
203719.24603928,6041156.26256029,1
203504.955589573,6041349.58970602,1
203306.627915161,6041331.42638084,1
203204.474718603,6041428.39640257,1
203087.218715728,6041624.66325929,1
202980.681735077,6041809.56060259,1
202866.421918926,6042006.01206731,1
202764.330152383,6042101.985153,1
202550.837088721,6042184.11951521,1
202345.593638748,6042377.00453615,1
202146.52890181,6042370.82554959,1
201937.08952896,6042452.20752712,1
201738.023621586,6042446.02873496,1
201539.691130102,6042427.86799396,1
201521.469456652,6042627.19927488,1
201515.230242666,6042827.26448121,1
201300.999254271,6043019.60371598,1
201840.177386836,6042349.05534657,1
203083.099217825,6041724.6325819,1
203080.039549361,6041823.66465851,1
204471.980912299,6040304.40809336,1
204567.888239856,6040407.49828735,1
191177.296485302,6003906.53289617,1
191426.103143577,6004714.81060105,1
191410.775155456,6004914.34739048,1
191404.435213795,6005114.43910363,1
191389.108266873,6005313.97608263,1
191381.832390593,6005513.00759664,1
191365.828350934,6005723.52933225,1
191264.290013748,6005809.48323848,1
191245.969112953,6006008.83577701,1
191139.647486143,6006204.76095815,1
191124.323360318,6006404.29874188,1
191108.999882061,6006603.83651641,1
191102.725955076,6006802.93048268,1
190988.527301863,6006899.13131936,1
190966.870856621,6007298.76260707,1
190962.705319322,6007398.74747255,1
190947.384376116,6007598.28578098,1
190940.052932003,6007798.31723237,1
190924.794655664,6007996.85709365,1
190918.462927503,6008196.9502516,1
190804.26576569,6008293.15343258,1
190698.948193452,6008489.14442852,1
190683.630192122,6008688.68365764,1
191461.644941558,6005827.68120174,1
191468.981691214,6005627.65123431,1
191638.611229778,6004633.70569616,1
234513.442794589,5977894.0946542,1
193145.936642388,5980529.6627761,1
191979.237832888,6000823.52330186,1
192654.805934907,5999624.29585151,1
210651.888976793,5976242.45694521,1
216138.038307397,6006639.41716651,1
204080.799334295,6005684.59976692,1
217466.480895375,6035563.42080985,1
217265.662907172,6027671.06173229,1
211050.788255876,6018692.84662291,1
193448.194725388,5997541.24275292,1
218575.189678898,6034820.80229634,1
219031.002126847,6034724.51939707,1
187409.842302401,5974880.39989178,1
218743.833083388,6035158.80865812,1
203258.455177694,6040874.47169786,1
203510.555949812,6041438.12744953,1
200237.913376342,6044438.83698891,1
201190.351674087,6037693.91984903,1
220762.558445189,6045775.4155274,1
221816.193384252,6044031.36545368,1
191142.201143556,6006683.07190561,1
217395.390076525,6029229.19222004,1
217212.518933653,6029335.1974453,1
212823.437086238,6025193.44674823,1
212871.029040441,6023751.33466484,1
212972.524685807,6023420.8689496,1
212020.599873227,6016614.01850943,1
217346.678620655,6013898.83080325,1
220234.112260948,6016768.22178072,1
191000.224053747,6008122.80398242,1
218770.447631226,6008945.30057633,1
185552.916707637,5991482.01819656,1
186186.89038483,5988837.57469167,1
201206.321855177,6050692.9366963,1
203728.62461331,6051221.96093328,1
186554.71256702,5988628.78674901,1
185657.480652703,5988596.25101648,1
223902.402885262,6061422.28024774,1
183378.985816771,5976956.83615282,1
245939.828709241,6100494.88424456,1
254813.820560332,6102515.85224595,1
184644.7039276,5979224.99843592,1
225246.614573453,6062019.25269274,1
224891.070098519,6061787.16758091,1
190917.142097017,5972338.58470299,1
238341.763073069,6076625.9474756,1
240108.765886235,6078342.93900448,1
240641.766530477,6078802.93652778,1
192198.801066469,5971717.56844032,1
202888.905308519,5966647.14548965,1
188836.509120543,6065001.56082393,1
190454.532652434,6064702.22548904,1
189433.347118564,6065043.94599255,1
189732.372875251,6065055.15179433,1
189533.335090705,6065048.03447773,1
190153.02827486,6064781.07970251,1
194971.601930359,5973360.5332225,1
194967.391384904,5973460.5120908,1
195412.301769689,5974398.34928735,1
195409.091136056,5974498.38961146,1
195564.733271877,5975203.72643497,1
195810.616818591,5972812.25746142,1
192537.061931145,5972306.98773433,1
193320.382969887,5972558.18551809,1
192911.811960678,5972632.02261346,1
196706.512290742,5971365.38486832,1
196378.306742731,5971742.92099993,1
196830.551972528,5970869.90253441,1
195632.220402486,5972505.45814347,1
195728.048790388,5972608.64920653,1
195909.658064664,5972815.40818355,1
195915.75125449,5974426.63329001,1
194095.398320274,5973007.3411872,1
194186.956360474,5973211.51214914,1
193785.835942528,5971585.7051079,1
193884.879835138,5971588.85742664,1
191451.9926847,5980058.6245924,1
191608.012461505,5980775.03174416,1
191978.207404415,5979688.31010147,1
192061.177421114,5979901.96791089,1
185617.157838241,5916236.35837938,1
185922.845467917,5916158.34111502,1
194957.48321015,5971959.29249936,1
185945.984031786,5915758.75969509,1
179699.513952046,5901932.71310567,1
179696.270520392,5902031.7748843,1
179789.965382663,5902135.95140126,1
178321.83923674,5901534.92963531,1
179130.2423643,5901388.41841996,1
179227.244334208,5901392.53531269,1
179125.936438392,5901488.41664836,1
178629.506998918,5901458.08762525,1
199353.80970454,6012723.61425987,1
199357.967948957,6012623.64050795,1
200005.946581767,6011867.76457826,1
200010.044378373,6011768.79020747,1
195852.081736041,5972113.15864749,1
199573.769203399,6012342.26785211,1
199587.974561045,6012241.91142962,1
199474.732576205,6012339.16928071,1
199691.108351306,6012146.03540027,1
199886.02053806,6012252.26775832,1
188722.445075482,6065096.85271157,1
188600.050586084,6065493.35452455,1
434003.809086002,6628288.91788216,1
434303.809059817,6628788.91531086,1
434303.809823017,6629088.91408835,1
434303.810339836,6629288.91342515,1
438303.78260807,6623988.92385551,1
438203.783020903,6623988.92403787,1
438003.783966944,6624088.92423048,1
438203.782314887,6623688.92525642,1
438503.781228517,6623688.92445058,1
442303.772585596,6626088.90642794,1
442403.772059431,6625988.90665023,1
442503.771415678,6625888.90674893,1
441403.774116249,6625288.91158574,1
238226.511592144,6305882.4824583,1
256753.411432955,6288840.46494457,1
276002.97677378,6163840.67554383,1
230932.018598292,6262438.00536619,1
224378.021271364,6246879.00550006,1
223944.021454765,6246345.00553307,1
233136.01821076,6245206.00540983,1
226962.020282372,6248711.00547619,1
225542.020858136,6245907.00542026,1
230625.019072762,6244313.00541522,1
223645.021871208,6233963.00550884,1
222089.986877393,6242143.45579811,1
226947.020599929,6235310.00543355,1
229102.02004809,6220856.00545664,1
211823.959715991,6224326.21713809,1
229873.019279915,6246035.00545359,1
230545.019149592,6240406.00538235,1
230890.018594803,6265603.00535324,1
230874.018585653,6265702.0053246,1
120461.902297431,6086496.78026516,1
218834.622342437,6057414.80894969,1
241054.676964853,6293368.5181677,1
204734.170962003,5892881.79026784,1
210129.753826317,6301175.88319637,1
290260.28092197,6154815.1542882,1
290175.309157628,6161915.14242588,1
236091.436497685,6299330.94645973,1
220798.368679294,6253093.27719937,1
205324.001504506,6295271.72693736,1
205762.145971906,6292892.53898204,1
281190.329250654,6174955.13362953,1
194338.686838047,6079479.8238893,1
439769.784230137,6623128.73389512,1
207551.676599162,6293997.9073548,1
235528.41429098,6302829.7544102,1
229846.679473496,6301827.5366913,1
221725.612597881,6261391.35615062,1
233123.658921906,6259880.61222749,1
229728.644138485,6261047.59008747,1
231737.64761703,6266700.55886488,1
226116.612296885,6282624.58378668,1
178704.15075406,5949927.53925582,1
194573.923536601,6082356.64456797,1
196101.482179478,6180583.16671994,1
195802.213514677,6179986.15309203,1
228654.679475334,6318389.52820371,1
210102.874140868,6301551.19321927,1
362510.702081478,6482659.9903909,1
223743.370116228,6061542.84059744,1
262250.010982773,6173750.00517622,1
442286.980971762,6626023.95749412,1
220743.793882165,6052203.62383178,1
176814.012257495,5877192.62162257,1
184511.027899875,5921230.32609646,1
184860.443063989,5921573.12311745,1
204208.256975136,6295507.79600419,1
