"X","Y","po"
187053.798246268,6028505.88598531,1
187384.747570501,6028128.24609319,1
187906.761725163,6026158.4489566,1
181969.254011781,5943986.19813643,1
181887.433868302,5943771.53366527,1
189215.092932175,5953253.51428063,1
189408.269295649,5953370.8375828,1
189411.445606365,5953271.78802275,1
188988.36600828,5953545.12440264,1
188579.508107238,5953719.10031138,1
188484.694205027,5953615.93754298,1
218375.025104589,6052275.56472377,1
218261.925573038,6052371.85807952,1
218729.241849369,6051398.42510328,1
189966.714286709,5880719.61301427,1
189300.962275322,5886496.42732744,1
211461.919073733,6019584.00157579,1
191857.183784035,5971971.99738408,1
192054.215755745,5971979.23756525,1
233505.445986869,5978495.09725569,1
233498.446645614,5978695.09702637,1
233403.446396553,5978592.09744412,1
233401.44572285,5978393.09769393,1
191170.016806207,6004105.56500561,1
191154.687148871,6004305.10245009,1
191250.502174189,6004409.25633655,1
191444.365845463,6004516.45742168,1
191426.103143577,6004714.81060105,1
191404.435213795,6005114.43910363,1
191389.108266873,6005313.97608263,1
191381.832390593,6005513.00759664,1
190966.870856621,6007298.76260707,1
190918.462927503,6008196.9502516,1
190804.26576569,6008293.15343258,1
191623.282961512,6004833.24181671,1
191638.611229778,6004633.70569616,1
234513.442794589,5977894.0946542,1
216138.038307397,6006639.41716651,1
215760.662408209,6007071.06986669,1
208579.89692596,6003280.5134172,1
211050.788255876,6018692.84662291,1
212823.437086238,6025193.44674823,1
212871.029040441,6023751.33466484,1
220632.724901041,6018447.09703323,1
191000.224053747,6008122.80398242,1
186554.71256702,5988628.78674901,1
254813.820560332,6102515.85224595,1
192198.801066469,5971717.56844032,1
197681.336717102,5969133.58394767,1
194617.41934299,5972737.06784433,1
196048.420270454,5972131.38215644,1
195749.826731633,5972210.04687899,1
194971.601930359,5973360.5332225,1
195412.301769689,5974398.34928735,1
195409.091136056,5974498.38961146,1
195861.112945352,5975225.15144466,1
196999.633501676,5969876.03189699,1
197390.830727519,5970000.60776253,1
197280.586924587,5970096.99423109,1
194522.64995022,5972632.93901408,1
192537.061931145,5972306.98773433,1
193434.841034066,5972361.80944673,1
193320.382969887,5972558.18551809,1
192911.811960678,5972632.02261346,1
192083.748491365,5973181.00127553,1
192094.384584578,5972880.92902735,1
196706.512290742,5971365.38486832,1
196607.472054539,5971362.23217275,1
196378.306742731,5971742.92099993,1
196830.551972528,5970869.90253441,1
194624.843915483,5972537.04708607,1
195339.990067123,5972385.04261599,1
195909.658064664,5972815.40818355,1
195915.75125449,5974426.63329001,1
194190.230748105,5973110.47152377,1
194095.398320274,5973007.3411872,1
194186.956360474,5973211.51214914,1
193785.835942528,5971585.7051079,1
193789.050402076,5971485.66264022,1
194328.77546791,5972526.65742921,1
193884.879835138,5971588.85742664,1
191884.816783527,5981095.95099885,1
192061.177421114,5979901.96791089,1
194957.48321015,5971959.29249936,1
185851.217202201,5915655.54449544,1
185945.984031786,5915758.75969509,1
199567.510713302,6012541.33951008,1
200391.868918875,6012192.24527576,1
200788.828562967,6013817.36239724,1
200005.946581767,6011867.76457826,1
200689.855115852,6013813.26717109,1
200010.044378373,6011768.79020747,1
199573.769203399,6012342.26785211,1
199587.974561045,6012241.91142962,1
199474.732576205,6012339.16928071,1
199987.478229514,6012167.31397041,1
199691.108351306,6012146.03540027,1
199886.02053806,6012252.26775832,1
200101.760193307,6011971.89670693,1
190225.222351792,5929058.32925475,1
204567.850277067,5898685.04740655,1
181438.078750537,5890305.44310137,1
185997.914083407,5894303.63458014,1
180402.716810798,5889237.23240421,1
180658.088493393,5889955.28301992,1
180090.468888314,5889418.01347839,1
182995.118622809,5945247.81609206,1
184530.523265421,5947950.5423969,1
181890.394902924,5943674.80368884,1
204917.824169751,5897905.25868887,1
205023.969951406,5897811.72756843,1
210167.366509803,5879894.60007192,1
210099.192168243,5879389.1096367,1
179079.126152617,5889554.55828137,1
178416.169183647,5892901.82474079,1
178989.703449885,5892236.18825525,1
179064.075597365,5892962.84734494,1
179656.634174758,5893581.88770057,1
208227.668801003,5896761.2233512,1
221816.708019374,5851169.04193004,1
192382.160692133,5949042.78641404,1
192045.151303664,5949623.20929749,1
192294.811459608,5950440.78532267,1
200703.142463865,5966702.91924533,1
200690.709591473,5966902.61220111,1
200678.277294065,5967102.30525046,1
200672.061336166,5967202.15187881,1
199767.225299093,5967246.05342061,1
199267.987662404,5967214.97234076,1
199311.502961115,5966516.03345151,1
199205.438311662,5966609.66470248,1
199405.133792322,5966622.09884285,1
199299.069338041,5966715.73025238,1
199180.57205834,5967009.05887909,1
193902.40878484,5987430.6049314,1
193416.334089696,5988803.83572762,1
193428.710744318,5988604.12358025,1
193722.093441906,5988722.54164994,1
193870.648756761,5986325.97938776,1
194076.552842069,5986238.50318656,1
197003.349953736,5969780.41972848,1
193958.505191909,5971996.80133798,1
194657.492132829,5972040.26757803,1
194851.503374848,5973756.42759978,1
194508.486986142,5974436.7947075,1
194202.714251036,5974518.03253519,1
194009.209866613,5974405.76406868,1
191500.35949254,5974450.32590954,1
192111.926538374,5974287.84458956,1
189838.984623835,5970537.6494806,1
190675.144384273,5969988.17925316,1
188896.23460331,5985716.83668713,1
190656.598505935,5986427.45809405,1
189409.382422887,5889506.38211562,1
208169.332816948,5897208.58386842,1
205398.091670976,5898236.30724496,1
186248.43936565,5914171.04543764,1
186629.031477813,5914495.78066049,1
210428.875183503,5880512.58397558,1
181475.992745383,5889706.22912716,1
221817.005823865,5855879.38268766,1
180503.052941125,5897164.88427655,1
180702.791411637,5897177.50328229,1
180715.411760973,5896977.76301836,1
180160.368910133,5896240.80738416,1
180166.679983628,5896140.93647104,1
180677.551465064,5897576.98395282,1
179112.287267127,5895372.40907605,1
181185.435183509,5894300.21243819,1
179568.585102345,5894498.81183003,1
179512.911129418,5893793.39667884,1
181151.658812328,5898008.00640254,1
190486.527336683,5971878.11813528,1
175074.49581095,5943526.8845394,1
222226.262941835,6009980.81811668,1
232265.029494721,5976972.50566623,1
246705.292261756,6101404.76972522,1
245239.648147605,6099513.03353045,1
122840.613546468,6082258.02477658,1
227870.394636888,6071242.92028036,1
188533.318361789,6069960.10903152,1
227926.627267445,6069393.67225298,1
223617.896032681,6061857.35079072,1
216120.091896575,6059770.6997612,1
183138.642441565,6051251.79527758,1
219550.486632643,6046921.03173116,1
218689.228182372,6026529.95348391,1
188842.127384262,6018119.55125858,1
190476.688386791,6014473.4038169,1
190607.111529088,6010774.17016112,1
198889.176305306,6010599.3416681,1
199688.10497183,6009237.92662841,1
194065.863415987,5997932.40913518,1
190156.349411412,5981126.59276556,1
194910.189165518,5973886.99839154,1
194975.316962044,5972037.33389915,1
196471.5695032,5972089.88359681,1
196536.405478064,5970240.22613107,1
170457.899937019,5947056.05660211,1
183355.09309454,5921608.18571531,1
207881.939190031,5989147.1485091,1
189110.485883897,5886625.82039333,1
210104.694716649,5879966.63936626,1
226806.706817845,5867564.66753055,1
224279.241511018,5854519.43087468,1
221452.237624258,5850721.73938859,1
190253.171220241,6011564.18445728,1
221305.511454523,6008192.86501692,1
239383.496913531,6091943.34242907,1
183069.042712035,5946727.25993532,1
182365.466091298,5944911.66400686,1
182763.793042294,5945548.16521446,1
181961.871135624,5943718.37674689,1
192413.750921273,5918239.36931324,1
185557.921883051,5949670.98993324,1
180826.978564124,5902038.33603015,1
181482.912115374,5898319.7059098,1
181147.251395463,5898077.9155087,1
179549.710676099,5893845.85843242,1
181264.075851946,5894325.23739435,1
180705.628088806,5897608.83802593,1
180762.200010702,5897030.85335145,1
180637.721286555,5897414.037452,1
180757.673444575,5897261.18538857,1
