"X","Y","po"
246879.39361033,6275845.52767734,1
240904.672931151,6295589.51317209,1
221883.031986714,6074972.12662923,1
239104.235559425,6113383.4755858,1
240538.489302638,6299765.54944689,1
229947.717223427,6094267.90109169,1
215442.571672246,6111644.86986319,1
215557.660065708,6110102.78243838,1
215564.639867214,6110070.13898235,1
215935.580572503,6111395.06413297,1
218138.385956973,6113080.94064131,1
218319.987472558,6113392.46952299,1
218318.422441576,6113418.42524845,1
239086.961406263,6291685.95578691,1
241716.490327349,6296927.4649424,1
239284.263700504,6292033.55004407,1
239279.519778521,6291922.41961957,1
239152.838168394,6291733.98946743,1
239269.276330171,6291919.05902286,1
242640.198260985,6294952.2964529,1
231747.191108803,6093570.05175612,1
191982.799062379,5971931.44862525,1
236633.999776534,6299107.06474309,1
238180.497042072,6294523.98034692,1
237859.100556756,6301607.09435373,1
239863.83506384,6299194.55244483,1
237266.896571455,6304366.08284937,1
237417.53726639,6298820.04700856,1
244483.395360247,6295617.93399815,1
242982.958524768,6293728.12057336,1
244581.337161496,6291920.6363479,1
241483.126241846,6291838.03730942,1
237813.481258207,6093748.49694141,1
230230.590092073,6093524.82810417,1
237109.131279381,6091877.27679683,1
237867.255585839,6091899.36266889,1
221703.974969212,6074755.44078641,1
199182.104834706,6024034.38998268,1
194554.000725209,5962762.55925084,1
247727.914680299,6290153.6129397,1
237816.458105417,6306046.00464256,1
243524.012705851,6292817.5425293,1
246033.084726199,6295658.84218393,1
215404.441700344,6111209.69769814,1
215942.877641434,6113447.83958076,1
237915.717829934,6306202.85853762,1
244135.201779878,6304684.40922849,1
241280.30478382,6295358.71757122,1
245929.370788388,6295482.18294275,1
236429.606657536,6302627.79652366,1
236379.276152774,6304476.40095413,1
236530.340680464,6298930.35454924,1
242608.812614516,6292064.27353881,1
242536.467880956,6294775.63646625,1
246239.274795421,6295490.33338292,1
245932.439146556,6295482.26368904,1
242536.599243014,6294770.71164371,1
238081.857846717,6294351.15104107,1
241283.373192897,6295358.79979828,1
237712.775869115,6305869.33131732,1
237313.842206881,6298643.37865232,1
237755.410395845,6301430.42453008,1
237713.675803163,6305874.28412902,1
237313.708358406,6298648.3035442,1
237759.407996531,6301435.46137611,1
237796.625079317,6301436.470112,1
237676.441627886,6305873.27614211,1
237163.211999946,6304189.4111368,1
239780.51674124,6293464.68935384,1
230124.516524136,6093344.02672296,1
237163.078329349,6304194.33599859,1
244526.594886806,6289895.32836669,1
230127.409818049,6093347.77796084,1
246075.382306017,6289936.26463363,1
215339.404929157,6111515.12328084,1
247621.06372247,6289976.87032063,1
236193.857948187,6093523.59520922,1
241333.023376671,6293506.43651509,1
242579.211318379,6293173.47047244,1
247314.406152583,6289968.83403886,1
244801.833018164,6293199.22279746,1
231655.032764301,6093023.23374905,1
237767.019014438,6091726.17090391,1
237002.831073307,6091703.90641357,1
191882.6330945,5971754.79895027,1
231644.138151413,6093389.37034277,1
244428.714375337,6293588.93351592,1
236964.855231496,6092069.24091135,1
238056.596250987,6092101.0294676,1
191879.640861702,5971754.69254623,1
231644.028120371,6093393.06832162,1
215524.11406386,6113631.11262421,1
192178.893613238,5971765.32887221,1
239724.053610802,6299013.21194198,1
236247.738748053,6091681.84319563,1
242826.871651135,6295400.03859878,1
238306.196934618,6073230.8678176,1
237713.449288452,6093567.91383854,1
241679.315578314,6292039.41979365,1
238024.362360597,6093210.51208612,1
194467.63727369,5962956.83721719,1
241382.398055462,6291665.16144231,1
229835.199776524,6092968.8974296,1
236850.439185586,6298569.09968531,1
215331.576544315,6111037.30472851,1
215304.221635875,6111036.44641249,1
244379.659688177,6295441.27628392,1
244467.797429128,6292113.71167299,1
244477.496862621,6291747.67880772,1
237812.034769645,6306026.17595083,1
233163.752131056,6093434.45731348,1
199082.059604866,6023861.174326,1
199367.588265324,6024237.54909586,1
199079.204447143,6023857.41052269,1
221286.751894621,6074938.78995341,1
230179.639895843,6091502.23792731,1
225979.636486724,6130243.55002215,1
230180.768389489,6093256.86952949,1
230181.769330341,6093256.89947535,1
255661.462267319,6103331.24907295,1
229948.100645914,6094267.8683338,1
