"X","Y","po"
336781.001492352,6274330.00482027,1
329998.690459174,6292600.12928186,1
333515.411280572,6271630.76997749,1
332604.406688696,6264739.81391836,1
338861.3929423,6269869.78247241,1
336354.401422797,6270739.7756563,1
332917.411690837,6270466.77690339,1
338604.383863616,6265989.79955021,1
308541.69259866,6215472.87564368,1
308451.036861114,6215433.77978732,1
308319.925207027,6215377.77299833,1
308352.066223278,6214285.99956296,1
308469.988128149,6214367.133272,1
308549.202145233,6214414.88475701,1
308292.468454493,6215826.71225678,1
308295.013517992,6215839.88513134,1
308298.965077218,6215853.08681533,1
308199.643290443,6215824.81627132,1
308307.938367739,6215137.96403684,1
308658.183432409,6215625.0836201,1
308623.807939386,6215585.86654895,1
308607.129390528,6215575.79160835,1
308523.133308921,6215555.03231026,1
308496.912253419,6215529.94855478,1
308463.331254575,6215520.79840067,1
308430.11297413,6215493.878708,1
308419.043071785,6215484.7643721,1
308420.751692725,6215469.9852265,1
308409.664571266,6215461.71699838,1
308384.764109211,6215440.89241195,1
308356.765972742,6215433.97196986,1
308645.24833413,6214327.11315947,1
308915.379533821,6214325.84557061,1
308929.467552427,6214324.86271227,1
311307.359807664,6219556.92582321,1
311305.969759073,6219556.05137731,1
311304.562827489,6219556.02315393,1
311305.935810659,6219557.7437082,1
311305.910349914,6219559.01292864,1
309694.047726764,6218248.71716436,1
309689.921593874,6218243.97783318,1
311158.214729804,6219343.99962262,1
311111.066731536,6219448.86447993,1
311111.041243558,6219450.13370117,1
311111.024250091,6219450.9799226,1
311110.981770894,6219453.09525435,1
311110.947694005,6219454.78758445,1
311110.922206062,6219456.05680568,1
311099.304961074,6219543.85903549,1
311113.536238309,6219536.1033634,1
311110.900884129,6219527.16220184,1
311112.333299802,6219525.92123327,1
311297.76572498,6219544.03582639,1
311300.562703202,6219544.93838698,1
311301.95265741,6219545.81283194,1
311449.899547091,6219818.81327248,1
311446.445860166,6219991.00561477,1
311367.991155234,6220253.11499737,1
