"X","Y","po"
501089.999959979,6704556.99990001,1
240853.779885942,6390990.24657688,1
348416.208268904,6761341.0079687,1
331051.095762923,6752690.12425322,1
346827.999998591,6763221.99985294,1
345667.000006485,6767891.99993883,1
484745.999997207,6606843.00456856,1
484688.999982559,6606747.00453085,1
477868.999977927,6601582.00454928,1
315458.000036578,6655050.99995319,1
383204.406733743,6785488.39849981,1
367104.365629532,6742988.6251895,1
370904.360554409,6747188.59731363,1
363304.395608532,6748188.61312365,1
375004.35383943,6751288.56898773,1
499930.000042392,6652373.99992819,1
355456.00004071,6404746.99987608,1
299903.000038435,6246899.99992096,1
300101.000019784,6246700.99994515,1
301692.999984199,6251495.99992154,1
300381.999981151,6246497.99986319,1
298732.99996906,6248825.99991312,1
298000.00002522,6248899.99993089,1
299666.999957484,6247503.99985977,1
299030.999980076,6249153.99984779,1
300451.999991964,6249350.99992523,1
301809.000045135,6249079.99994627,1
303322.000009301,6254225.9998666,1
303393.99999514,6254326.99995063,1
303459.999957916,6254283.99994504,1
301717.999959629,6251673.99984986,1
301281.000014767,6251742.99988862,1
410603.793200713,6586589.12933121,1
410703.79035096,6585589.1326072,1
411803.78407511,6584689.13317689,1
409503.78384377,6581289.15109023,1
403503.796481617,6577789.17877897,1
403203.79701838,6577589.18029394,1
400603.79946721,6574889.19653472,1
406403.777346371,6574289.18400434,1
447303.912855322,6694188.62855633,1
407903.574364108,6495789.44740736,1
407603.575660975,6495889.44790078,1
407503.575913691,6495889.44813464,1
407703.575577165,6495989.44727979,1
406703.579046842,6496089.44947891,1
406603.579135538,6495989.45003469,1
406503.579661895,6496089.45000561,1
406803.579255806,6496289.44858824,1
408203.571683056,6495089.44900586,1
408403.571044357,6495089.44850718,1
408003.840843975,6601889.07998222,1
460703.495311357,6535289.18888108,1
460803.494991846,6535289.18866347,1
460803.494753464,6535189.18896396,1
408903.603155843,6508489.40339398,1
409003.602868365,6508489.40315315,1
408103.60405192,6507789.40775109,1
408103.604323904,6507889.4073776,1
385703.689229547,6512289.45039185,1
386803.686412948,6512589.44645565,1
386703.687038974,6512689.44637739,1
401003.853036425,6596589.11705677,1
386803.686194223,6512489.44678047,1
386903.686090593,6512589.44616021,1
405303.778254836,6573089.19096645,1
405203.779859616,6573589.18945197,1
390603.88497543,6594289.1521009,1
388903.880537598,6590189.1713523,1
388803.880678582,6590089.17196316,1
388803.880381164,6589989.17235882,1
377903.96343807,6606589.13987275,1
377803.963852741,6606589.14018056,1
400303.845507366,6592589.13342393,1
279428.007145945,6222245.00499124,1
282522.000009271,6220532.99985841,1
432027.000013955,6440498.99985461,1
430016.999959004,6457823.99993134,1
319140.000019342,6380655.99987811,1
324771.000028725,6388702.99994929,1
340232.999983497,6386264.99989513,1
344018.000024317,6374517.9999345,1
328210.999966629,6401067.99987452,1
348766.000038391,6381183.99987517,1
348480.999974644,6382065.99994757,1
321478.000012538,6378623.99990215,1
316221.99997742,6388661.99992393,1
315232.000022926,6392811.99984491,1
313246.999961958,6396969.9998743,1
346527.999961075,6374094.99995052,1
348228.000036567,6374930.9999058,1
348653.999985347,6380583.99993451,1
336017.000028835,6386322.99993735,1
337221.999959384,6371139.99985421,1
319414.000032398,6394171.9998609,1
319578.999957445,6399137.99989714,1
359249.000031809,6370683.99993873,1
351829.00001406,6371271.99984714,1
354033.000019196,6374113.99989142,1
354562.999957986,6374740.99991388,1
315482.999957999,6386207.99994392,1
333652.000004389,6397566.99990471,1
333168.000008852,6401411.99988344,1
356240.999962679,6378887.99985364,1
341232.999969396,6352842.99988094,1
342117.000030015,6353787.99990823,1
339579.999986745,6354692.99991294,1
346623.000042582,6357830.99987729,1
340288.000033486,6358431.99990246,1
204313.000037318,6435195.99995222,1
202526.999959774,6435542.9999515,1
425795.99998028,6475519.99987397,1
420569.999991062,6472600.9998544,1
422716.999966348,6472776.99995484,1
423437.999977894,6474475.99992366,1
348015.423576619,6734500.71250831,1
339350.458821844,6734049.73811918,1
338639.462604306,6734341.73885443,1
338225.46508957,6734603.73893456,1
337714.467396131,6734684.73992519,1
334520.47718421,6733340.75444129,1
331521.491469983,6733929.76030311,1
327705.364418064,6683024.98116258,1
332173.391989159,6699283.90268758,1
330649.446214981,6716451.83613603,1
294781.468454194,6673547.11410205,1
318271.29041527,6643885.1623825,1
317320.330393716,6656570.11569391,1
332581.473843448,6729221.77731838,1
349724.000047898,6703765.99993577,1
310768.999990097,6493843.99988756,1
303384.9999738,6421666.99985766,1
303690.000007312,6421524.99989233,1
289662.999956216,6413892.99991679,1
329564.000006931,6405893.9998637,1
329565.000019623,6405939.99990633,1
340481.000028476,6387023.99992959,1
363689.000042821,6415606.99987132,1
341700.062393643,6594095.28363834,1
336321.078480481,6592841.30320498,1
304403.277852101,6282590.33327206,1
387203.993502857,6631439.0224247,1
392403.976757994,6632589.00468759,1
392403.976950769,6632689.00433923,1
301985.501142609,6262250.81084502,1
433249.553857114,6472154.04718907,1
312654.468300634,6252639.86725495,1
299504.511587981,6262939.80282002,1
299404.511855422,6263439.80059678,1
