"X","Y","po"
82107.6083789645,6005871.5770564,1
77879.0231277518,5951116.33948442,1
78086.4787992077,5951138.32706451,1
78293.1069060963,5950948.42346182,1
86182.0658409074,5959766.02495997,1
80874.4765744705,5957929.35316038,1
83788.5237028557,5979093.26877394,1
82978.8162491126,5979054.06054936,1
83156.9465569686,5979063.10759179,1
83338.1386001204,5979071.34092739,1
83879.5879631406,5979097.91635758,1
84057.778252556,5979105.96332146,1
84238.9060478953,5979115.19642632,1
84508.1590029494,5979127.8908027,1
84689.3478481008,5979136.12387419,1
84776.4109631375,5979140.52308809,1
83966.6520464378,5979102.3157497,1
84147.842200005,5979110.54885945,1
84327.0318694814,5979118.65779952,1
84867.4740630738,5979145.17068288,1
85048.6620560683,5979153.40354173,1
85317.9121238768,5979166.09775479,1
85496.0368752878,5979175.14446684,1
85677.2233165526,5979183.37723463,1
85767.2853797173,5979187.96263494,1
84957.5371197111,5979149.75609838,1
85136.7248272361,5979157.86488557,1
85407.9745957947,5979170.68313,1
86036.5328504291,5979200.65652457,1
86305.7793904098,5979213.35045643,1
86486.9018434533,5979222.58311257,1
87022.5023591809,5979359.21680735,1
87290.7453718826,5979371.84798861,1
88100.4686127271,5979410.05131664,1
88278.6489118027,5979418.09724645,1
88459.7667012161,5979427.32914568,1
88910.1832079863,5979448.25397574,1
89088.3616564971,5979456.29963249,1
89269.4773871284,5979465.53151738,1
89448.6548521294,5979473.639225,1
89719.8891000858,5979486.45585313,1
89807.9464665664,5979490.91655854,1
89898.065603565,5979494.50145516,1
90079.1794718522,5979503.73311272,1
90258.3549920896,5979511.84067208,1
90439.529956997,5979520.07234252,1
90707.7608805486,5979532.70249915,1
90798.8168437497,5979537.34929092,1
90888.8727973841,5979541.93403673,1
91068.0463788555,5979550.04144838,1
91249.2194863242,5979558.27289893,1
91696.5576276086,5979580.01020161,1
91786.6744676523,5979583.59482992,1
90976.9907387773,5979545.39472216,1
91877.7291294908,5979588.24156066,1
92058.900290424,5979596.47289864,1
92237.0712538471,5979604.51809094,1
92506.2956417303,5979617.20980681,1
92687.4031863799,5979626.44089616,1
92777.5188745342,5979630.02551883,1
92145.9549392271,5979600.87132981,1
92418.1794400542,5979613.74927981,1
93046.7413637568,5979642.71714659,1
93227.9097329522,5979650.94827422,1
93765.3506756543,5979676.26904481,1
93856.4029038001,5979680.91554433,1
94034.5696208926,5979688.96039872,1
94306.787298519,5979701.83775111,1
80859.9221284378,5994977.05352959,1
81042.0591929134,5994986.31054983,1
81311.3254291606,5994998.94863026,1
81671.6584208703,5995016.21498788,1
81761.7259035761,5995020.78154934,1
80950.9907442865,5994981.68207537,1
81223.2575525079,5994994.50563369,1
81401.3934184946,5995003.51516235,1
81852.7934397222,5995025.40995161,1
82031.9897164789,5995033.48125945,1
82304.2525716491,5995046.30453801,1
82482.3858903224,5995055.31384785,1
82663.5807730581,5995063.50861691,1
82754.647127349,5995068.13698304,1
84286.0674837714,5995140.7657026,1
84013.8117267622,5995127.94298242,1
85362.1536732244,5995303.68631293,1
86802.4596484476,5995371.68066291,1
86983.5823270917,5995380.87441276,1
88243.7380367292,5995439.73470239,1
88515.9785020089,5995452.5558085,1
88694.0970971574,5995461.563697,1
88785.2180575236,5995465.19123637,1
89235.5738796833,5995487.01999297,1
90047.2817608838,5995525.17290673,1
90316.5158236104,5995537.80789881,1
90676.8676026361,5995554.07032503,1
90767.924315319,5995558.69767321,1
89956.2241469046,5995520.54543091,1
91128.2738719969,5995574.96001136,1
91309.3860923334,5995584.15280791,1
91487.560009061,5995592.1602344,1
92744.7762903089,5995762.25263145,1
72914.1463410232,6000491.54831682,1
80484.5379738418,6000969.21599966,1
80753.806881526,6000981.83262249,1
80935.9446692703,6000991.07514634,1
81475.4784937322,6001016.36990302,1
81744.7439853747,6001028.98626511,1
81926.8793423801,6001038.2285582,1
83098.9952611361,6001093.56107689,1
83728.5171717724,6001124.41382659,1
83910.7095162772,6001132.65572087,1
84088.9013668802,6001140.65045603,1
90486.7433844814,6001553.87790143,1
90665.9195790518,6001561.93293946,1
90938.1519618353,6001574.73157833,1
91477.6140891847,6001600.01977214,1
91749.8435494406,6001612.81809046,1
91923.0998885041,6001732.92694066,1
92105.2724263905,6001741.16675602,1
92284.4447844184,6001749.22123148,1
76687.8796353201,5978638.52771945,1
92374.499853178,6001753.77933818,1
92556.6712826394,6001762.01902505,1
92734.7809138041,6001771.01149101,1
92916.9515028296,6001779.25118214,1
76778.9525141667,5978643.1761459,1
76869.0251002311,5978647.76255586,1
77047.2319077264,5978655.81107907,1
77319.4488179574,5978669.69430674,1
77497.6545799344,5978677.74274887,1
77678.7981053564,5978686.97745847,1
77766.8694694712,5978691.4396873,1
72553.9898632728,5958290.16527197,1
72912.6643333099,5949291.16268112,1
77856.9408874477,5978696.02599717,1
73089.8156730523,5949300.2184849,1
76236.3964117686,5947452.57330114,1
78038.1456758865,5978704.26052593,1
77136.0323527243,5945604.1977253,1
77316.1736963377,5945613.44938701,1
75548.0653442583,5941407.52735294,1
