"X","Y","po"
429077.00004231,6580438.99992565,1
439309.772901426,6621459.93100009,1
360686.599763475,6448983.71892775,1
351777.612356713,6443714.75951242,1
351352.681282104,6468210.68485746,1
357850.657640984,6466984.670965,1
364677.652420284,6472916.63369822,1
435688.618988614,6551573.19180003,1
437263.609874004,6550021.19338479,1
357659.616556949,6451725.7187908,1
367659.570806694,6446131.70879071,1
438607.779925111,6623339.92553354,1
247153.036022913,6165139.76457381,1
223954.073106119,6060131.96037342,1
228604.953313766,5982117.17153829,1
226502.709105716,5982086.89526511,1
183222.715570285,5882702.50852031,1
183129.747044568,5882587.32679698,1
183125.353213946,5882688.31805642,1
183017.371298633,5882683.48129209,1
183111.099499232,5882786.67912396,1
182718.732768667,5914449.76444795,1
191294.332338385,5881902.58214667,1
191196.347576199,5881898.37740215,1
176494.54698417,5932110.76339416,1
190990.265556413,5881891.3319954,1
194512.763817936,5914992.60115133,1
182742.866447643,5925276.69028326,1
190795.926512415,5881873.0000821,1
190381.911133178,5882046.2736986,1
205820.641043689,5913802.87490779,1
206019.631984567,5913810.39183423,1
205907.329952461,5913906.56154316,1
203003.753945832,5915527.01585262,1
203007.042553018,5915426.98587083,1
175730.161108645,5894955.77351151,1
200297.712706771,5917065.80264098,1
199601.977876036,5917019.02266235,1
199617.474486452,5916820.51764138,1
199526.073617092,5916616.28894773,1
199624.111194098,5916619.45037074,1
199362.395722502,5915999.52832105,1
199472.707595642,5915903.22141847,1
198975.576535695,5915774.70154629,1
180892.674482476,5894186.09811256,1
180795.370482602,5894170.92332899,1
180475.702714752,5894358.27374057,1
180164.718025061,5894535.14501038,1
179864.296704895,5894513.14837849,1
179875.539701578,5894414.59187204,1
179371.063985801,5894384.71059357,1
179949.656269402,5894828.37707155,1
178732.770504831,5894949.00145532,1
178439.397653627,5894926.44938971,1
176848.605791904,5894632.38190557,1
216884.320567716,6058603.36357744,1
216887.418897435,6058503.35145767,1
222984.86460194,6058873.51153779,1
217083.242863954,6058709.69380802,1
218375.025104589,6052275.56472377,1
218261.925573038,6052371.85807952,1
218729.241849369,6051398.42510328,1
218826.204544083,6051500.54418675,1
260901.999213935,6161840.72680634,1
274402.988407035,6166589.67522061,1
189300.962275322,5886496.42732744,1
189175.928246713,5888392.4187234,1
216706.932153607,6014100.89834,1
213779.378207528,6025846.46150571,1
214692.217198522,6027298.47472048,1
216240.684378254,6026592.99006011,1
217671.129305705,6035902.63651066,1
216138.038307397,6006639.41716651,1
218575.189678898,6034820.80229634,1
217395.390076525,6029229.19222004,1
217212.518933653,6029335.1974453,1
215125.0341593,6026712.80629505,1
212823.437086238,6025193.44674823,1
212972.524685807,6023420.8689496,1
217346.678620655,6013898.83080325,1
221316.219059898,6016801.81103391,1
250573.854428672,6110839.85183924,1
250770.852744843,6110400.85199799,1
185824.790220815,5916155.17897345,1
185617.157838241,5916236.35837938,1
185715.213387931,5916239.52037876,1
185922.845467917,5916158.34111502,1
185655.860526437,5915637.23526797,1
185851.217202201,5915655.54449544,1
185945.984031786,5915758.75969509,1
179789.965382663,5902135.95140126,1
178629.506998918,5901458.08762525,1
391603.898305733,6600889.12535519,1
392303.89548003,6600789.12385235,1
430203.638729853,6551889.20398512,1
428803.638702507,6549889.21434038,1
428803.638880336,6549989.21390133,1
424503.649351483,6548189.23070338,1
420303.67168838,6551389.22987547,1
421103.670396726,6551989.22579771,1
427203.665093992,6558489.18823418,1
427103.665736947,6558589.18814114,1
427403.663236576,6557989.18948293,1
427503.662898407,6557989.18927129,1
427503.662368321,6557789.19000454,1
385103.682608936,6508989.46285238,1
382403.701987246,6512989.45664003,1
382503.701364089,6512889.45668474,1
379203.73495889,6521489.43671002,1
379103.735047747,6521389.43732643,1
430003.652723761,6557389.18533397,1
384903.719914821,6522989.41670143,1
384403.721827189,6523089.41765696,1
383403.73384602,6526389.40914517,1
383503.733682674,6526489.40862655,1
383603.733092943,6526389.40861845,1
383803.732424472,6526389.40815,1
382703.7377142,6526989.40897673,1
430003.652984274,6557489.18498871,1
390003.848237225,6579189.20825359,1
390303.847430034,6579289.20705988,1
396803.832402917,6582489.1789114,1
397003.832152205,6582689.17772026,1
396803.832134842,6582389.17930343,1
392203.851690954,6583589.18677915,1
388503.850958893,6578189.21572452,1
432703.638302704,6555289.18610405,1
433203.635135608,6554689.18693526,1
434003.809086002,6628288.91788216,1
434303.809823017,6629088.91408835,1
438303.78260807,6623988.92385551,1
438203.783020903,6623988.92403787,1
438003.783966944,6624088.92423048,1
438203.782314887,6623688.92525642,1
435803.790101907,6623188.93281729,1
435803.788915293,6622688.93470972,1
434203.794411861,6622488.93922291,1
433203.798645253,6622688.94091757,1
433303.79850226,6622788.94033184,1
433403.796458449,6622088.94265195,1
436303.782279493,6620688.94099009,1
428403.843838784,6633988.90969476,1
430403.830761068,6631688.91365657,1
442303.772585596,6626088.90642794,1
442403.772059431,6625988.90665023,1
442503.771415678,6625888.90674893,1
436703.775248734,6618388.94861639,1
436403.776638617,6618488.94901862,1
439603.610594437,6553689.1751307,1
413603.706023192,6555889.23088641,1
439603.610353952,6553589.17548362,1
439903.608592314,6553289.1757991,1
443703.592552553,6552089.17090349,1
357853.660397402,6467989.66769836,1
223645.021871208,6233963.00550884,1
223849.021852079,6233184.00552085,1
223490.021974138,6233353.00555793,1
218933.081176739,6226846.88130521,1
413204.064566075,6699988.68671856,1
404704.22052986,6748688.50442597,1
400489.062542143,6781817.26561089,1
413952.301455195,6813201.71131813,1
267628.404605957,6178898.19260269,1
247380.150214906,6163726.30450566,1
249190.659500166,6163410.19921188,1
248274.085296039,6163650.35672522,1
250828.024135318,6162242.0957557,1
281190.329250654,6174955.13362953,1
197136.918008846,6062733.63358497,1
439769.784230137,6623128.73389512,1
409500.031563776,6829168.34518158,1
363555.945332734,6470064.3842744,1
362226.115674153,6469782.66846059,1
205882.889982653,5907914.53912169,1
440842.782896796,6622075.65760301,1
223743.370116228,6061542.84059744,1
442131.549172403,6625060.11985079,1
442259.890625509,6625984.3230515,1
442286.980971762,6626023.95749412,1
436334.806735929,6636263.7579823,1
334151.414099215,6514915.86579263,1
335976.67796206,6516330.83324947,1
392277.537765889,6533733.00788452,1
396683.51246029,6681368.91448183,1
262797.815761989,6186951.35420261,1
254387.482267473,6174322.23885279,1
284974.33754695,6174738.12601434,1
284231.337514385,6174721.12772136,1
283308.333940162,6174197.13013177,1
282415.336004319,6174627.13165998,1
176780.7738556,5872186.70699191,1
184511.027899875,5921230.32609646,1
367834.765360174,6683315.95467606,1
454104.264269636,6640687.90939935,1
190599.589476344,5929482.83013874,1
190225.222351792,5929058.32925475,1
189457.685974598,5928508.89414849,1
188084.711560959,5928021.6980253,1
205884.660967697,5898467.51585303,1
194198.671418781,5916876.9916836,1
191088.20583662,5923297.91516214,1
196053.259424885,5914487.53077429,1
199547.240320632,5916311.34040382,1
179077.851440516,5927757.10336411,1
182749.411215863,5923576.02518037,1
186117.14495932,5914664.07599727,1
186036.140449674,5914358.19906685,1
185573.828797978,5915331.69460329,1
180731.18192751,5901490.84208095,1
182285.95799869,5900686.58031609,1
182796.897536706,5902122.55442807,1
184552.37510862,5899726.76155173,1
180839.939955806,5907714.29090614,1
184778.834261485,5907260.74638064,1
186150.184080581,5899827.64455465,1
187628.177691584,5901825.88857477,1
180918.312416228,5901703.18932504,1
183177.454509225,5902447.36705008,1
184676.812676613,5928008.29196083,1
181318.092799494,5930404.32059498,1
185494.540996378,5927758.84756107,1
184564.410100911,5928201.75557221,1
191633.311799572,5879721.78184533,1
198749.448492849,5878168.04632357,1
191423.059933939,5884621.01193568,1
181438.078750537,5890305.44310137,1
181044.925249407,5890180.29872259,1
180911.084872313,5893881.79305828,1
181285.131695243,5886385.26482764,1
180402.716810798,5889237.23240421,1
180658.088493393,5889955.28301992,1
180090.468888314,5889418.01347839,1
185589.912523395,5897586.50561775,1
182762.883330749,5888383.91774929,1
219415.987088915,5871561.48202544,1
177584.223509952,5878329.4730634,1
176978.650805267,5878391.34077134,1
177284.604340468,5878310.46964994,1
178402.202235199,5878080.52983995,1
177473.156985291,5876918.56868768,1
177428.814029542,5877617.68604425,1
177292.993835361,5882923.67448825,1
181988.28876601,5881616.87450724,1
183041.133734471,5883989.76741797,1
176015.023957625,5880937.43427357,1
200797.441651366,5864864.91795494,1
198775.177096537,5865137.27352033,1
211647.602945271,5866056.2782851,1
211486.045338609,5865444.60343103,1
191907.476738033,5867507.73360233,1
196223.088861689,5870589.13499074,1
207149.908704693,5911778.1848193,1
186959.084033046,5866491.31805156,1
220704.983289194,5951313.64684801,1
220012.536683124,5952773.53579451,1
222171.156355705,5953509.5960144,1
209303.993175209,5882445.92145133,1
209175.387842893,5879731.44627894,1
208297.975843539,5884086.15306389,1
181048.839974778,5893288.88893978,1
178704.917870912,5889129.78946268,1
179608.844927021,5890691.06198849,1
177975.468891627,5887980.61887757,1
177801.011460393,5887568.48070084,1
177819.97868385,5887268.85963034,1
182450.641375313,5888564.69017519,1
182737.599760873,5888783.38663222,1
175919.531770185,5876118.0580158,1
177281.73434193,5881519.10759059,1
183202.906676285,5884601.61961838,1
188428.072819594,5900272.24506533,1
419704.400800964,6615888.18032931,1
436904.328717967,6636187.98406544,1
441304.320027021,6625388.05445685,1
328304.922637242,6498489.11604952,1
329304.919986178,6497989.11257295,1
326604.922541735,6499489.1173492,1
326604.91842642,6499989.11749315,1
326704.909490471,6500989.11582037,1
326804.908003239,6501089.11527609,1
327504.903853279,6501089.11274471,1
329204.895524144,6500589.1072072,1
330504.877113525,6501289.09686209,1
329504.879454101,6502089.09888661,1
328704.875257443,6503489.09951121,1
181129.664942405,5885673.53189529,1
181673.282372961,5885006.07604692,1
183426.602207089,5885818.99285388,1
182427.94384148,5885755.75168859,1
183432.926461967,5885719.12629663,1
172655.475939613,5889649.48260312,1
175430.625804506,5885412.88244932,1
177878.214424825,5884765.69435253,1
179988.162945573,5884698.79598093,1
180917.278135828,5885860.62113289,1
181511.502773452,5884394.21222664,1
183158.629023078,5885300.68662288,1
185037.075436135,5885720.4467628,1
184935.906797701,5887318.28008974,1
181811.106109447,5884413.19167866,1
173248.434374138,5889787.28078315,1
174440.657198246,5889962.99271036,1
174498.808342636,5887459.71871455,1
174923.609477108,5887085.49890143,1
176118.443723945,5884052.56969466,1
176342.156083781,5885270.05755936,1
176703.705974632,5885894.60992995,1
179912.258091618,5885897.24520321,1
183976.522867589,5885051.68609923,1
179520.444353899,5884167.8084103,1
178855.17469917,5891826.59255236,1
179319.041022418,5892577.88466008,1
176561.159318944,5892583.97779327,1
178927.253783948,5892272.34758408,1
177877.650379927,5893489.4663898,1
177070.964612716,5891182.29238546,1
179068.261973451,5893213.79108586,1
176612.715839147,5892085.86349507,1
176414.86064844,5892043.26815515,1
176720.117537097,5890387.98260836,1
176134.185074982,5891724.69055732,1
178226.071544108,5890834.21132607,1
178923.977118622,5892482.71126953,1
178848.194498084,5893681.18130205,1
176586.572454349,5894560.99808787,1
176387.978155734,5892944.04464237,1
177262.621016111,5893701.2663398,1
176808.420112164,5894224.06061005,1
177323.705264084,5895590.27328003,1
177462.786251964,5895769.52736945,1
177971.966388534,5890888.32812117,1
176537.512791198,5892482.20760765,1
177311.983408094,5894506.57720068,1
177862.281485434,5895794.7728911,1
178513.164885434,5893429.37391623,1
178665.2672383,5893719.75228587,1
175696.301743917,5894685.22058478,1
175915.482658136,5892011.68583771,1
178989.703449885,5892236.18825525,1
177190.452164256,5891671.16690917,1
177860.118242505,5891863.93179726,1
177553.942579727,5892265.71705256,1
212121.3236819,5903351.64150594,1
208352.906153765,5897951.87991335,1
208811.935898875,5902110.41371119,1
208771.471447623,5901957.51289135,1
213416.162680193,5901098.11272379,1
208613.041412521,5896214.25346904,1
212512.671114703,5901121.24871166,1
208227.668801003,5896761.2233512,1
209424.56372841,5898440.55532073,1
209606.387178484,5897149.04298851,1
211562.53232467,5901883.12450258,1
211285.60822866,5900713.0228736,1
213695.423572822,5895883.99352548,1
213673.342349079,5896233.38753654,1
221774.211340173,5850264.35330162,1
229066.44750779,5866362.47899311,1
186529.605748564,5932034.60818666,1
185880.667369001,5931191.84855954,1
186773.177484779,5931348.09098519,1
186173.995757364,5931310.50587439,1
186866.776717129,5931454.21837012,1
186760.649757888,5931547.81769476,1
185393.872825967,5930960.79618942,1
186492.379973466,5931029.70739181,1
185949.581940076,5930093.33962694,1
185631.192133617,5930374.13646204,1
185599.867091677,5930873.46069879,1
186192.788602243,5931010.91355121,1
186704.635925878,5930842.50976218,1
186979.167721371,5931260.75629877,1
187079.030628287,5931267.02056171,1
187060.238934748,5931566.60938023,1
443854.34499623,6665987.81341022,1
406155.167987425,6808237.1172013,1
213216.317818516,6228606.48396002,1
431457.999973863,6626748.00449276,1
429000.000041358,6631600.00453844,1
442888.000039384,6626518.00454746,1
214349.517920077,6222962.57127381,1
218155.110503711,6224689.04684977,1
218249.075104451,6224794.74916804,1
216446.174494155,6224788.94505789,1
253104.3839648,6158890.32390086,1
219769.151599893,5950253.0757736,1
189409.382422887,5889506.38211562,1
206483.67701747,5898505.35628766,1
213841.784437295,5896264.07831523,1
209185.182061274,5882739.09186416,1
208809.783226404,5883918.1116652,1
156887.177813794,5878922.42163135,1
156987.07850038,5878928.75648089,1
178177.125093461,5878467.35243978,1
206417.609293432,5904314.77833226,1
189185.999002517,5867735.78843366,1
181925.370928367,5898457.94616621,1
181551.132619153,5898033.23938836,1
181351.395973133,5898020.62294719,1
183740.84331463,5899876.04867393,1
182686.463086288,5899107.61193044,1
182792.637496105,5899014.05130745,1
182898.811930293,5898920.49091866,1
183229.951462324,5898440.0778198,1
183348.743153144,5898146.78552308,1
183554.783875144,5898059.53524438,1
183211.026943187,5898739.67829653,1
183304.585256896,5898845.8522263,1
184259.088937739,5899607.98005072,1
184602.831229548,5898927.84097226,1
180702.791411637,5897177.50328229,1
180921.459623345,5896890.51261259,1
181152.748978567,5896403.78418878,1
181358.796435199,5896316.53587777,1
181932.762579265,5896753.87321074,1
181733.026565353,5896741.25332454,1
