"X","Y","po"
300496.789270701,6117208.68499279,1
300493.789292575,6117222.68501149,1
298832.801567252,6120328.68465684,1
298847.80167502,6120350.68458573,1
298846.801730827,6120369.68456238,1
298829.801712015,6120369.68458093,1
301253.789033257,6117566.68205589,1
301830.800677712,6121729.67316205,1
301840.800724309,6121753.67306292,1
301820.800712888,6121748.67316862,1
302187.799469002,6121541.67240765,1
300564.792083608,6118174.68309563,1
300535.792320915,6118230.68305397,1
299783.783077016,6114744.69139383,1
302917.789353952,6118602.6752462,1
239202.905340239,6120489.87218089,1
338599.372579187,6265000.48399138,1
342354.347793823,6257689.84967777,1
333944.408365566,6269314.78156104,1
338604.383863616,6265989.79955021,1
337555.931322904,6262836.15795189,1
286401.081684111,6115502.28624885,1
304768.992676816,6198642.39604437,1
335604.614875768,6313989.62205571,1
286690.085080873,6116353.2817334,1
318304.457729328,6217389.95820699,1
318804.456790452,6217589.95768419,1
317004.470398946,6221389.93636775,1
322504.461910435,6227089.91895985,1
319004.456206344,6217589.95784487,1
320904.467236696,6223489.92847372,1
321304.455779451,6219389.9523312,1
321104.467694211,6223689.92752134,1
322904.460949295,6221789.93996844,1
302495.59940436,6119442.50126188,1
299454.967422409,6119375.94116649,1
314328.923921859,6212157.95757662,1
339042.735092556,6264381.71897639,1
342767.138745408,6257048.95996203,1
338422.495872234,6240337.03409474,1
317220.297163545,6221460.39977002,1
320223.829502757,6225216.43298541,1
321831.476132555,6221548.87609331,1
323368.524574587,6221577.86418636,1
245930.555428129,6129140.41333551,1
242989.990269978,6125357.0483114,1
300894.370802131,6123106.8315983,1
287335.47124762,6117250.6986949,1
252473.271426617,6112666.99874575,1
252978.683307925,6094176.68111235,1
237437.680301607,6106692.36611751,1
287422.059545301,6113553.0596012,1
228491.632336374,6100876.06482031,1
249689.636210017,6103338.37283725,1
240475.138948429,6106779.92575459,1
240316.279323412,6112327.19568161,1
266770.370791787,6088993.2741738,1
287508.718768835,6109855.40470406,1
288898.508179161,6115437.34029875,1
288941.502472838,6113588.52504248,1
285989.899372768,6109819.66982344,1
289070.581191499,6108042.0558764,1
235972.869484335,6104799.0801726,1
287552.077054699,6108006.56792122,1
287702.059693355,6167202.46272539,1
245083.347859653,6105060.29212612,1
243251.004273369,6116111.81158715,1
251666.197407376,6086738.76505252,1
252725.728973754,6103421.87124085,1
302435.370595954,6122215.60586752,1
328485.114638301,6278988.5158308,1
320871.708673127,6219465.84851054,1
325997.451506323,6220763.98842699,1
318617.94839934,6223161.72800236,1
322028.08369978,6221747.54391305,1
249576.136533257,6103531.26069041,1
288482.63225921,6115623.24068077,1
252308.732142513,6103606.470838,1
291964.805779714,6109788.0729711,1
321730.668031668,6221375.80165445,1
323227.002849718,6223245.67088004,1
259040.236926091,6090465.87948546,1
285930.276592379,6107794.02268159,1
290442.964324262,6109753.02526655,1
290528.637338155,6106047.98611465,1
293519.734985485,6107970.1544411,1
288964.255882695,6107865.19691704,1
292046.734766176,6106086.67603127,1
291961.853319426,6109784.30602646,1
300791.025459487,6122930.08929666,1
302301.608995709,6122038.20935052,1
338324.984386478,6239790.49920947,1
301103.288359446,6122566.99193773,1
287700.530788231,6110055.49119646,1
285877.871328434,6110012.63262446,1
287752.489299485,6107836.89200339,1
280894.708089024,6127621.92251503,1
238640.076437787,6113955.71752182,1
302331.994025245,6122038.86918253,1
290485.791915546,6107900.50783694,1
287408.376115193,6109682.37607218,1
302514.704591563,6124139.04735305,1
253787.447225757,6353030.06137736,1
302079.098640193,6123875.58039264,1
302079.339660472,6123864.48801924,1
240371.884634678,6106602.96076216,1
240212.992004554,6112150.22152488,1
302529.892160822,6124140.60841793,1
321272.543313548,6219699.28831237,1
251542.615697712,6083789.23831378,1
323261.565840423,6221404.67354297,1
328387.903325879,6278442.03853798,1
322950.347191206,6221764.93581605,1
287544.810764652,6116711.25203637,1
252066.03669784,6112481.77217569,1
252582.342660735,6093621.64803369,1
237638.179429547,6106524.19640874,1
287622.641612519,6113383.37850356,1
228692.017904165,6100708.16428948,1
302088.196654029,6119259.15496265,1
299351.630516601,6119199.19251503,1
230626.329873338,6076704.97365879,1
293763.091696725,6105289.83342777,1
288815.763037217,6108760.75593526,1
266373.715995139,6088438.75458159,1
242854.114274545,6115556.42063701,1
251855.90843033,6086940.01086457,1
290822.898898872,6159700.66313056,1
290825.839560069,6159704.39215204,1
338822.916116089,6264979.38769544,1
322470.813425722,6222732.2034213,1
320783.178916989,6219294.2374897,1
246131.674523762,6128971.90877898,1
242571.831653237,6125541.27698951,1
325924.34804648,6220588.95948216,1
258941.4691183,6094160.22073327,1
322842.331076331,6219265.24050848,1
338937.913231798,6264204.8546406,1
288835.150618187,6113411.66564665,1
238636.961526203,6113959.29209384,1
338928.649837445,6264204.69839483,1
288534.30288211,6113404.66216187,1
337909.675301056,6264187.45645299,1
338938.932205165,6264204.87182708,1
288838.159094341,6113411.73563107,1
313925.377431102,6211605.33308553,1
317416.735680115,6221659.22753776,1
320120.017342828,6225039.61192415,1
318614.945177278,6223157.97234092,1
322198.001521057,6226393.71835393,1
283905.894925367,6194315.30240045,1
235451.235415082,6069293.61558643,1
288663.592354722,6107858.18903249,1
287451.824809861,6107829.84384849,1
246550.28032278,6103076.94902091,1
281485.025571881,6166883.06469099,1
235880.427135587,6104252.28056275,1
287301.346153076,6166648.85777887,1
244990.500200037,6104513.51574234,1
320162.367384881,6222821.53140106,1
338129.68023932,6251246.07809728,1
300058.335593823,6213539.25559836,1
338192.581362515,6247553.25323885,1
336152.244320737,6258611.11220059,1
