"X","Y","po"
478295.151517727,6860483.83014447,1
476738.16175764,6861799.82729257,1
270853.638952772,6372940.20233813,1
255219.343818372,6266422.52318083,1
244632.414487366,6280681.52338686,1
244812.413447327,6280485.52320194,1
244415.41298821,6280069.5255189,1
252703.407370562,6284490.48833501,1
248694.389806074,6276016.52144269,1
440003.608890214,6553589.17450078,1
249327.70864886,6282556.51958595,1
249420.708860575,6282627.51923724,1
256753.411432955,6288840.46494457,1
238140.026235261,6304987.4812793,1
240934.66881165,6297835.50873699,1
241054.676964853,6293368.5181677,1
249604.688981045,6276969.5372248,1
244229.67489633,6280689.52938256,1
277885.632033778,6248898.78924025,1
277783.632901094,6248970.78780737,1
277419.635707864,6249166.78325466,1
277341.636583831,6249261.78160001,1
236091.436497685,6299330.94645973,1
243045.664476093,6293413.43708853,1
257888.701729119,6265135.58126869,1
257374.700449867,6265848.57296243,1
235812.636930739,6304639.49876526,1
251963.808423341,6267955.40479645,1
235528.41429098,6302829.7544102,1
251499.711273241,6266749.3277584,1
247989.456932676,6272443.47340479,1
239459.743071683,6303321.31452764,1
239157.660359079,6302772.45265221,1
236442.830970803,6304263.92409031,1
236115.456898474,6305272.96402049,1
236049.659761027,6305183.94146245,1
235771.740571466,6304639.01064572,1
235892.677381801,6304894.68324608,1
246286.388677469,6303628.46462871,1
250105.776603943,6268580.24369556,1
247841.571134763,6270423.23872113,1
249305.718532295,6269126.55417894,1
257404.699721595,6266189.57209005,1
253287.703850973,6265674.56598286,1
270027.503360022,6197883.09503231,1
415652.075235738,6797314.12140954,1
249018.013066083,6270397.00521029,1
236810.956413866,6290443.13290598,1
240292.883889998,6293439.02717987,1
249000.013037757,6270000.00514053,1
265804.48626456,6193590.14733698,1
252604.715423277,6267689.56370324,1
242104.681330452,6292689.51818446,1
246956.013821118,6319731.37287676,1
446100.601399059,6551965.28241062,1
241610.75728559,6301553.89063528,1
242109.462194302,6297404.76791074,1
242509.289288742,6296952.94311232,1
241477.416160932,6301704.49182366,1
246520.656709507,6277172.27170741,1
246716.30403771,6269777.53605768,1
249807.306556974,6269858.89271837,1
251448.938390176,6266201.86030964,1
253089.451260289,6262544.61647661,1
269885.674022277,6207473.01820498,1
265303.714645014,6186085.39117344,1
264259.171783701,6186983.95389574,1
526226.663313497,6858633.07094544,1
404248.960520148,6801025.26595985,1
429058.093633037,6731028.50533165,1
252050.865281131,6364254.77184264,1
244630.338980329,6290071.98134383,1
257020.461457968,6290392.48859743,1
258708.293493968,6284885.68329443,1
258279.040304885,6284504.95075985,1
259639.770003377,6187790.76236157,1
236342.912746711,6385337.0190779,1
248786.180490809,6267519.68258574,1
438337.00001669,6556986.99990783,1
438676.000018045,6556073.9999316,1
433990.574797328,6735404.44152686,1
266000.009181564,6266900.00509178,1
258604.468229295,6284709.05895094,1
249693.84055197,6270052.01390955,1
251663.718205261,6265663.55388454,1
252676.785574186,6262360.00267553,1
265159.387895275,6185903.71583257,1
249703.413648085,6269685.97780906,1
438000.462338943,6560981.00784438,1
248679.394157737,6267339.29950311,1
524493.147083564,6860310.9352927,1
236130.92150163,6313723.55430902,1
252457.704712134,6282699.28681286,1
249221.156365975,6288165.0647392,1
264491.094481993,6186874.69548466,1
246615.520042822,6269604.71654844,1
445680.699362842,6551417.69805221,1
246911.849272358,6269978.8536561,1
249462.019922279,6278925.56975106,1
246468.770162377,6275150.76107,1
246322.213578372,6280696.77089,1
249800.351763611,6265981.24021652,1
246664.577546254,6267752.32994302,1
248751.361841853,6268639.85779865,1
250478.157815665,6357320.56190889,1
445993.312040579,6551785.05353788,1
428957.003074399,6730852.37314196,1
429276.7200635,6730854.38676583,1
239262.45806937,6297491.15859112,1
246387.474169304,6289855.68708752,1
428953.805903895,6730852.35295985,1
433770.817949204,6735498.73516279,1
241230.774060076,6297207.41670902,1
244821.049478379,6278803.3289845,1
246420.091936886,6276992.04017695,1
404472.16417128,6800482.54649692,1
256606.915214534,6290208.01625669,1
252270.447655406,6290097.51525076,1
258149.324662569,6284331.3751265,1
246736.00099129,6276634.09306885,1
256913.562980218,6290215.75623614,1
450749.754724804,6553659.22975838,1
410711.448111505,6791668.07362747,1
441217.905686023,6553610.46026884,1
246416.932730676,6276995.61960175,1
242005.742318191,6297228.11082035,1
242405.568530204,6296776.28469598,1
236281.649127999,6308177.56431556,1
244526.594886806,6289895.32836669,1
242005.643676679,6297231.80443325,1
242390.066248975,6296775.87125698,1
246531.924180446,6319916.24585538,1
252552.864850472,6279005.7348315,1
242777.540199834,6297252.38779183,1
255414.90019961,6288328.02040747,1
246849.051475284,6319558.23217046,1
526154.588086311,6858457.30162185,1
230461.10868496,6407912.74935667,1
244174.277827046,6303205.54544571,1
241373.70421421,6301527.8262982,1
241332.224922932,6301531.64570795,1
477463.499727766,6861788.2338169,1
256013.617792103,6205093.96632255,1
241522.456736299,6301381.33257523,1
259229.78212912,6187605.85580215,1
264326.468769466,6188291.29215454,1
241134.851520405,6300904.7748246,1
259533.119030365,6187613.69795553,1
244183.95153157,6302839.51713067,1
443504.805002814,6727241.24779098,1
526448.461055785,6858456.64661104,1
236235.732479003,6385162.43278544,1
439635.610993883,6553601.53157012,1
256916.660430748,6290215.83436787,1
251297.052206786,6267873.91715513,1
269781.968507489,6207296.14974532,1
248275.126573358,6264020.92264314,1
263839.839498616,6187168.98284696,1
268427.940701887,6262755.0848252,1
259349.369973804,6255131.26575584,1
251348.321703533,6266021.6365745,1
444440.520570446,6546235.28175973,1
251937.66086775,6364447.58019721,1
255064.795712405,6364159.34297137,1
264369.239787191,6186442.38353866,1
