"X","Y","po"
241451.853133337,6105690.89015154,1
266162.009969969,6184843.00511737,1
115875.298716877,5908732.89387238,1
171500.065825694,5887366.89732044,1
181774.061601892,5926318.74873579,1
185881.263647295,5891294.03939962,1
186349.860193205,5891922.24056255,1
186288.363824507,5889708.58036643,1
243676.950315496,6136715.82889694,1
201915.332392854,6051161.22464601,1
178016.861313539,5884919.87347013,1
223252.333083292,6152970.36397357,1
247380.150214906,6163726.30450566,1
249190.659500166,6163410.19921188,1
250587.037639811,6161784.14213641,1
251067.550880214,6162340.03550313,1
106673.843105119,6086132.85031317,1
211135.53103654,6055899.20869707,1
263104.435534885,6184190.20704504,1
273436.479706686,6170744.7538164,1
254270.366663,6170340.20456026,1
284066.334786338,6174378.12828356,1
225502.716180628,5895698.29510556,1
226501.332427597,5930119.15752126,1
183994.848035904,5914931.53038538,1
181980.049275477,5900767.53475853,1
182680.79527207,5908732.7121251,1
178086.134658425,5898917.36333385,1
180443.231789994,5885429.51728661,1
180243.492559341,5885416.8668763,1
180842.708611966,5885454.81795652,1
188700.458950247,5894374.21131492,1
179594.150720718,5871939.20655055,1
180406.620787347,5884424.4900819,1
206608.065875363,5858618.80783129,1
204866.375667328,5859209.52865861,1
186775.022745555,5869387.30891692,1
181697.252258123,5886210.82322937,1
175043.770945838,5885187.82668929,1
178022.372071786,5884072.90667387,1
176366.545539447,5891538.83607986,1
176691.684066976,5890837.4213806,1
176512.177124143,5891297.35931887,1
176868.911649773,5890096.5716204,1
176678.641285683,5889934.1207599,1
176720.99542939,5890057.13061721,1
248604.241489662,6118005.43088313,1
205783.963217511,5858967.25864054,1
287617.339300856,6170900.13622964,1
220611.666291929,5931165.97826133,1
215130.354264544,5919941.23282277,1
183407.081756838,5930636.26147837,1
182951.231020316,5931510.01942708,1
181602.821854841,5932227.5543877,1
225029.340722536,5927582.1813921,1
226293.325357065,5928597.45373652,1
271918.137537888,6171605.18744423,1
261195.502175372,6186905.81654396,1
258945.655757029,6184997.74212524,1
180059.713464209,6182616.9265545,1
286173.683383373,6167167.21621206,1
169799.640590506,6126702.19675293,1
194847.525885977,6107208.74280686,1
192186.924469434,6096009.38466556,1
201291.325057388,6096315.29608056,1
248017.245058495,6108843.41500489,1
254143.348154034,6107161.27659939,1
192250.01559208,6094159.95598797,1
196801.319050849,6094314.09661847,1
205542.614697621,6059427.62364909,1
205603.703706791,6057578.2153954,1
189440.464334314,5918127.64347344,1
183492.635186695,5917908.50631543,1
132407.700903851,5893610.50009008,1
208304.301582057,5889164.33837186,1
226746.329839681,5869414.37369944,1
167107.96533369,5880226.1380313,1
172886.300200654,5884158.54940118,1
187603.538808913,6053261.58771667,1
168005.944858321,5895084.72596106,1
272201.917516305,6175620.24666005,1
220457.469060337,6071816.60656479,1
78176.9346877828,6026314.47018774,1
224844.435355709,5927142.26690222,1
178048.45867935,5883502.99669589,1
181341.374899516,5884072.59866838,1
174721.588418393,5883783.57802382,1
181871.803796805,5884246.57931746,1
