"X","Y","po"
313378.132644741,6240600.40346194,1
313239.152187975,6247091.389409,1
304403.277852101,6282590.33327206,1
301016.518438385,6277550.74617059,1
314894.465995904,6246887.88863304,1
285738.005836181,6275282.00496698,1
312077.045435078,6238665.50615787,1
389661.00016495,6372039.00474314,1
316000.002875022,6244000.00493093,1
358914.000671265,6324056.00483987,1
359129.000685406,6323988.00478448,1
359156.00067588,6323802.00474865,1
358703.376512151,6365289.96629751,1
358083.379327818,6365689.96696989,1
356803.401244911,6372389.95212136,1
356853.400495281,6372189.95254359,1
312131.694385847,6245399.06972396,1
335342.47606784,6240283.96402124,1
303276.003819396,6281805.00490084,1
279479.999962146,6199372.99988505,1
272305.999990665,6185516.9999392,1
235193.853486673,6408719.21374659,1
283413.462227526,6326440.28777296,1
290721.519792868,6351637.19946694,1
389523.305663385,6370089.87047389,1
349076.999956482,6374153.99989683,1
350111.999955123,6374080.99993544,1
358475.000014681,6369871.99993597,1
357338.000022738,6369846.99995119,1
346708.000041435,6370213.99985142,1
356545.000021804,6370353.99992928,1
348942.000020311,6370941.99985072,1
356353.999990101,6371165.99993838,1
353553.000035482,6372988.99988107,1
360052.375168949,6366124.96038569,1
359919.373988584,6365589.96218235,1
360207.376636048,6366840.95796101,1
355777.395718393,6369396.96321924,1
348556.399486314,6363660.9989102,1
355474.403918021,6372039.95675843,1
356693.398750873,6371373.95520394,1
356959.399888719,6372082.95253449,1
347444.402030298,6363490.0024608,1
346511.404531583,6363510.00497881,1
346853.406616373,6364587.00107293,1
357399.399451795,6372338.95063871,1
356673.400157986,6371877.95391495,1
347322.401093673,6363038.00400372,1
358553.378187529,6365768.96547839,1
354182.396523793,6368110.9710842,1
344947.41030873,6364055.00788345,1
349487.401047637,6365150.99224559,1
349155.401503348,6364973.99364134,1
354736.393607612,6367583.97104584,1
358245.836156928,6372211.40342081,1
388121.70478754,6370272.25988098,1
388337.702030884,6370004.25581352,1
388572.699355201,6369756.25156012,1
415604.521253732,6377889.11775287,1
345104.762335335,6362189.53073655,1
389049.651933665,6363282.23105149,1
389082.651836612,6363291.2306809,1
389322.655070986,6363822.22780984,1
389315.655533645,6363873.22796507,1
358796.746952474,6364419.46064046,1
359014.746470668,6364432.45928713,1
359375.74571191,6364633.45660201,1
359349.745585615,6365184.45386033,1
359218.745665013,6365839.45119037,1
358959.746044395,6366175.45102739,1
360399.743032903,6367254.43682656,1
359947.744070846,6368193.43540164,1
359456.745262044,6368384.43773553,1
