"X","Y","po"
181913.426455459,5927309.30545532,1
182608.150933549,5928335.75182987,1
181795.972448547,5926624.29581178,1
186978.096317525,5975548.72056287,1
174515.567005369,5951613.23589551,1
174538.252278792,5951483.92592492,1
174737.732350875,5951529.62925269,1
175060.043881286,5951548.59173427,1
183083.937203033,5930925.28523243,1
181268.981009014,5927192.79321336,1
181746.610165196,5926771.59194395,1
185064.661168544,5965845.72950651,1
184977.525982769,5965152.38734136,1
184980.817701619,5965024.47847082,1
184943.194018478,5964928.56929008,1
184866.934047196,5964313.62370078,1
192713.692443662,6003400.45312202,1
188217.905145576,6003122.77716036,1
187549.666508172,5981519.06774844,1
186957.640902804,5976474.77153159,1
186882.443247558,5976168.34424509,1
188074.894102786,5974692.56747219,1
187362.03074575,5976500.89652202,1
195675.416946709,5971806.8540995,1
187680.318826467,5975411.90318531,1
187954.492394254,5975032.95235179,1
189280.430063393,6002182.94682467,1
185895.65591294,6000973.34635957,1
174760.326345736,5951907.1282633,1
177748.604130224,5969885.81135947,1
188044.544241317,5973535.80028794,1
185720.727453202,5973890.59917878,1
186919.67363233,5975569.15087396,1
185613.820993265,6003052.15960383,1
187344.244358426,5975996.53386662,1
183630.387658533,5964787.70748531,1
190607.111529088,6010774.17016112,1
185431.298357498,5965651.77389792,1
187293.861495476,5977319.82078557,1
180762.074187118,5991899.88096024,1
185462.015092328,5986514.35556406,1
194584.938768617,5983135.33806185,1
178173.089465494,5980691.01730297,1
182666.875616262,5980856.30517145,1
186826.61690869,5977067.13549474,1
187360.532667584,5975470.11331286,1
196471.5695032,5972089.88359681,1
182174.085767035,5927149.35032505,1
174724.662884054,5952776.08781766,1
181762.295246325,5926521.91788719,1
178961.918433922,5919591.29073167,1
183286.360915927,5923458.02150207,1
181660.382804973,5927102.29675094,1
196611.377584187,5971662.66430716,1
185428.44632356,5970352.51921305,1
188883.02518272,5976203.95762504,1
183279.82810664,5923463.96945588,1
185760.587198481,5975235.51996779,1
178383.249496634,5980155.27061536,1
183169.429829464,5923651.31738776,1
183183.035558733,5923285.05082186,1
187760.2301535,5974508.84030612,1
185894.513662439,5971539.78845664,1
196512.24131945,5971484.83881403,1
187758.965275566,6003088.36480958,1
187791.820398779,6002167.24193106,1
187570.097717811,5974934.16240487,1
188790.040813737,5976022.58648848,1
196503.264316196,5971484.52434923,1
187260.514651757,5975289.72313528,1
187764.792465171,6002166.27774602,1
181554.216156725,5926925.5104798,1
181259.473170686,5926914.51303319,1
187490.167211532,5977153.80135152,1
187193.711791124,5977143.12327971,1
185359.044854589,5986333.73502837,1
174934.065938476,5952240.70632937,1
175689.926340783,5932262.37894484,1
186747.75520467,5976262.69732936,1
174624.595093054,5952595.80634626,1
184758.53174176,6002980.83908414,1
187139.995537323,5975564.30505171,1
185693.462903575,5977088.92999695,1
185358.911180499,5986337.43404401,1
185372.280440983,5985967.4957921,1
182876.832655903,5980320.42649017,1
196667.652159548,5971923.62987513,1
187257.41869798,5975293.27869452,1
179906.266967703,5971320.62590416,1
185425.634461677,5984491.43940141,1
187359.438428898,5975469.62192951,1
185460.949956981,5986513.74031937,1
180659.153473924,5991719.22849966,1
180672.562773347,5991352.98519067,1
183040.207972226,5967735.10674855,1
189152.967230416,5964248.93567625,1
194481.817049643,5982958.49272238,1
207965.03967637,5983421.69438885,1
186028.546404387,5967844.0439991,1
187326.943869791,5973447.41795139,1
178872.687092904,5919044.65429025,1
178858.877143393,5919410.92789763,1
189197.908215951,6004995.23181894,1
185995.128902919,5968765.20674212,1
205268.444475712,5983330.73117948,1
190804.724017037,6010607.83305325,1
185975.001063635,5969320.12366888,1
185961.718001922,5969686.36868061,1
181871.040134716,5927304.09558246,1
182637.802658937,5928332.91045824,1
180928.329754951,5935793.69166098,1
181209.746352265,5936170.94414409,1
184758.399866828,6002984.5014182,1
170889.681463489,6036123.25102187,1
146705.237043764,6090461.30049209,1
170862.545345369,6036122.24204972,1
