"X","Y","po"
131312.308690238,6057787.57638247,1
131847.30566543,6060528.72805519,1
131141.60481052,6060586.00872053,1
140527.25499456,6059653.78144395,1
136927.247127621,6057829.25843712,1
349561.643882727,6452664.73816175,1
357659.616556949,6451725.7187908,1
95601.2544840241,6107244.12081699,1
118282.22613835,6079015.39737542,1
107457.83777583,6082120.96022133,1
118976.365746831,6075846.97962358,1
117506.259796928,6072797.82195492,1
117689.767636948,6081337.21544885,1
125468.10478071,6073031.18460125,1
118689.106694411,6086364.21319386,1
65285.7684759399,6023183.67631962,1
197972.622465527,6042510.07754517,1
142064.483420257,5956486.50623299,1
187699.251278419,6104329.49895582,1
188038.339750718,6105021.55372748,1
189092.226438887,6106989.6324855,1
189957.781301747,6108425.08379459,1
193162.160246915,6112627.55430923,1
194972.108539718,6114691.06050607,1
198123.335025336,6119611.3427924,1
198497.98156899,6119714.07377023,1
200443.993315749,6120683.06797659,1
203777.054260866,6127748.13931058,1
201989.432262144,6131649.21298667,1
196519.42220455,6140140.0637169,1
189891.234057637,6133679.03457399,1
181548.517597203,6098294.16662356,1
184348.307949349,6135852.27815801,1
181105.249728772,6133101.62308722,1
181642.354532028,6098400.08641734,1
183759.504388474,6099029.35012582,1
183712.586901205,6098976.39211723,1
177221.591890922,6063100.70266257,1
184260.876128603,6047984.78765663,1
184667.17129751,6046210.2293897,1
185303.478204014,6034221.69474107,1
185912.847389941,6030842.70649182,1
186498.189808292,6029374.96632889,1
110689.909095981,5912924.37271253,1
115875.298716877,5908732.89387238,1
93740.8997934848,6104877.7416822,1
94133.2492944815,6104895.40827306,1
94333.7590081122,6104915.54295004,1
95868.9340827393,6104505.43165007,1
96183.2713319035,6104219.32232704,1
96691.0948519338,6104152.64024634,1
139952.829527156,6021606.6907292,1
142884.06991481,6019580.27809431,1
143555.421552462,6018417.94324466,1
144189.782653495,6017954.46963089,1
143940.336059317,6020345.39030251,1
144700.379989591,6022599.79811282,1
144613.472549021,6022496.15788312,1
144601.332249226,6022595.7133537,1
144958.571116892,6023310.76470382,1
145623.889385019,6023860.19522053,1
145790.184163771,6024467.205023,1
146364.43616053,6026612.80179188,1
137701.656862505,6041927.50286572,1
138019.850982255,6038337.87340991,1
137928.045796941,6038133.63528601,1
137940.10496592,6038035.06822492,1
138107.004614871,6035328.92520327,1
169387.070370216,5941587.63783845,1
170934.353928863,5937679.42818004,1
176693.227784646,5941744.04184903,1
171629.91034914,5944141.6160412,1
168214.013307029,5950646.65796546,1
166574.32984735,5954551.45857651,1
142886.086371608,6000011.76009221,1
141609.49846746,6002750.53383125,1
138760.350908839,6005079.35987325,1
138459.694001503,6005156.09788593,1
137698.370212883,6006114.24175743,1
136084.163305079,6006214.25144633,1
135305.501598427,6007371.99970458,1
134268.650294583,6011220.40407442,1
135798.055908513,6019044.9225818,1
147578.541829541,5980846.22590417,1
147685.577996389,5980850.86165569,1
142881.816388154,5958082.28442509,1
142980.179205253,5958097.44574743,1
142078.591431028,5956437.22986757,1
133414.647125431,5965025.24869383,1
169002.789629213,5952499.9183189,1
147377.157631708,6006809.81281964,1
137480.242674654,6012921.0584132,1
137574.334372372,6021152.44086267,1
137744.978612586,6023173.17414774,1
138225.06419185,6023603.93371064,1
157250.064237525,6068291.03330805,1
168904.461689254,5952484.75412909,1
172170.958261944,5953199.0885909,1
