"X","Y","po"
482029.000002614,6496787.99988865,1
455416.245139305,6420505.56411752,1
425908.594549786,6527743.29701749,1
473439.750854682,6668634.67114185,1
469075.742184934,6657190.72564061,1
502794.640772921,6670947.59838861,1
492660.612601561,6639375.74238264,1
464868.708063775,6634913.82078028,1
462946.713581712,6634145.82814225,1
455120.735634122,6630881.85844093,1
453343.737964993,6628981.8697123,1
454158.734814089,6628955.86790672,1
475157.675513543,6637760.78684257,1
499421.489435942,6593597.89817612,1
265552.832927293,6112040.80199274,1
253202.704351126,6065590.91616468,1
268602.88413655,6129940.7611865,1
381303.271190045,6348689.94982288,1
483734.000047596,6582526.00452834,1
483445.999980846,6581898.00453402,1
483581.999957698,6587113.00452128,1
466955.99997249,6619840.00453166,1
498917.000020956,6617834.00458105,1
482816.999997228,6621678.00449626,1
495750.000042201,6618714.00455305,1
496564.000014501,6617676.00457635,1
496688.999976188,6618002.00456948,1
497457.000020744,6613809.00454541,1
489311.000030129,6591371.00456974,1
488764.000032236,6591528.00457233,1
489458.000025904,6594986.00459624,1
489850.000035828,6594743.00455919,1
494378.000002163,6597313.00459252,1
498486.999978232,6604896.00452791,1
351764.189629922,6291367.17551715,1
352856.188078643,6291746.17160346,1
351395.192317682,6292000.17502105,1
352103.191702801,6292390.17211184,1
351537.191541173,6291852.17503379,1
511613.00001289,6654917.99986774,1
512122.999994498,6679880.99988634,1
499881.99997976,6658811.99987578,1
515782.99999221,6684005.99989252,1
515553.99996548,6683907.99995644,1
517451.999982942,6675114.99992212,1
517488.999991111,6675221.99986693,1
518518.000015418,6673138.99991596,1
510332.000030575,6672103.99993716,1
511272.999978355,6668839.9998499,1
511574.000044629,6669117.99991381,1
496041.000044355,6645885.99984856,1
497359.999968108,6645457.99988281,1
497377.999981104,6645364.99994152,1
497465.000037522,6645379.99995154,1
497740.999973622,6645833.999956,1
505256.000027271,6646730.99989077,1
503599.999964721,6647427.99995619,1
503896.99996067,6647528.99991458,1
505192.000026747,6648054.99989628,1
505799.999993138,6647615.99985184,1
505502.999977906,6647827.99995395,1
505584.00001499,6647826.99985388,1
504895.999970737,6648089.99989129,1
505240.999985572,6648324.99985912,1
507586.999991551,6646262.99994729,1
507806.000001211,6641313.99989663,1
508104.000009664,6640882.99994839,1
507826.000032764,6640874.999877,1
508321.999979414,6640709.99990531,1
501350.000004597,6637633.99994487,1
500897.999961618,6637862.99986466,1
500489.00002235,6638485.99986262,1
499267.00003208,6638400.99987446,1
499598.000015796,6638214.99989607,1
499962.999973438,6637681.99994074,1
499707.00000322,6636861.99993753,1
499034.000017363,6637776.99992801,1
498334.999954516,6638340.99987594,1
497638.000026376,6638034.99990046,1
510275.000018011,6653188.99987828,1
510651.999961907,6652684.99995046,1
510467.00004397,6651708.99988518,1
510006.999975543,6653774.99990406,1
509782.000021734,6653535.99988215,1
509781.000016433,6653369.99987256,1
509823.000016948,6653052.99991273,1
509190.999976287,6655091.99993526,1
510089.000028677,6655185.99991121,1
499095.000036712,6661124.99993748,1
498931.999967784,6660161.9999516,1
498609.999966603,6659496.9999539,1
494254.000030702,6656403.99990372,1
494048.000004424,6657088.99994967,1
495661.000019087,6657177.99993908,1
511282.999968088,6663561.99992985,1
511249.000038927,6664721.99987323,1
511926.000008367,6664690.99987647,1
511950.00000751,6664596.99985062,1
512345.999986241,6664545.99993033,1
511619.000008575,6666495.99986269,1
514686.000016257,6668377.99993554,1
514263.000016249,6668296.99991956,1
513969.000019062,6668338.99990768,1
512805.000027459,6667943.99989672,1
511661.000027807,6667471.99989597,1
509250.999962199,6660429.99985194,1
508703.999996392,6660843.99990402,1
508744.999997766,6660966.99990413,1
508623.999993131,6661624.99992802,1
508271.99997876,6661521.99995054,1
507700.999992415,6661138.99988796,1
507279.999995061,6660641.99990396,1
506072.000035182,6660381.99989575,1
