"X","Y","po"
279103.369551852,6292740.38555109,1
266303.652927806,6373390.21520539,1
263303.653607011,6370990.23126135,1
280603.49532894,6334860.27462294,1
427449.000030667,6415164.99995298,1
246601.71361826,6065390.93788617,1
255402.851771539,6112540.83339825,1
260751.859471434,6117839.80730927,1
234252.747687802,6070039.97116099,1
259402.094437508,6190890.67445873,1
257002.09644095,6189990.68397556,1
256303.0978811,6189989.6861831,1
257002.099755904,6191040.68183713,1
257303.099155707,6191040.68088344,1
255102.104868668,6191440.68709675,1
236901.740982267,6069240.96366387,1
243652.987849104,6148239.80780264,1
246503.029980264,6162889.77098251,1
245452.032313839,6162990.77425628,1
247153.036022913,6165139.76457381,1
242403.013925779,6155540.79825909,1
237102.740228936,6069090.96329584,1
247252.004279904,6155390.78284219,1
243053.003055112,6152590.80168128,1
241092.772555471,6080839.93191933,1
242602.782566062,6084640.92095245,1
248101.828106744,6101389.87575146,1
252552.00946592,6160090.75687401,1
262952.004644581,6164789.71472422,1
261002.983585424,6156989.73568032,1
288701.94891605,6162639.63859364,1
263552.957093095,6150140.74042915,1
260451.949840048,6146039.75785882,1
265651.851878668,6118090.79122476,1
268602.88413655,6129940.7611865,1
257952.823698568,6105139.8378104,1
260239.31457124,6260844.5201206,1
255057.344122251,6266385.52379225,1
247368.387341292,6274258.5298344,1
272903.307653298,6267990.46385989,1
265463.314908921,6264793.49454724,1
248694.389806074,6276016.52144269,1
259578.316835903,6261090.52164261,1
257279.340655763,6266927.51543901,1
273103.307432843,6268090.46299852,1
257224.340756988,6266919.51555923,1
244383.412820836,6279994.52580571,1
263574.287485923,6254694.52377158,1
247980.392485915,6276318.52296775,1
266303.309525908,6263690.49440626,1
261859.324873009,6265299.50467414,1
265041.29359327,6257718.51218328,1
248141.391778023,6276219.52270827,1
264966.314571433,6264305.49718575,1
264885.292945936,6257391.5134981,1
336903.242639155,6297390.20279708,1
247153.014998146,6171561.00535203,1
266062.009960832,6184670.00517679,1
231653.470394928,6288290.54724598,1
263200.818620368,6106293.81917823,1
274000.780437768,6099886.79576466,1
255999.830338719,6106191.84224213,1
265005.795631608,6099989.82391639,1
265204.809895218,6104590.81567551,1
263507.817509984,6106090.81849722,1
263407.817672851,6106087.81888407,1
265501.996175422,6163640.70887077,1
265452.995943627,6163540.70914135,1
265151.995423321,6163189.71081067,1
263452.996241234,6162439.71761743,1
263051.994785761,6161740.72021682,1
260952.991840877,6159540.73100529,1
261102.998850918,6161839.72622936,1
260901.999213935,6161840.72680634,1
263452.012421373,6167540.70784854,1
264053.010954793,6167439.70611265,1
263753.011834336,6167540.70691067,1
247352.998941567,6153789.78549637,1
244602.001129638,6152890.79605209,1
284901.967023096,6166189.64346238,1
284901.966434992,6165990.64385758,1
255301.962307966,6146989.77259426,1
255401.961763042,6146889.77247519,1
260202.964762775,6150589.75023325,1
263202.933205883,6142390.75589038,1
263402.942363693,6145390.74964919,1
263302.94438961,6145989.74896735,1
269601.974956739,6159389.70404799,1
269701.975443634,6159589.70334092,1
268702.971646896,6157790.70985317,1
269002.970784487,6157689.70911872,1
269902.974701924,6159489.70287393,1
269701.96407131,6155989.71005875,1
269801.966107059,6156690.70841536,1
267701.971340439,6157089.71430111,1
268202.971043037,6157289.71235622,1
270401.972169507,6158989.70224574,1
270501.97174142,6158889.70214165,1
270801.971093151,6158889.70115991,1
268902.962154555,6154889.71471041,1
270201.958469929,6154489.7113749,1
268801.958200275,6153590.71747234,1
268801.9576171,6153389.71784604,1
275702.907026269,6141290.71857569,1
262302.952275499,6147889.74854069,1
266801.918731772,6139889.74902157,1
262202.906393373,6133389.77531217,1
262102.906586671,6133389.77565708,1
262002.906758302,6133389.77590958,1
262002.907122494,6133489.77578092,1
262501.905555419,6133289.77448441,1
274201.934074267,6149090.70885344,1
274801.931456072,6148589.70793538,1
275001.930129359,6148290.70781064,1
274901.929735799,6148090.70851749,1
