"X","Y","po"
272703.620354067,6368590.20852658,1
237002.089540366,6175540.77735757,1
237453.094513097,6177339.77237402,1
239553.106490767,6182290.75568953,1
236802.116859189,6183789.76165948,1
237302.128023221,6187490.75259781,1
238653.127236741,6188089.74694212,1
235202.094561056,6175990.78235684,1
259402.094437508,6190890.67445873,1
255102.104868668,6191440.68709675,1
250742.126146585,6195294.69315443,1
230452.015708131,6149289.84915962,1
239301.989347912,6146240.82575972,1
243652.987849104,6148239.80780264,1
242403.013925779,6155540.79825909,1
245553.00962575,6156039.7870756,1
247252.004279904,6155390.78284219,1
243053.003055112,6152590.80168128,1
243302.999557433,6151639.80260829,1
232352.940619334,6127590.8823075,1
259702.971046279,6152290.74863927,1
266092.878005967,6126590.77508197,1
289730.000028315,6438589.99984626,1
352103.191702801,6292390.17211184,1
347859.999969624,6381481.99993295,1
246951.999204281,6153639.78711315,1
244602.001129638,6152890.79605209,1
276902.893918052,6137790.72109158,1
254401.970692651,6149090.77152852,1
255302.969363847,6149190.7685298,1
255301.962307966,6146989.77259426,1
259702.971409101,6152390.74849973,1
259701.970442695,6152089.7490872,1
260701.965098038,6150990.74790544,1
260202.964762775,6150589.75023325,1
263202.933205883,6142390.75589038,1
263401.933745511,6142689.75464595,1
263302.94438961,6145989.74896735,1
275201.907564535,6141190.72029928,1
275301.907735531,6141290.71971968,1
268902.962154555,6154889.71471041,1
275702.907026269,6141290.71857569,1
267202.918311122,6139989.74760567,1
261001.93945528,6143089.76153286,1
261302.938263549,6142890.76096693,1
261602.937093375,6142690.76041119,1
261502.937542422,6142790.76055186,1
262001.934413723,6142090.76022902,1
261901.933989978,6141889.760865,1
262101.933941806,6141989.76006004,1
263302.926665094,6140389.75920337,1
263402.926489089,6140389.75882928,1
261701.913381922,6135290.77345499,1
261502.912746952,6134989.77461302,1
261801.909043453,6133989.7755084,1
262102.906586671,6133389.77565708,1
261901.906648264,6133289.77646429,1
262002.906758302,6133389.77590958,1
262002.907122494,6133489.77578092,1
264302.8826982,6127089.77985532,1
264402.88094263,6126589.78039181,1
277902.886169141,6135890.72146034,1
276501.896797326,6138490.72114418,1
276602.897265219,6138690.72045978,1
276702.893996699,6137690.72196477,1
268599.772322234,6094486.82157932,1
268602.772058884,6094387.82171627,1
272826.871978162,6128440.75056721,1
233152.97594675,6138740.85963937,1
233076.975860339,6138664.85994781,1
233526.974942442,6138640.85852706,1
237976.961819303,6137090.84677264,1
238002.961436306,6136989.84682962,1
238026.962115998,6137214.84636273,1
234552.001913336,6147414.83907285,1
234502.00202513,6147414.83922071,1
234578.001952137,6147440.83891599,1
234627.005007804,6148389.83702276,1
234577.005478668,6148489.83700074,1
234752.004947215,6148440.83658926,1
230428.015509006,6149215.84939657,1
230327.015585462,6149185.84972037,1
230352.015704551,6149239.84949932,1
230403.016260246,6149415.8490737,1
231252.006795028,6147039.8506159,1
230602.009066456,6147350.85222019,1
227778.007294099,6145239.86548598,1
227828.007179185,6145239.86535248,1
282052.863358602,6130914.71742714,1
281977.863635097,6130965.71760842,1
291427.836719288,6127639.69441249,1
290527.835609649,6126739.69879116,1
290627.83501349,6126614.69864301,1
298515.806045825,6121630.6832941,1
216746.874641236,6394915.08401139,1
254836.714772768,6278254.56240882,1
255060.715227237,6278436.56254324,1
249420.708860575,6282627.51923724,1
249463.708885787,6282738.51911923,1
337637.999979118,6370278.99985974,1
337518.999998369,6370657.99986863,1
337200.999966435,6371610.99994824,1
337534.000021612,6354531.99993664,1
342638.99996298,6357180.9998625,1
342238.999982735,6358118.99994226,1
340288.000033486,6358431.99990246,1
342073.999960451,6360301.99985127,1
274533.771584188,6419250.05849465,1
301642.998949321,6187450.55075439,1
241870.550424956,6196215.28802126,1
243836.539035985,6194736.28705344,1
243665.52949943,6191807.30480993,1
243948.533417239,6193052.29606468,1
271279.000009847,6294545.99992462,1
232712.018082811,6259621.00530058,1
234177.017855025,6245162.00530648,1
233759.017917376,6245097.00536685,1
223464.021987179,6232692.00548287,1
219175.40035347,6227121.58139343,1
219770.83269852,6227405.00353741,1
219693.368963964,6227325.31978192,1
229026.02006223,6221180.00546516,1
255603.29608791,6251690.55584682,1
254903.292524298,6250090.56172437,1
256403.28274648,6248090.56149812,1
255403.296546051,6251690.55645492,1
256903.313181195,6257990.53731415,1
254103.299472245,6251690.56060808,1
255703.299300573,6252790.55302372,1
335326.001573031,6286081.00481446,1
341650.001276846,6283346.00485297,1
331570.001759556,6281382.00482977,1
328991.001875342,6273390.00481526,1
231662.43545925,6224380.81917919,1
231699.030602123,6224357.18952001,1
330080.219411379,6283532.25585963,1
353586.000044274,6292602.99989817,1
361241.00003044,6382032.99992201,1
322290.082407896,6230108.40044351,1
295391.897601515,6481925.80208911,1
316640.1143049,6236788.40231587,1
274275.903992294,6139487.72623469,1
301985.501142609,6262250.81084502,1
332040.31556972,6285315.08344866,1
333761.478801296,6265115.07320958,1
283766.320450718,6346250.86887052,1
279991.660390443,6239937.19627152,1
280773.022915137,6250703.07180854,1
309314.961116382,6270474.78672734,1
360329.994861435,6368359.73104598,1
363633.792634952,6362645.50913161,1
364828.543826474,6362785.04057488,1
357778.407737724,6372112.05834583,1
310003.507426224,6280492.73120838,1
326144.441725209,6276060.76199328,1
324299.42272864,6280630.19384925,1
322932.362976581,6277877.70788945,1
325157.687137271,6280013.65289166,1
322650.568413873,6278643.52641442,1
320518.453398989,6264883.83703054,1
326475.433831211,6274467.76444297,1
327467.466858051,6282803.73087714,1
333533.128843299,6298529.24725796,1
320540.671940958,6380451.12815658,1
372211.106301722,6354753.07576177,1
366544.138256279,6353256.09029697,1
234700.822131887,6316730.44045781,1
281104.621969735,6261089.74692681,1
369104.67456161,6358189.4251631,1
317604.455500752,6259689.85598006,1
333821.967625453,6395927.49742966,1
333710.969213791,6396166.49750459,1
333589.967485365,6395898.49811191,1
350425.804787181,6378592.46843216,1
350552.804766631,6378576.46770003,1
334237.967673574,6395952.49644597,1
