"X","Y","po"
348123.63082521,6446349.76152387,1
341382.636129469,6440955.79680214,1
364611.651427127,6472469.63524277,1
482102.656496234,6641125.75865753,1
347954.637145322,6448447.7555652,1
347195.640757013,6448925.7563029,1
262402.951747302,6147790.74845944,1
266057.009972132,6184577.0051979,1
297701.925260545,6160489.61522495,1
290101.965680767,6168989.62209865,1
269601.964020739,6155890.71055152,1
262302.952275499,6147889.74854069,1
262501.95186801,6147889.7479689,1
274302.936694672,6149990.70691913,1
276201.927008378,6147989.7047229,1
277202.930106519,6149590.69854745,1
278101.920415836,6146990.70059056,1
272901.940901879,6150490.71038028,1
281702.925507561,6150790.68236172,1
271802.971172512,6159489.6969426,1
272301.969827608,6159389.69550528,1
282101.946703414,6157889.66786545,1
281901.947453717,6157989.66827298,1
294401.92030285,6156789.63227177,1
291502.942221854,6162190.63087687,1
292302.958392916,6167990.61726906,1
292152.958625766,6167990.617796,1
292082.95846713,6167889.61814823,1
291577.941584773,6162039.63084042,1
416503.749193763,6577389.14773891,1
416603.748110099,6577089.14855353,1
397703.764013876,6556989.26707899,1
439203.92535568,6685688.68183181,1
402403.638518728,6513989.40167218,1
299304.307038801,6168890.11264853,1
301604.327845836,6187690.06314055,1
268674.283908779,6144206.26781823,1
299453.264895355,6157551.09970902,1
290260.28092197,6154815.1542882,1
290523.285542083,6155663.14972853,1
299206.791599689,6186212.2143669,1
302671.23677003,6192773.39486761,1
298143.074501505,6185651.99523833,1
297557.911568857,6187210.17486815,1
297145.236413056,6185292.04386966,1
298024.081547969,6185512.25737088,1
298981.896743682,6189349.97549136,1
299173.132987288,6187640.99065692,1
300668.897424504,6186516.28999393,1
300199.038903955,6186383.02196293,1
299580.837881631,6186039.11252756,1
302014.998876612,6187331.1224203,1
302128.147237501,6187024.10065325,1
300981.139397022,6189428.09058749,1
302309.350779709,6191372.23997459,1
302101.210538075,6190930.13130837,1
301666.272375546,6190266.03460861,1
301508.720340196,6190613.16544206,1
301434.613020587,6190337.28817739,1
298789.537825089,6186177.36965504,1
299081.869189548,6185956.37765079,1
299047.974527224,6186421.28197647,1
298947.859129904,6186445.36219966,1
298614.5287902,6186162.15028169,1
298535.934233195,6185969.95845549,1
298444.093221869,6186130.09435023,1
299159.404241664,6186977.37422193,1
298062.153052503,6186213.23915305,1
297816.898024594,6186461.04776277,1
298218.015099221,6186529.02596404,1
300823.74173244,6191473.06641016,1
300360.046957274,6192743.19052578,1
302420.881122015,6191738.21643659,1
302855.205880509,6191774.09034717,1
302970.621513653,6191360.43794319,1
303023.053483116,6190540.36159717,1
303165.227224013,6193575.39937974,1
303037.53261206,6193573.12393172,1
302938.240679036,6193555.36253615,1
302879.526970079,6193411.04823184,1
301270.964613532,6190575.07471972,1
301101.398140536,6190104.13097997,1
300787.168780383,6190427.15971009,1
300385.003874045,6190334.30566159,1
300263.939152685,6190221.22645282,1
300448.84148068,6190695.05630486,1
300345.80275844,6190657.28943203,1
299744.154258126,6189856.17493806,1
299608.021293522,6190248.18562985,1
299428.629953527,6190107.1707954,1
299307.78869487,6189984.34723707,1
298224.872598559,6185696.10241298,1
297939.82331573,6185774.99488773,1
298146.677180396,6185938.23073296,1
297827.980308283,6186015.96643702,1
297904.939499903,6186089.17924406,1
297545.830329293,6186411.97143896,1
297383.410260496,6186591.30371866,1
297223.780437527,6186578.08750687,1
297905.752867605,6186697.0699042,1
298149.901797987,6187017.31562548,1
298073.933734426,6186897.98612304,1
297945.49083153,6186934.1401752,1
296946.367886728,6186690.98414922,1
296624.644670343,6186264.0253776,1
296633.870918592,6186740.03197672,1
296865.676324909,6186981.30746981,1
301383.803477483,6191535.40368935,1
296747.440079755,6194459.03973977,1
297426.022473248,6194179.189721,1
298826.416834658,6192846.06888538,1
298622.274952787,6193068.97105169,1
298415.451577842,6193025.97646503,1
298030.623677037,6193100.18410055,1
297223.988000338,6193334.10700414,1
297384.17678576,6193456.11740489,1
296759.047068604,6193668.97378143,1
296586.417801568,6193538.21472796,1
296472.488125407,6193934.06189522,1
298538.875180714,6194654.98042028,1
299507.484171202,6192768.05234198,1
296590.046419172,6192214.18277861,1
296875.769021318,6192500.2249035,1
297046.077609673,6192221.16704611,1
297860.862756775,6191931.14091529,1
297224.52872142,6190987.30038228,1
298025.224348566,6190565.31236621,1
297938.761277551,6190540.15374961,1
298187.999306909,6191991.15029119,1
298492.743887355,6192178.0780676,1
298421.981021386,6191621.17087207,1
298940.501367891,6191332.26121267,1
298915.444637074,6192298.12128391,1
298901.747723031,6191697.15835296,1
299379.848009318,6191264.27548478,1
299140.827055073,6191739.99329189,1
299223.074421642,6191896.27260147,1
299463.990419464,6191854.05487725,1
299462.723348346,6191652.11256799,1
300100.135560066,6191184.10492137,1
300223.769213095,6191374.28102071,1
296542.127284119,6185612.00888245,1
296438.351824501,6185803.19165166,1
296743.457945027,6185898.3408346,1
297224.339106003,6186102.29695771,1
297144.142046992,6185856.29595851,1
297390.010715902,6185902.29626208,1
298056.731072909,6185494.341329,1
298212.943014847,6185341.11006001,1
297829.454393516,6187754.95445859,1
298229.342970206,6188335.10400812,1
299344.962822321,6188975.99274358,1
298351.063515295,6188804.22786409,1
297664.823644535,6189455.19211547,1
297261.459051228,6189420.1684511,1
297749.840490998,6189740.23302212,1
297462.830327944,6190613.20312428,1
298778.678311258,6190702.27451066,1
297106.916956692,6189171.28065804,1
297259.351203436,6188937.12632266,1
296771.379808796,6188344.00494886,1
303986.914970005,6194019.3927145,1
304058.607952435,6193814.3365173,1
304342.704694453,6194056.49840355,1
304669.04546057,6194494.24681229,1
305021.014312738,6194379.28663325,1
299212.116539328,6186810.03716912,1
298833.35086156,6188042.98361453,1
299065.159842622,6188093.28837996,1
299151.46042031,6188060.01824116,1
299135.417824756,6187893.31269593,1
300506.979879437,6185825.37407752,1
300821.18472174,6187134.18692287,1
300987.617563686,6187223.25794289,1
303194.616994119,6192516.10285585,1
303347.968475112,6192366.11131999,1
303500.395176305,6193058.44261766,1
303802.718245092,6193633.2888565,1
304021.888606528,6191222.19909567,1
303915.914557645,6191256.37073553,1
304298.827024416,6193338.10801657,1
302387.786996806,6190057.03734847,1
302617.981355079,6188863.15182518,1
302579.124786739,6187785.03950304,1
303429.305912851,6188514.18377384,1
299143.493063446,6188624.11173156,1
299232.339244404,6188408.02790106,1
299475.553024113,6188385.33633714,1
299772.297409463,6189200.23816781,1
301120.867798312,6189915.3325771,1
299935.707537273,6188909.13505973,1
300254.863453849,6188225.16452173,1
300909.958091057,6188951.20188824,1
300374.06638634,6185875.00966041,1
301945.332715711,6189926.06303428,1
292388.351339281,6180446.09436274,1
292257.350797153,6180164.0953017,1
292692.351791882,6180486.09392283,1
292761.351607473,6183183.08324776,1
292912.351314268,6183422.08164629,1
293618.349552971,6183173.07912206,1
293965.348562839,6182905.07864519,1
292170.342220984,6174634.10748022,1
292716.34673076,6175394.10550491,1
292938.34575416,6175289.1053948,1
305267.356759618,6196382.05493321,1
302007.333226893,6190114.0633389,1
295403.343127047,6184630.06476901,1
291995.350190274,6180459.09426102,1
291832.350025858,6180849.0929245,1
300719.328197117,6187339.05943502,1
291683.34950159,6180711.09336006,1
291766.349525322,6180554.09395019,1
290594.334161749,6174980.11234153,1
289299.33016388,6174763.11636541,1
303299.34066396,6191531.06805128,1
304030.349264328,6193742.06221268,1
297707.332430648,6185150.06106772,1
