"X","Y","po"
513767.999980556,6650285.99986314,1
551862.999973593,6843402.99992817,1
527842.000007616,6771919.99995244,1
456196.248376617,6422865.55536751,1
506883.554801555,6637556.71912018,1
494558.999969374,6597850.00449206,1
497479.000043317,6606402.00448946,1
519422.999962226,6667341.99995641,1
507706.999974812,6645988.99991829,1
507806.000001211,6641313.99989663,1
507903.000020128,6641070.99991899,1
507826.000032764,6640874.999877,1
507907.999962318,6640987.99988996,1
502128.999967057,6638290.99986701,1
499267.00003208,6638400.99987446,1
518992.999955206,6669646.99991192,1
519105.000012211,6669755.99985289,1
519484.000007799,6667250.99994935,1
519355.000043218,6667191.99988532,1
519332.000001624,6667353.99989994,1
512010.000022966,6649923.99989662,1
518698.999958195,6675035.9998611,1
518661.000029479,6675172.99993287,1
518411.000041775,6675093.9998772,1
518763.000044231,6674745.9998925,1
521438.000039992,6683221.99985207,1
521593.000041782,6683191.99995035,1
521149.00004299,6682853.99985356,1
521260.999997461,6683067.99994497,1
512256.999965328,6647785.9999243,1
512399.999976084,6647636.99987956,1
512622.000036717,6647801.9999001,1
512671.000004643,6648008.99989781,1
512668.999973913,6648434.99994278,1
512782.99995809,6648304.99988953,1
512794.999977177,6646901.9999424,1
508956.000013209,6645760.99989031,1
509989.99997299,6645191.99993766,1
509945.000037262,6644799.99986904,1
518603.586424472,6674688.55077921,1
503303.570636359,6638638.7225062,1
504403.565402795,6638088.72224477,1
505553.560596389,6637888.72064111,1
505703.567642222,6641538.70636887,1
507303.557925196,6639788.7097067,1
507503.569220248,6645538.68725337,1
507953.559926109,6641938.70018057,1
508403.562295274,6643888.69177121,1
508853.564896558,6645938.68295677,1
508953.557547403,6642588.69553146,1
509003.561601208,6644638.68758498,1
509053.555538248,6641838.69820109,1
509103.559393274,6643738.69087172,1
510203.557478805,6644838.68431061,1
514103.576877221,6661438.61209722,1
505253.560897528,6637488.72272661,1
412805.255697252,6375396.7960892,1
455481.999962526,6436882.99994377,1
485333.999967559,6522244.99990136,1
485351.999991818,6522241.99987347,1
293601.884554901,6144590.65733296,1
294402.897715868,6149390.6459737,1
283506.830130239,6120985.73043346,1
280705.837106769,6121696.73787589,1
278705.844029092,6122791.74211894,1
286877.844500646,6127565.7084781,1
241965.454976088,5984226.06260823,1
241718.442857689,5980443.06784479,1
245546.614734357,6034527.98607435,1
245635.614988633,6034639.98565005,1
498503.487143994,6590988.90960919,1
498503.487312627,6591088.90922044,1
496503.513259561,6599788.88190598,1
483703.350569601,6504989.23777884,1
482003.338956941,6497289.26669074,1
483303.357674538,6507589.23016301,1
479303.362626858,6503989.25090112,1
506103.439360485,6581288.92831211,1
505903.439625324,6581088.92946848,1
495703.482371887,6584088.9404073,1
493103.496655844,6586388.93775088,1
502803.454261184,6582788.92994994,1
492503.53139967,6601488.88429204,1
498403.569974501,6629588.76715546,1
507603.558458728,6640588.70601723,1
297479.791397932,6116203.69579259,1
371411.337120354,6363453.9367188,1
449512.000006569,6432761.99984872,1
447879.999989278,6451231.99985681,1
452142.000040744,6450595.99987826,1
451191.999958706,6456510.99990571,1
450725.000032846,6459191.99990863,1
355333.999963927,6333544.99987037,1
347761.000021817,6309298.99988785,1
378274.000043532,6366006.99986504,1
335865.069546281,6235903.34847375,1
450647.597397285,6415060.93569774,1
334326.230907418,6234659.10451968,1
498892.029229048,6584636.93167611,1
481925.459542964,6549719.03986836,1
485284.829000497,6507991.08560436,1
481905.973927825,6498400.06617008,1
482006.560514056,6522116.07174739,1
474141.446878219,6498964.04555526,1
326475.433831211,6274467.76444297,1
488725.184922678,6519677.54890796,1
483604.205626113,6521188.56545811,1
493568.126063648,6601161.18034249,1
491493.128598858,6600528.1812769,1
372211.106301722,6354753.07576177,1
512098.979215639,6649560.78184127,1
366544.138256279,6353256.09029697,1
358293.55780358,6335609.94639267,1
348633.699882814,6307877.09520202,1
326594.742174665,6243969.00223449,1
503104.139564974,6580188.31049649,1
354104.484629494,6298889.6053302,1
356104.495316484,6301889.58989149,1
356604.495343818,6302189.58730955,1
329504.416431632,6259539.85415136,1
361104.586092562,6331689.48858379,1
358804.572697702,6319189.5426648,1
366804.56173068,6332689.46888972,1
508603.988752231,6643187.83614099,1
496104.099479833,6609188.12510234,1
456104.470183673,6436688.94976162,1
491004.210783609,6550888.43169259,1
490104.213046727,6551088.43025511,1
488504.217324716,6550538.43592064,1
490354.210094162,6557488.40448375,1
378504.479225731,6346189.41058837,1
507104.003088206,6640887.86425454,1
490004.220082151,6541613.47309317,1
498804.089299918,6610118.11518823,1
504354.013209768,6639407.88038781,1
497954.098249465,6606968.14006185,1
497854.099479023,6606388.14452956,1
500976.065231926,6617341.04907092,1
500594.068449706,6616638.05646738,1
500774.067586296,6616668.05534689,1
501294.062445272,6618013.04228147,1
500784.068245563,6616398.05744354,1
495660.203846673,6543956.4519899,1
495589.203535604,6544896.449476,1
495147.205107865,6544366.45220654,1
495229.204448057,6545110.44973577,1
494791.206423032,6543970.45425581,1
495281.204832819,6544185.45234858,1
377307.103708221,6348266.78730396,1
414542.182152939,6373224.26427886,1
378144.467461099,6356181.9129832,1
403999.565491351,6381150.18337129,1
362329.580058485,6332189.48572882,1
299304.307038801,6168890.11264853,1
334804.444793468,6233589.93385007,1
341004.382161434,6268789.79375117,1
347604.542950702,6305089.61308469,1
359999.391652669,6344000.30859639,1
377792.541346558,6355908.94605226,1
341304.39460804,6274889.74158092,1
357999.561199471,6318750.08321797,1
350999.96493599,6313500.21062666,1
455399.923874504,6421500.07389245,1
349875.224859775,6290874.82704699,1
451700.035542963,6441200.39090771,1
456699.778741429,6421750.17621115,1
456000.253227566,6436600.26173766,1
448300.029145533,6450000.24485957,1
358999.437695513,6339400.13040815,1
364949.380113753,6316850.18288966,1
367250.060933912,6328250.36701181,1
372999.28176015,6335000.18395008,1
394800.192203196,6378500.19610306,1
347800.869184153,6291699.9085552,1
349099.773498127,6305399.96360466,1
357649.828669901,6303939.9904399,1
378495.885384079,6346911.02029174,1
378064.991170263,6347284.69371761,1
378737.611299101,6346730.84641535,1
245018.866599218,6045604.71775806,1
279429.20346755,6136657.22380822,1
284701.077629846,6113283.30166088,1
284654.15720582,6132490.21721671,1
455454.083207868,6436208.41557684,1
367026.874790095,6353110.34022314,1
340854.359233084,6260439.83355508,1
345229.398701812,6278890.72013934,1
343954.398785918,6278739.72067932,1
334604.406787224,6271239.77213367,1
