"X","Y","po"
221755.641191397,6332627.46809934,1
246503.029980264,6162889.77098251,1
245452.032313839,6162990.77425628,1
242203.025495079,6158989.79241797,1
211797.34902493,6089502.07831126,1
213084.652411543,6092235.47495448,1
217935.66160909,6094032.28661634,1
214957.491408106,6096056.31454428,1
212065.425542853,6097484.5019532,1
211189.618146258,6097882.42460654,1
210930.960212331,6098017.08124773,1
208098.233233033,6102605.56942556,1
222939.146340775,6106558.22316411,1
241451.853133337,6105690.89015154,1
239751.910547966,6122389.86713545,1
249403.01377105,6159589.76792236,1
250952.018906962,6162089.75819388,1
252552.00946592,6160090.75687401,1
262952.004644581,6164789.71472422,1
126227.272484277,6096903.31197632,1
127305.153366122,6092353.91555208,1
116995.838649438,6103568.68056204,1
148520.820716277,6080751.23625966,1
149592.615800547,6072191.42523174,1
158333.757812266,6057931.9970178,1
213360.679756283,6139457.47838536,1
202893.78181463,6150147.71183641,1
216892.738940082,6138193.43279868,1
217089.391011914,6138663.848987,1
201880.718568274,6408122.45921987,1
178933.535554111,6280817.84873439,1
200443.993315749,6120683.06797659,1
203072.698395226,6121963.67224154,1
202187.180073891,6130859.38882555,1
185867.782689047,6101462.32738202,1
160918.591503781,6082156.702133,1
161018.618149031,6082160.76815278,1
104752.90387219,6103628.94818095,1
105486.907318996,6103172.55234162,1
106905.425566772,6106269.54808828,1
106805.325419289,6106265.51301,1
107359.99656018,6106901.05039014,1
108002.985427913,6106239.46747215,1
138021.914718936,6043151.81970351,1
145988.664206004,6096899.09406444,1
131103.422340476,6082750.22357756,1
131207.555201077,6082654.22302461,1
129553.892492363,6080050.99303729,1
132318.554509418,6077507.41610841,1
131626.813369471,6079069.39980819,1
131667.320485016,6078270.357363,1
131671.392604802,6078170.29151899,1
131472.259971882,6078162.20779125,1
127222.713733987,6080510.35624638,1
127474.363650317,6077919.35253924,1
127370.219459425,6078015.35146076,1
127458.13483202,6078318.63913642,1
127462.146336469,6078219.56707439,1
129908.835896588,6038036.4243682,1
127666.361484295,6078127.64027902,1
132423.092172338,6080724.75857164,1
132222.962030607,6080716.62111118,1
132226.970121888,6080617.55536389,1
159793.618542945,6057918.80028132,1
159697.689532565,6057814.67391488,1
159475.347357944,6058105.9507902,1
159501.671691786,6057707.44739821,1
159399.214390735,6057792.44792819,1
147475.297246278,5980942.12818585,1
147578.541829541,5980846.22590417,1
147565.999097911,5981145.35256713,1
147858.243607734,5981268.80322828,1
147714.808225326,5981964.02648831,1
147938.136426979,5987987.9614276,1
158353.600028976,6078291.7544561,1
158438.568831318,6078395.18801837,1
159900.844496272,6057722.78298795,1
162679.314591379,6092791.98154727,1
162676.261994564,6092892.06661145,1
205858.045461708,6111543.2001552,1
205855.078539336,6111642.22881851,1
219382.067011501,6109850.11394757,1
171444.760848942,6102149.44475524,1
219379.037645805,6109950.12278511,1
127516.281577591,6092164.05893013,1
126742.887083596,6093422.36701243,1
126053.544490626,6094883.41550903,1
120367.926489953,6107489.40637961,1
111599.480189532,6108262.61774195,1
107041.241481719,6097245.79153743,1
107036.254913146,6097344.83086898,1
106875.326065952,6096637.70274422,1
106926.326859529,6096740.128988,1
215732.245997325,6100607.10777135,1
215728.54011444,6100718.10306603,1
215608.146160211,6101002.3985027,1
216387.270499742,6099749.95534176,1
216526.497125628,6099054.99501274,1
214648.421492878,6097040.60419037,1
211703.886167862,6097713.13350524,1
150736.430011483,6091314.57352128,1
150735.039064135,6091370.64960687,1
222115.879423944,6123540.34645607,1
222277.628419008,6123349.70555623,1
220938.615296901,6125623.55535963,1
220797.879835526,6125464.81066282,1
219367.274896345,6125929.82294758,1
214549.137457072,6127744.22592519,1
209587.209415801,6126944.98212561,1
209137.919038918,6126917.97457589,1
207153.04443882,6126598.24736662,1
204263.966574562,6135493.52454027,1
176398.803266686,6130513.46604567,1
176327.866388405,6130860.07153664,1
175071.31291219,6130082.87682173,1
175068.313474662,6130132.82120923,1
179011.249705131,6125407.54024567,1
178377.830996672,6126772.88798959,1
179345.493601148,6122350.14679148,1
216218.958812016,6140488.93523068,1
216184.521468796,6140562.01555336,1
216083.696508665,6140656.16549148,1
221390.254362338,6144811.25440849,1
130523.574747312,6083726.204387,1
126731.934133926,6080679.19291789,1
126878.739297522,6079351.84972456,1
126238.641910847,6079435.36902922,1
125806.946560432,6078862.40416516,1
