"X","Y","po"
231801.707113046,6056639.99946617,1
238802.066746721,6169639.78304212,1
236203.067461292,6168340.7940319,1
237002.089540366,6175540.77735757,1
237453.094513097,6177339.77237402,1
239553.106490767,6182290.75568953,1
237302.128023221,6187490.75259781,1
238653.127236741,6188089.74694212,1
260203.097748388,6192439.66881401,1
259402.094437508,6190890.67445873,1
257002.09644095,6189990.68397556,1
256303.0978811,6189989.6861831,1
255102.104868668,6191440.68709675,1
252902.109553093,6191490.69404707,1
236901.740982267,6069240.96366387,1
230452.015708131,6149289.84915962,1
239301.989347912,6146240.82575972,1
246503.029980264,6162889.77098251,1
242203.025495079,6158989.79241797,1
243302.999557433,6151639.80260829,1
227450.073424101,6061948.26558734,1
229167.724830202,6060796.00205329,1
212844.116923876,6090417.25509773,1
212821.436361295,6091618.31324538,1
219387.520476756,6111453.50734314,1
221366.832150736,6109368.75305247,1
248101.828106744,6101389.87575146,1
220163.857939467,5972023.52107362,1
239551.858728161,6106439.89516616,1
240152.885675023,6114989.87860151,1
239751.910547966,6122389.86713545,1
235352.929589038,6125840.87551684,1
229620.014909464,5977871.83377325,1
224057.627818053,5989199.68469138,1
221248.696483065,5986019.49900755,1
252552.00946592,6160090.75687401,1
262952.004644581,6164789.71472422,1
287201.946646505,6160989.64627956,1
271301.849389935,6120389.76951715,1
265651.851878668,6118090.79122476,1
266602.869077995,6124039.77795009,1
261702.816841531,6104939.82612637,1
224277.565896546,5979193.27018244,1
291067.93430594,6159338.63759843,1
258474.000018449,6276387.99984466,1
253420.410973556,6286155.48196347,1
247446.387103781,6274256.52964303,1
244468.412699994,6280006.52554201,1
247980.392485915,6276318.52296775,1
244084.417970757,6281371.52350613,1
260369.314452293,6260902.51964886,1
249483.387628329,6275913.51913529,1
252639.407724408,6284545.48838567,1
249410.38732949,6275763.51966242,1
248482.372655221,6270525.53502205,1
247637.386044051,6274054.52943262,1
276403.296385228,6266990.4553004,1
247497.375324194,6270622.53796858,1
253638.410416259,6286151.48134746,1
244278.417623822,6281392.52282616,1
255318.393701825,6282165.48552481,1
255451.34276401,6266248.52275444,1
251480.360390711,6268874.52934805,1
262164.32504349,6265569.50307162,1
251193.361133516,6268894.53016957,1
244812.413447327,6280485.52320194,1
255394.394508285,6282471.48458884,1
251500.360518426,6268938.5291675,1
248141.391778023,6276219.52270827,1
253496.410786359,6286146.48175966,1
251382.357531503,6267905.53188768,1
244943.413478256,6280609.52256305,1
248393.390852646,6276126.52208041,1
249375.387886023,6275903.51952158,1
247115.392936105,6275817.52690998,1
289102.950406567,6163390.6358985,1
214080.756100832,6138323.72583568,1
203246.180033926,6124910.31556249,1
171391.068470885,5887362.00367922,1
260404.81753258,6104486.83105217,1
267700.807332845,6105088.80689317,1
267806.801718389,6103393.80940774,1
268998.797555006,6102690.80676541,1
175715.643230572,5884027.79266348,1
273501.784484979,6100895.79567569,1
273803.780211933,6099692.79663238,1
175703.655774122,5884327.86292576,1
175516.239989634,5884120.4524411,1
183392.52344565,5883108.31834758,1
187906.761725163,6026158.4489566,1
183500.504851435,5883113.15449974,1
183313.111889777,5882905.76171202,1
183222.715570285,5882702.50852031,1
225224.186099084,5898489.0107057,1
225129.555607585,5898384.82710318,1
224766.020211551,5897762.60347979,1
218628.89234803,5890249.28004862,1
218632.214078788,5890149.27070091,1
218739.513990078,5890164.07802772,1
183455.156366817,5912387.58881725,1
182821.261646552,5912853.00110943,1
183111.099499232,5882786.67912396,1
182564.622578847,5913744.23187141,1
191196.347576199,5881898.37740215,1
190990.265556413,5881891.3319954,1
182747.141019973,5925176.69626194,1
216426.553889576,5917274.74068844,1
215725.013116344,5925149.94297453,1
205809.363348814,5913902.39823618,1
205907.329952461,5913906.56154316,1
205820.641043689,5913802.87490779,1
206128.247448819,5913725.01607029,1
206019.631984567,5913810.39183423,1
203406.407151981,5915452.12122241,1
203305.085976637,5915548.98780938,1
203195.777519091,5915645.3520257,1
203003.753945832,5915527.01585262,1
203007.042553018,5915426.98587083,1
199878.431047867,6058058.43227533,1
231877.327815724,5942391.14207011,1
231776.373089611,5942487.20407245,1
186395.332528037,5891124.02598989,1
185488.526620653,5889656.97045748,1
185238.429772022,5887335.08594759,1
185129.388932527,5887331.19126724,1
200297.712706771,5917065.80264098,1
185427.266647939,5885841.08246995,1
185535.8800965,5885756.72041314,1
185302.587974315,5886337.51391134,1
185382.006237205,5886540.06156288,1
226426.342363014,5939852.67392194,1
223538.456583355,5938060.49171583,1
181320.678286631,5869947.96009002,1
181526.722826192,5869956.03655035,1
181433.073073752,5869851.82177884,1
189215.092932175,5953253.51428063,1
172089.591293628,5887511.5133728,1
188988.36600828,5953545.12440264,1
188579.508107238,5953719.10031138,1
204138.965521918,6022939.67174295,1
180475.702714752,5894358.27374057,1
179875.539701578,5894414.59187204,1
205858.045461708,6111543.2001552,1
216884.320567716,6058603.36357744,1
216887.418897435,6058503.35145767,1
222984.86460194,6058873.51153779,1
218375.025104589,6052275.56472377,1
205855.078539336,6111642.22881851,1
218826.204544083,6051500.54418675,1
226702.087882237,6061908.6531779,1
226502.759499422,6061891.48563447,1
244405.724475539,6067696.94147014,1
244504.72434996,6067687.94111742,1
194984.758984141,5979683.50262983,1
196537.386524528,5980282.08524458,1
231198.575475605,6016688.05742415,1
238503.883311641,6113386.88676829,1
238405.883164911,6113294.88724171,1
239007.88239541,6113389.88513981,1
240103.884467378,6114586.87946258,1
240200.884668386,6114689.87901142,1
240206.88400257,6114489.87936763,1
265303.810022113,6104692.81518242,1
265204.809895218,6104590.81567551,1
225725.763912918,6141840.06330891,1
225629.903445668,6141433.60236724,1
