"X","Y","po"
323455.236858392,6284087.2736804,1
322573.25046325,6288042.26671626,1
324299.42272864,6280630.19384925,1
322048.810044524,6281540.02335325,1
310904.514747507,6280889.73125151,1
313984.480958743,6267819.81577205,1
308568.574360089,6289239.7026129,1
309327.578352459,6290062.70399475,1
325754.434241878,6274239.76789906,1
279601.590364573,6269064.88339572,1
279704.951047375,6271828.93662909,1
279691.161621704,6271812.95683545,1
279801.150055289,6271831.99725882,1
279772.928377877,6271827.96129232,1
309654.279601367,6270277.13182685,1
324859.457452172,6228319.92061982,1
342354.388324289,6273039.75700885,1
312053.50927243,6278594.74638585,1
312035.508774997,6278326.74793826,1
312134.81083197,6278243.98634061,1
278804.632590009,6264689.71641974,1
341099.195039516,6271299.77017725,1
325104.438236302,6274389.77027512,1
321404.506722184,6287689.7159621,1
313204.614848387,6300439.66657053,1
327654.428770288,6274589.76075661,1
327804.440455832,6277089.7524437,1
314304.591228237,6295389.68465445,1
320304.468317065,6270859.80122961,1
327754.452932694,6280289.74017187,1
327054.455475694,6280149.74419018,1
317104.498271671,6283189.72684602,1
280148.857460514,6271116.98418277,1
311104.520875459,6283189.7204846,1
321810.173035101,6271749.99738952,1
320874.984909309,6284550.25863002,1
326904.460323736,6281289.739773,1
328204.448355293,6279589.74080832,1
327604.459505757,6281689.73505374,1
328604.426607954,6274689.75807053,1
318304.528304859,6288689.70651111,1
311725.619486852,6301159.66169421,1
311903.509263986,6278660.74574366,1
324798.9315519,6293500.16435946,1
318469.267888714,6282050.22131078,1
320379.186635287,6272969.95185994,1
312880.149432981,6299720.07245341,1
331329.744864037,6281880.19900719,1
324299.152679631,6283820.03661473,1
323188.801138008,6290580.11264819,1
320589.598995634,6284580.05810696,1
319949.686640963,6285909.98980528,1
309764.151224941,6277642.81571153,1
311836.497044648,6272757.78668549,1
312132.497680138,6272716.78600428,1
311144.495675874,6273653.78542178,1
311126.495594633,6273658.78554697,1
311198.495859422,6273605.78542996,1
312086.508271973,6278092.74926113,1
312049.508849998,6278375.74765586,1
311481.509039334,6278749.74465776,1
311471.509280938,6278961.74330422,1
309530.508415379,6277094.75379368,1
330204.423778964,6265389.81188925,1
342067.455578348,6287873.99855209,1
318950.017171426,6282250.15475043,1
327804.41620251,6256389.87278608,1
324105.395249714,6228077.14777061,1
321419.813550079,6230491.87019587,1
321848.564637441,6230023.01725674,1
327010.002041264,6279180.00486416,1
323500.002253226,6282400.00492127,1
322580.0022677,6276570.00482341,1
320810.002343958,6286800.00484826,1
325050.002162763,6274700.00490503,1
331274.001804104,6285179.0049011,1
316300.002738147,6281890.00484349,1
317480.002611864,6296000.00491805,1
317084.002620999,6296750.00489838,1
328200.001914675,6283570.00488696,1
329000.001908601,6282860.00483659,1
328350.001967763,6282390.0049073,1
311499.770984239,6278250.11789258,1
308711.311158336,6282221.77368898,1
307604.582521479,6289689.70339767,1
310004.498426399,6271739.79444322,1
310254.498794817,6271539.79472618,1
309724.498383552,6271809.79409886,1
312523.909541134,6230031.28800249,1
312396.611314634,6230111.96928932,1
317445.952718075,6227668.52292161,1
308354.492359001,6272489.7911118,1
317024.483779283,6271379.80187273,1
322254.459416907,6235889.91081763,1
322588.475340341,6281596.7443866,1
340759.388518537,6270484.78303254,1
328522.446605103,6279504.7395094,1
322504.661974071,6326589.58416958,1
307704.716935589,6333689.55593054,1
316954.478226283,6230289.90064734,1
336374.624123915,6269882.6343953,1
323849.442285586,6264729.69770471,1
319841.63467587,6286225.68811598,1
283788.695301177,6340961.10505363,1
294184.395505693,6291412.47071933,1
317076.756899238,6228854.03688509,1
358230.524574907,6360803.82162058,1
350406.404913321,6362536.64863783,1
327142.608867394,6354762.17340709,1
346775.975349483,6295935.51489679,1
327038.878219768,6273416.02174976,1
328617.415239786,6271595.57655074,1
322574.178836031,6264089.77616562,1
313890.881405059,6234339.09513038,1
256117.21203503,6205274.6003372,1
283514.076423835,6283627.01479304,1
280673.052992365,6272465.95173393,1
279383.683281483,6261339.41168771,1
278676.149994754,6258548.73790291,1
336186.898010037,6373401.7965239,1
336192.502354897,6373063.00384806,1
351409.398872533,6371916.67002425,1
300292.570082572,6222040.88548724,1
298735.51858812,6222932.37764942,1
353897.55467054,6360278.52245298,1
316879.163335107,6235075.49203374,1
313075.105384524,6299871.26388561,1
316803.990801234,6234981.58079502,1
296404.581770557,6288089.71153001,1
299304.588749093,6288889.71760404,1
313804.483974381,6267689.8163075,1
315640.002920349,6236471.00495352,1
315175.00292284,6236119.00496314,1
315060.002888054,6235476.00488739,1
314642.002975092,6235292.00496865,1
313850.003031325,6234190.00492441,1
313584.003038405,6233766.00497815,1
314939.002942271,6233688.00492062,1
313522.003022549,6233304.00496891,1
314498.002979054,6231766.00497069,1
316775.355420681,6234898.65644403,1
283373.41972841,6340777.3577362,1
322161.585180804,6263907.15154372,1
256023.157779108,6204727.90851426,1
283728.090181863,6283087.48814491,1
275082.707666894,6257920.35997695,1
312968.000340056,6299698.0686915,1
317287.761946168,6228313.50422253,1
326632.681837758,6272863.94479955,1
333116.837100697,6273345.17793346,1
325392.798685616,6273207.49738964,1
312971.171437407,6299694.43217243,1
343775.563691738,6360779.92861316,1
280268.601523793,6271912.40054649,1
280566.238113957,6272285.41659674,1
274520.576846236,6266596.34905918,1
274735.660475357,6257357.28989663,1
293770.823322412,6291230.25221815,1
357809.128066935,6360992.06963081,1
279597.161361923,6260800.08089643,1
274738.746691965,6257357.36285444,1
323980.207032887,6265793.45609821,1
351284.314721646,6371741.92694759,1
323724.957626907,6264557.37545321,1
278541.539343872,6258367.56248349,1
276726.062192361,6259135.31183467,1
277778.994132909,6259281.97928969,1
322432.863744528,6265764.8252816,1
278569.320433969,6258368.20788067,1
298947.126171555,6222392.44650932,1
327031.980002177,6354954.88507983,1
313486.541526309,6233786.5210501,1
313784.079291965,6234158.51377956,1
335961.857528196,6269700.50440983,1
346677.917663673,6295389.10300877,1
282087.094827325,6342598.07096404,1
336088.817569672,6372855.25402839,1
336082.76691423,6373221.14999454,1
353798.535310874,6360101.73417764,1
299881.339722068,6221857.5478531,1
350307.802078626,6361990.17028096,1
326932.054068204,6273235.43173013,1
319734.689710859,6286048.79657641,1
329996.239484584,6275142.81533199,1
319706.833855435,6286048.27461421,1
319737.784496278,6286048.85456143,1
325325.312366861,6276911.39085082,1
318964.01032831,6286034.32583882,1
328506.990227347,6271788.38669414,1
328513.545471652,6271422.43416134,1
275086.78211322,6257920.45612951,1
328480.510192641,6273266.98100072,1
336088.267487595,6372888.51730527,1
279283.025701473,6261159.01965174,1
