"X","Y","po"
200460.046978108,5988338.6699353,1
204436.256621156,6022961.96669675,1
219936.295521563,6018419.92833542,1
215001.179036834,6019202.19304014,1
201993.22373036,5957261.15694624,1
199840.269128965,5980581.76103023,1
198342.530185002,5980488.79146443,1
202241.241506912,5990352.84646157,1
202434.747144235,5990465.06037003,1
202540.777885118,5990371.40005242,1
202528.406923851,5990571.09030058,1
199327.10286399,5990473.04276438,1
196737.159038331,5990212.38429222,1
196631.120382471,5990306.05283971,1
193684.965987794,5989321.67598152,1
193491.43945252,5989209.44702474,1
190344.633157537,5986608.61081989,1
220669.970591914,6018715.43983397,1
220846.252879845,6019367.57868902,1
201696.025231072,5945667.56710903,1
207324.607820352,6005792.96494283,1
208888.043703887,6003993.5130138,1
210539.685458364,6018490.04501533,1
220312.004495474,6022879.03926938,1
194260.322984607,5992383.53191526,1
190191.899194958,5987146.99416467,1
190707.96821011,5986702.33896012,1
220253.282293113,6024728.44564045,1
198619.436468184,5974942.69191188,1
195105.648828326,5968337.99447893,1
194065.863415987,5997932.40913518,1
202294.283900403,5945589.71425724,1
210389.637006602,6004043.32443779,1
193282.795796855,5977533.54509335,1
204320.728495443,6005692.07680471,1
192760.549817949,5992330.82665316,1
204476.95188588,6001068.20897446,1
189763.868798061,5963486.98881866,1
195758.805477464,5949841.13678226,1
207407.115063711,6000067.55249735,1
194157.37546394,5992202.95419171,1
189659.795849107,5963307.76295453,1
194453.685721237,5962589.64871984,1
199992.556084984,5951272.37993444,1
194170.216177997,5991836.72861659,1
189695.671771196,5963309.05138719,1
193700.380396078,5962562.97135658,1
194450.855850827,5962585.88167427,1
220150.237660428,6024555.18814648,1
194480.589446842,5962590.60026413,1
190601.996235475,5986521.62165445,1
210283.725005938,6003862.67808269,1
190575.017319089,5986520.66293474,1
204404.04873279,6000888.68533979,1
189855.57859845,5986495.06614111,1
190090.793585353,5986970.14638165,1
193962.943564652,5997751.81050045,1
209998.539121165,6003486.63453612,1
190108.780525521,5986970.78647678,1
194989.440712094,5968531.19484822,1
193975.768876275,5997385.58691155,1
189789.574586021,5988348.42690962,1
190648.09493207,5964298.87173784,1
195002.34702526,5968164.96078715,1
220209.074658873,6022702.09336365,1
199326.13706201,5999083.58928983,1
198209.889410272,6005310.31931337,1
220138.614005586,6024921.36812035,1
220150.353901673,6024551.52634602,1
209097.619180014,6003456.74602437,1
195655.629230322,5949664.42056473,1
202168.174698145,5945414.51109337,1
198546.222229266,5974766.99464571,1
192524.058901755,5995856.79497398,1
192589.319159086,5994003.46714712,1
197732.841953589,5975660.92243341,1
199232.706822284,5975713.0492398,1
199778.396907375,6003508.77069399,1
204292.750240775,5959221.04709759,1
146184.843736372,6089551.62605812,1
207221.586426036,6005616.10886714,1
210133.223275104,6005030.82277162,1
192654.605575781,5992150.13598077,1
192880.211705381,5977346.17698127,1
192370.56661561,5991773.44022488,1
193209.222332465,5976435.52904389,1
204518.106658734,6005525.34811963,1
193176.661198222,5977356.66023535,1
210438.859665211,6018309.47139221,1
210411.786473379,6018308.58031009,1
