"X","Y","po"
231007.575138028,6016493.05832403,1
234307.550595858,6010396.05540577,1
233503.558538937,6012494.05528526,1
233203.559266271,6012594.05614638,1
233005.559535415,6012588.05685712,1
232898.559377419,6012485.05738309,1
232698.559624691,6012490.05805751,1
232504.559576747,6012397.05874557,1
232302.560168975,6012490.05930936,1
231801.560419625,6012386.06110622,1
231599.560696574,6012390.06176535,1
231402.560978327,6012395.06242082,1
231199.560900125,6012289.06319296,1
230999.561184809,6012294.06388242,1
230801.561364952,6012288.06454937,1
230706.56123222,6012197.06501114,1
229903.570891812,6014793.06423087,1
230100.570978903,6014888.06351913,1
234505.454373578,5981392.0906008,1
234607.454912438,5981594.08995274,1
234702.455143614,5981687.08955172,1
229208.194394132,6025990.36693187,1
229396.608818468,6025995.05101941,1
229295.609286542,6026092.05121273,1
229292.609632935,6026191.0510888,1
229801.606569131,6025485.05039983,1
237348.424415761,5973314.09057439,1
225363.021901477,5971611.40386123,1
225185.944510235,5971494.17639504,1
236344.427292971,5973840.09324861,1
230706.648593625,5970224.46258757,1
217454.103466778,5982687.72466315,1
232870.544704755,6008053.06317249,1
233998.538585656,6006644.06125751,1
231200.493509119,5992008.08885751,1
229535.090224956,5990513.97868549,1
224104.680281337,5985789.77958503,1
230149.929095758,5985201.80649151,1
222949.027663437,5979642.84318635,1
229955.571058706,6014851.06402748,1
233327.573213434,6016842.0501675,1
233225.574443016,6017171.05010253,1
229722.606362705,6025394.0507506,1
228780.660771697,6041359.03170427,1
236021.186344706,5952637.80540336,1
239421.441761861,5979615.26588705,1
233107.135194041,5963453.11828138,1
231360.640151677,5944436.61752317,1
229040.274661161,5972186.41377175,1
248193.928342617,6031368.2068263,1
227131.961450756,5923098.41618219,1
226418.292163207,5922927.41930793,1
226387.732952763,5923276.36897356,1
221789.831543675,5889266.29376874,1
233704.214786329,5949690.81465867,1
226239.129170493,5939735.28516569,1
231904.201824112,5960490.80379966,1
229395.185037096,5954962.67339079,1
226425.66118847,5947963.57268281,1
222692.114051343,5900531.30246878,1
211592.849216324,5911256.24954779,1
191883.802572607,5866303.11227095,1
193869.893484745,5865025.78561279,1
220416.560428147,5922334.60292631,1
188391.803840829,5869189.25341617,1
228023.433792655,5938444.2210422,1
225634.488966748,5936591.08970754,1
225141.682312874,5936460.00010098,1
213737.351107027,5893952.29125592,1
232104.148544011,5974290.76316087,1
232004.148448133,5974390.7628258,1
231904.148741257,5974390.76266079,1
231904.148392131,5974490.7625268,1
231504.150377138,5974290.76233368,1
231404.151318155,5974090.76259453,1
231904.155450608,5972490.7661892,1
233904.15293432,5971690.76880586,1
229354.063167018,5970089.74436032,1
229316.798160843,5970688.59783017,1
229123.39086711,5970576.36872162,1
228855.463851725,5971661.85321298,1
228861.673076675,5971562.04362086,1
235304.152993462,5970290.77044391,1
235204.153307359,5970290.77044097,1
235204.153102888,5970390.77029247,1
235204.152761959,5970490.77023271,1
235204.152560564,5970590.77004799,1
234304.150954802,5971990.76824,1
232304.201170092,5960390.80431122,1
233704.185527191,5963290.79148625,1
233604.185063492,5963390.79117786,1
233604.184443771,5963490.7905458,1
233604.183692329,5963590.78989145,1
232304.199203102,5961290.80260637,1
232404.199152734,5961190.80287975,1
234304.210461586,5944990.82516823,1
234404.210199174,5945090.82493546,1
234804.209253222,5945290.82437525,1
234404.210235743,5945590.82423636,1
234204.210635878,5945590.82428987,1
234004.211262728,5943890.82675811,1
234104.210960325,5943890.82662475,1
236404.209566483,5947990.81267855,1
236404.209675545,5948090.81228361,1
236404.209828272,5948190.81198288,1
217888.620771826,5925883.69244628,1
222974.733176549,5921493.30287581,1
223161.812296222,5921705.48292765,1
223255.351960186,5921811.57252136,1
221552.206151088,5921804.71752587,1
221452.389043854,5921798.4426554,1
