"X","Y"
1852258.23688318,-3260235.74943982
1851902.22212912,-3259417.11588832
1051854.26597865,-4090643.02230649
667896.096178328,-4333837.73872938
1853470.85580969,-3261287.68134892
1873357.2472424,-3343066.71118091
1533475.31241345,-3410545.42523887
1873378.75357164,-3343689.4558967
1051996.12689919,-4090581.36921427
1768069.73604685,-3247340.11517353
1863590.86064045,-3263639.29057905
1853540.17591259,-3261803.09903079
1658475.25217765,-3562094.12277558
1853274.06626141,-3261502.52203708
1873266.98950462,-3343413.44508931
1873440.8612194,-3343168.69919769
1052325.83247659,-4090391.60668348
1859550.59373142,-3274590.64384659
1862853.79342535,-3262965.37953181
1051730.67086653,-4090471.63101252
1852334.54853503,-3261788.18899046
1011580.92503159,-4117281.65782529
1011580.92503159,-4117281.65782529
1775031.46854327,-3244253.62932333
1658427.05677494,-3562168.99822247
1658576.05373643,-3562083.1226009
1011701.73179904,-4117224.28730419
664418.588894573,-4336429.19771624
1658475.25217765,-3562094.12277558
1658602.75295536,-3562116.33434424
1658602.3762445,-3562108.08442779
1658562.57330535,-3562145.69961876
1872426.54575975,-3345180.20959557
1872444.61802601,-3345172.4945931
423499.291444242,-3943400.45345493
673589.03562708,-4307146.09446776
1857123.9057017,-3332536.37678046
419606.782322006,-3948522.32052688
424106.960365697,-3941708.0954425
419580.636181141,-3948552.14199295
846301.405282288,-4386352.71127026
419606.782322006,-3948522.32052688
1817113.46929055,-3203529.42533822
684194.781590975,-4290057.86440913
1877075.94823959,-3336407.28776529
1872392.29697869,-3259265.22549804
1868661.85237491,-3258916.97325815
1773257.30267488,-3218070.13459949
1775386.47632256,-3684697.6655995
1658548.11783162,-3562223.42626562
1853220.20757816,-3261417.77264265
1853078.45581657,-3261467.62972929
1853285.52419034,-3261319.79909043
288993.525903506,-4021046.86794603
1753932.64666816,-3257424.58532042
1775081.53679956,-3244091.37137073
428706.626894035,-3936951.45772002
1053711.14234814,-4387970.7534784
1144438.01523153,-3970565.07003257
1658293.0824658,-3562205.91793906
1876611.78774096,-3305801.26437811
432572.456954399,-3936054.95480322
1658576.05373643,-3562083.1226009
1852249.15139682,-3261482.92613056
