"X","Y","po"
242910.735520951,6070388.94226012,1
242322.737033006,6070552.94393891,1
242059.738558941,6070897.94428114,1
240561.723113247,6065488.95735702,1
240608.722915268,6065452.95727803,1
241877.741466661,6071722.94351538,1
241881.74133506,6071666.94366496,1
241897.741555225,6071756.94345291,1
241901.740822407,6071515.9438287,1
241815.738320808,6070719.94525389,1
240828.72895302,6067398.95362104,1
238238.73766231,6068847.95991584,1
236632.742680139,6069616.96400361,1
236562.735130037,6067298.96775339,1
235393.743002724,6069139.96875735,1
235717.741543349,6068855.96815891,1
236552.740568279,6068935.96526644,1
237193.743981413,6070282.96109745,1
237774.749280822,6072173.95628115,1
239410.735576332,6068756.95620254,1
236739.733806872,6066983.96769673,1
238980.728278237,6066337.96131802,1
238383.730480234,6066718.96268337,1
244389.729625614,6069261.93912376,1
244544.72968713,6069349.93850121,1
243369.737397476,6071162.93956907,1
240945.665072491,6047925.98210082,1
240377.661046203,6046461.98607391,1
240445.66046965,6046314.98614179,1
240497.660542588,6046354.98584569,1
240651.66260265,6047041.98443408,1
241315.656224314,6045399.98456323,1
242219.661670541,6047468.97862239,1
242220.666738649,6049015.97644856,1
242267.66738257,6049237.97595748,1
243691.663504944,6048665.97211673,1
240572.664457049,6047587.98384446,1
242804.664265539,6048494.97523369,1
223565.112666142,6064110.88996943,1
223485.363082973,6063808.45869739,1
223394.573490009,6063506.3554882,1
223485.338124192,6063710.26928017,1
234767.731623296,6065403.9766114,1
235102.729785093,6064992.97610257,1
235303.729427934,6064988.97539668,1
234626.731408481,6065270.97718211,1
233845.731067456,6064804.9805426,1
255003.674938097,6057289.92284307,1
254602.674839499,6057090.92439205,1
253797.672356004,6055951.92868652,1
253401.671454163,6055485.93065544,1
232001.722183466,6061291.99188118,1
231502.723873082,6061587.99310678,1
232598.725214251,6062485.9881577,1
232807.724324316,6062292.98774642,1
234604.726555441,6063791.97957863,1
234402.727228088,6063896.98001517,1
234554.724285854,6063082.98082677,1
234500.72406896,6062987.98106159,1
237401.715101098,6061584.97359988,1
237000.716645965,6061894.97448045,1
236901.71888146,6062529.97389119,1
226149.638815187,6062769.63799048,1
226208.09031772,6063470.51219709,1
225715.942164356,6063244.13373219,1
223046.918422433,6062684.62075016,1
222671.784354611,6059652.94380312,1
222718.679061506,6059853.18624539,1
225507.863997664,6061727.60614994,1
226077.632011731,6061551.96459021,1
230298.730355912,6062995.99495345,1
229801.733755241,6063789.99540804,1
229699.732219585,6063287.99657256,1
229598.731399475,6062995.99734617,1
225238.960048979,6062818.29832019,1
225304.533899584,6063402.39365857,1
224652.755476812,6063674.24291059,1
225002.011279648,6063500.16742665,1
228819.736803089,6064264.99797621,1
229210.73890379,6065062.9954333,1
247210.681470259,6055769.95023812,1
247152.680986264,6055593.95072888,1
227717.998340906,6061662.04511004,1
227530.080532118,6061556.40688663,1
249903.671463876,6053894.9442486,1
249701.672013545,6053987.94477125,1
254526.701783022,6065430.91216119,1
255301.699913222,6065190.91003058,1
254644.701183269,6065292.91194909,1
253904.699102197,6064286.91589075,1
236170.720521432,6062688.97598388,1
235994.720111678,6062472.97697511,1
236001.719515638,6062288.97721114,1
235801.718803854,6061992.97832473,1
228324.75665711,6070009.99084686,1
